container_1	physical_order	creator	title	date_expression	date_normal	language	extent	physdesc	scopecontent	provenance	subject-topical	subject-name	subject-geographic	format_aat	eadid	aSpace_componentID	Digital_Object_URI	DPC_ID	barcode	count	capture_person	capture_date	capture_device	capture_target	qc1_person	qc1_date	qc1_station	qc2_person	qc2_date	qc2_station	finalize_person	finalize_date			notes
folder 1	3	Abbott & Co.	Abbott and Company records	1856-1871	1856/1871	eng	66 items		Miscellaneous letters concerning scales sold by Abbott & Company.		Scales (Weighing instruments) -- History -- 19th century		Philadelphia (Pa.) -- History -- 19th century		abbottco-003851089	seca-bdb2a65b-502e-4311-959a-4153d9e091df	http://library.duke.edu/rubenstein/findingaids/abbottco-003851089/	secst0003	D03027506N	140	Mike Adamo	12/20/2016	Zeutschel	secT0001	Mike Adamo	12/20/2016	LIB-DPC02	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	4	"Abbott, William B."	William B. Abbott papers	1862-1864	1862/1864	eng	10 items		"Papers including several documents relating to the evaluation of damage done to his property by Confederate troops in 1862, and receipts for hay purchased by the Confederate Army in August, 1864."			Confederate States of America Army -- Supplies and stores	"Confederate States of America -- Claims; Frederick County (Va.) -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Confiscations and contributions; United States -- History -- Civil War, 1861-1865 -- Destruction and pillage"		abbottwilliambpapers-000887766	seca-75eb7c9f-08ad-4e81-8bf4-894f684feeb1	http://library.duke.edu/rubenstein/findingaids/abbottwilliambpapers-000887766/	secst0004	D03027507O	24	Mike Adamo	1/31/2017	Zeutschel	secT0002	Alta Zhang	2/1/2017	LIB-DPC02	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	5	"Abercrombie, Lascelles, 1881-1938"	Lascelles Abercrombie letter	1912	1912/1912	eng	1 item		"Letter to ""Ivy"" from Abercrombie concerning injuries received in an accident. Transcribed from his EMBLEMS OF LOVE (1912)."			"Abercrombie, Lascelles, 1881-1938"			abercrombielascelles-001585353	seca-935dbbd4-9ed2-4d48-8aa5-fa05e15c2c19	http://library.duke.edu/rubenstein/findingaids/abercrombielascelles-001585353/	secst0005	D03027508P	4	Mike Adamo	1/31/2017	Zeutschel	secT0002	Alta Zhang	2/1/2017	LIB-DPC02	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	6	"Abernathy, Thomas E."	Thomas E. Abernathy papers	1800-1857	1800/1857	eng	8 items		"Miscellaneous bills, receipts, and business letters, including mention of cotton prices in Tennessee, 1847, and charges for dental treatment, 1853 and 1855."		Business records -- Tennessee; Cotton -- Economic aspects -- Tennessee; Dentistry -- History -- 19th century				abernathythomasepapers-001585359	seca-a1f8975d-0179-4048-9d2c-dcd3e50a5fc1	http://library.duke.edu/rubenstein/findingaids/abernathythomasepapers-001585359/	secst0006	D03027510I	18	Mike Adamo	1/31/2017	Zeutschel	secT0002	Alta Zhang	2/1/2017	LIB-DPC02	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	7	"Abernethy, Daniel"	Daniel Abernathy letters	1862-1865	1862/1865	eng	19 items		"Letters from Abernethy to his wife and his father, containing gossip and comments on desertion and the scarcity of food, and references, in 1864, to the probability of overtures of peace to the North by North Carolina."		"Desertion, Military -- Confederate States of America; Soldiers -- Confederate States of America -- Correspondence"	Confederate States of America Army -- Supplies and stores	"North Carolina -- Politics and government -- 1861-1865; United States -- History -- Civil War, 1861-1865 -- Peace"		abernethydanielletters-000887769	seca-20538998-c95c-4db3-8214-2b3d0c0652ff	http://library.duke.edu/rubenstein/findingaids/abernethydanielletters-000887769/	secst0007	D03027509Q	40	Mike Adamo	1/31/2017	Zeutschel	secT0002	Alta Zhang	2/1/2017	LIB-DPC02	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	1		Abolitionist speech	circa 1850	1850/1850	eng	1 item		"Anonymous manuscript text of abolitionist speech. The author criticized the American Colonization Society; addressed the issue of compensation of slaveholders for the price of slaves; condemned churches condoning slavery; and stated that interracial sexual relations were the product of slavery. Issues raised appear to concern the Fugitive Slave Law of 1850, particularly the author's anger over the imprisonment of fugitive slaves without trial and the requirement that citizens assist in the return of fugitive slaves."	Purchase 1981	Abolitionists -- United States -- Attitudes; Antislavery movements -- America; Slavery and the church	American Colonization Society; United States -- Public opinion		Speeches	abolitionistspeech-001099688	seca-d04689ec-23d2-491e-8c80-b953dcebe49c	http://library.duke.edu/rubenstein/findingaids/abolitionistspeech-001099688/	secst0001	D03572475X	84	Mike Adamo	2/7/2017	Phase One	secT0005	Mike Adamo	2/20/2017	LIB-DPC06	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	2	A. Brouseau & Co.	A. Brouseau & Co. records	1864-1866	1864/1866	eng	22 items		"Collection contains bills and receipts for A.. Brouseau & Co., a New Orleans carpet firm. There is also an insurance policy covering merchandise, sugar, and molasses in warehouses."		Business records -- Louisiana; Property insurance policies; Rug and carpet industry -- United States		New Orleans (La.) -- History		abrouseauco-002388080	seca-a3d6d66d-ba0a-436f-be47-72ca0676667a	http://library.duke.edu/rubenstein/findingaids/abrouseauco-002388080/	secst0002	D03208753S	38	Mike Adamo	2/17/2017	Phase One	secT0005	Mike Adamo	2/20/2017	LIB-DPC06	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	8	"Acker, Henry J."	Henry J. Acker papers	1864	1864/1864	eng	3 items		"A printed pamphlet entitled GULF SPY, which includes a fanciful story of spying on Confederate fortifications at Mobile, AL, and an essay about the presidential election of 1864; the manuscript from which the pamphlet was printed; and a photocopy from the National Archives of Acker's service record with the 23rd Wisconsin Infantry."			"United States Army Wisconsin Infantry Regiment, 23rd"	"United States -- History -- Civil War, 1861-1865 -- Secret service; Wisconsin -- History -- Civil War, 1861-1865"		ackerhenryjpapers-001585365	seca-47e102ae-c11c-4e39-80b6-5ccaf84e671b	http://library.duke.edu/rubenstein/findingaids/ackerhenryjpapers-001585365/	secst0008	D03018989	56	Mike Adamo	1/31/2017	Zeutschel	secT0002	Alta Zhang	2/1/2017	LIB-DPC02	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	9	"Adair, William P."	William P. Adair letters	1860-1862	1860/1862	eng	5 items		"Letters written by Adair from Confederate Army camps in Barnesville, Georgia, and Cumberland Gap, Tennessee."		Soldiers -- Confederate States of America -- Correspondence		"Barnesville (Ga.) -- History -- 19th century; Cumberland River Valley (Ky. and Tenn.) -- History -- 19th century; United States -- History -- Civil War, 1861-1865"		adairwilliampletters-001585356	seca-0cd10b73-9a5c-4ff3-983e-1da9d7b0b044	http://library.duke.edu/rubenstein/findingaids/adairwilliampletters-001585356/	secst0009	D03018980U	16	Mike Adamo	1/31/2017	Zeutschel	secT0002	Alta Zhang	2/1/2017	LIB-DPC02	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
folder 1	11	"Adams, Henry L."	Affidavits	1842	1842/1842	eng	6 items		Affidavits concerning damage done to the brig FROTHINGHAM on a voyage from Wilmington to Martinique and the loss of the cargo of lumber and naval stores.		Lumber trade -- North Carolina -- History -- 19th century	Frothingham (Ship)	Caribbean Area -- Description and travel		adamshenryl-001585342	seca-11894769-2f1c-45d1-ab55-7b80be9373c5	http://library.duke.edu/rubenstein/findingaids/adamshenryl-001585342/	secst0011	D03018993X	24	Mike Adamo	2/17/2017	Phase One	secT0005	Mike Adamo	2/20/2017	LIB-DPC06	Mike Adamo	3/7/2017		Mike Adamo	3/20/2017			
