physical_order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	Finalize Person	Finalize Date	Notes
1	folder 1	"Barlow, Joel, 1754-1812"	Joel Barlow letter	1811 Mar 23	1811/1811	eng	1 item		"Letter from H.H. Forde on the USS WASP to Barlow, recently appointed minister to France. Letter asks Barlow to use his influence to free Forde's brother, who had been taken captive by a French cruiser in 1809 and held without trial."		"Prisoners -- France -- History -- 19th century; Forde, H. H.,correspondent.; USS Wasp (Ship); France -- History, Naval -- 19th century; United States -- History, Naval -- 19th century"	France; United States		barlowjoel-001616498	seca-e525560d-c7ea-44c6-b4d2-31669f336480	http://library.duke.edu/rubenstein/findingaids/barlowjoel-001616498/	31421720	RL.30150	secst0146	D02483726W	4	Alta Zhang	06/07/17	Zeutschel	secT0096	Alex Marsh	7/5/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
2	folder 1	"Barnard, J. G. (John Gross), 1815-1882"	John Gross Barnard papers	1864-1865	1864/1865	eng	2 items		"Manuscript copy of documents exchanged between Barnard, chief engineer on Grant's staff, and Major General Burnside, July 3-August 6, 1864, relative to mining operations under the Confederate defenses at Petersburg, Va., and the battle of the Crater on July 30; and an extract from a letter by Barnard to his wife, April 2, 1865, reporting on the last days of the siege of Petersburg."		"Petersburg Crater, Battle of, Va., 1864; Burnside, Ambrose Everett, 1824-1881,correspondent.; United States. Army -- Officers -- Correspondence; Petersburg (Va.) -- Siege, 1865; United States -- History -- Civil War, 1861-1865 -- Engineering and construction; Virginia -- History -- Civil War, 1861-1865"	Petersburg (Va.); United States; Virginia		barnardjgpapers-000844082	seca-49c91b56-a90e-4626-bd27-78041b03ab45	http://library.duke.edu/rubenstein/findingaids/barnardjgpapers-000844082/	19210886	RL.30160	secst0147	D02483728Y	14	Alta Zhang	06/07/17	Zeutschel	secT0097	Alex Marsh	7/5/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
3	folder 1	"Barnard, John"	John Barnard papers	1862-1863	1862/1863	eng	2 items		"Letters from a private in the Union Army concerning sickness among troops near Baton Rouge, La., 1862, and giving a graphic description of the Battle of Port Hudson, La., 1863."		"Soldiers -- Correspondence; Louisiana -- History -- Civil War, 1861-1865; Port Hudson (La.) -- History -- Siege, 1863; United States -- History -- Civil War, 1861-1865 -- Medical care"	Louisiana; Port Hudson (La.); United States		barnardjohnpapers-000844050	seca-02a615a7-6d7f-496a-95ea-fd306469bda2	http://library.duke.edu/rubenstein/findingaids/barnardjohnpapers-000844050/	19210722	RL.30156	secst0148	D02483727X	12	Alta Zhang	06/07/17	Zeutschel	secT0098	Alex Marsh	7/5/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
4	folder 1	"Barnes, John W."	John W. Barnes letters	1862-1863	1862/1863	eng	10 items		"Letters from Barnes, a private in the Confederate Army, concerning the defense of Vicksburg in 1863, camp life, rations, crops, and the shooting of deserters."		"Desertion, Military -- Confederate States of America; Soldiers -- Confederate States of America -- Correspondence; Confederate States of America. Army -- Military life; Confederate States of America. Army -- Supplies and stores; United States -- History -- Civil War, 1861-1865 -- Desertions; Vicksburg (Miss.) -- History -- Siege, 1863"	United States; Vicksburg (Miss.)		barnesjohnwletters-000887843	seca-0c518974-0b66-4d4b-9cb5-cfa158304866	http://library.duke.edu/rubenstein/findingaids/barnesjohnwletters-000887843/	20574387	RL.30157	secst0149	D02483729Z	28	Alta Zhang	06/07/17	Zeutschel	secT0099	Alex Marsh	7/5/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
5	folder 1	"Barnes, Richard"	Richard Barnes papers	1752-1796	1752/1796	eng	29 items		"Legal depositions in the case of Jonathan Beckwith and Younger Helsick v. John Alexander and Gerald Hoose over the estate of Richard Barnes, their father-in-law."		"Partition of decedents' estates -- Virginia -- Culpeper County; Probate law and practice -- Virginia -- Culpeper County; Alexander, John,witness.; Barnes, Richard -- Estate.; Beckwith, Jonathan,witness.; Helsick, Younger,witness.; Hoose, Gerald,witness."			barnesrichardpapers-000887846	seca-85737768-091f-4ff2-abde-c5866d514218	http://library.duke.edu/rubenstein/findingaids/barnesrichardpapers-000887846/	20574403	RL.30146	secst0150	D02483730R	92	Alta Zhang	06/07/17	Zeutschel	secT0100	Alex Marsh	7/5/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
6	folder 1	"Barnett, John Joseph Patrick, 1877-"	John Joseph Patrick Barnett papers	1895-1903	1895/1903	eng	12 items		"Chiefly a 60-page diary (1899-1902) titled, ""Diary of the South African War with General Buller 1899-1902."" A journal entry briefly recounts the voyage from Crete to South Africa where Barnett's battalion became part of Sir Redvers Buller's relief column. Other entries describe troop movements to Durban, Newcastle, Ladysmith, and Lydenburg, as well as the march into the Eastern Transvaal after Lord Kitchener's reorganization. Includes also Barnett's army record book, 1895-1903; poetry (some printed); and photographs, primarily relating to the 2nd Battalion Rifle Brigade."	Purchase 1989	"South African War, 1899-1902; Buller, Redvers, 1839-1908; Kitchener, Horatio Herbert Kitchener, Earl, 1850-1916; Great Britain. Army. Battalion Rifle Brigade, 2nd.; South Africa -- Description and travel -- 19th century"	South Africa	Diaries	barnettjohnjosephpatrickpapers-000964187	seca-8cce0a8a-0411-45b3-9105-ee6ef1f3f361	http://library.duke.edu/rubenstein/findingaids/barnettjohnjosephpatrickpapers-000964187/	22540508	RL.30163	secst0151	D02483732T	78	Alta Zhang	06/07/17	Zeutschel	secT0101	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
7	folder 1	"Barnum, Theodore H."	Theodore H. Barnum papers	1862-1864	1862/1864	eng	23 items		"Chiefly letters (1862 Feb. 7-1864 Nov. 16) to D. Louise Peasley from Theodore H. Barnum of Connecticut. He signed a few letters ""Sergeant"" in 1862, but by June 1863, he had become a sutler's clerk with the 11th Connecticut Volunteers Regiment. Barnum was located in various places with the regiment in 1863, including Portsmouth and Yorktown, Virginia."	Purchase 1986	"Peasley, D. Louise,correspondent.; United States. Army. Connecticut Infantry Regiment, 6th (1861-1865); Virginia -- History -- Civil War, 1861-1865"	Virginia		barnumtheodorehpapers-000741874	seca-7e966999-daea-4c54-9add-cbb8d6fe7bf2	http://library.duke.edu/rubenstein/findingaids/barnumtheodorehpapers-000741874/	15477189	RL.30158	secst0152	D02483733U	86	Alta Zhang	06/07/17	Zeutschel	secT0102	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
8	folder 1	"Barrier, N. A."	N. A. Barrier letters	1861-1864	1861/1864	eng	4 items		"Civil War letters of Confederate soldiers, including a brief description of the Battle of Drewry's Bluff."		"Soldiers -- Confederate States of America -- Correspondence; United States -- History -- Civil War, 1861-1865 -- Campaigns"	United States		barriernaletters-001616543	seca-a5b24afd-d97a-48a4-bbf5-9928863e47a0	http://library.duke.edu/rubenstein/findingaids/barriernaletters-001616543/	31421758	RL.30155	secst0153	D02483735W	14	Alta Zhang	06/09/17	Zeutschel	secT0103	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
9	folder 1	"Barron, Samuel II,"	Samuel Barron II letter	1836	1836/1836	eng	1 item		"A routine business letter from ""Malvern,"" near Loretto, Essex County, Va."		United States. Navy -- Officers -- Correspondence			barronsamuel-001616558	seca-7e1e32fe-141f-4251-86e8-892f2ae7fc50	http://library.duke.edu/rubenstein/findingaids/barronsamuel-001616558/	31428287	RL.30153	secst0154	D02483736X	2	Alta Zhang	06/09/17	Zeutschel	secT0104	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
10	folder 1	"Barrow, James H."	James H. Barrow letters	1864	1864/1864	eng	3 items		"Letters from Barrow, a private in the 61st Virginia Regiment, C.S.A., chiefly concerning his illness and convalescence in the Chimborazo Hospital, Richmond, Va."		"Hospitals -- Confederate States of America; Soldiers -- Confederate States of America -- Correspondence; Chimborazo Hospital (Richmond, Va.); Confederate States of America. Army. Virginia Infantry Regiment, 61st.; United States -- History -- Civil War, 1861-1865 -- Medical care"	United States		barrowjameshletters-000887855	seca-f8738da1-3480-418a-bb01-f911292b3e38	http://library.duke.edu/rubenstein/findingaids/barrowjameshletters-000887855/	20574445	RL.30161	secst0155	D02483737Y	8	Alta Zhang	06/09/17	Zeutschel	secT0105	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
