physical order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	Finalize Person	Finalize Date	Notes	
1	folder 1	"Bissell & Barker (Charlotte, N.C.)"	Bissell and Barker account of Mecklenburg Gold Mining Company	1832	1832/1832	eng	1 item		"Charlotte gold mining account. The heading of the two-page account (1832 Sept.) reads ""Messrs. Bissell & Barker of Charlotte in acct. with the Mecklenburg gold mining company."" Includes company's itemized listing of debits and credits."	Purchase 1984	"Gold mines and mining -- North Carolina -- Charlotte; Mecklenburg Gold Mining Company,"			bissellbarkercharlottenc-000741868	seca-8b4ebf73-9b7b-4e5a-8007-93f2a18f22f1	http://library.duke.edu/rubenstein/findingaids/bissellbarkercharlottenc-000741868/	15477107	RL.30227	secst0226	D02483757-	4	Alta Zhang	08/10/17	Zeutschel	secT0176	Alex Marsh	8/15/2017	DPC-M03	Alex Marsh	8/28/2017		
2	folder 1	"Bissell, Edward H."	Edward H. Bissell letters	1865-1866	1865/1866	eng	3 items		"Collection consists of three letters from Bissell to his uncle. One concerns his feelings on the South, ""Radical"" victories, and Johnson's course. The others affirm his Union loyalties, criticizing rebels' retention of power and property and Southern resentment toward Reconstruction. He believed these feelings caused friction in the family, turned others against him and could ultimately have lead to a worse form of slavery for African Americans."	"Purchase, 1973 & 1983"	"Reconstruction (U.S. history, 1865-1877); Slavery -- United States -- History; Bissell, Edward H.; Charlotte (N.C.) -- History; United States -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Public opinion"	Charlotte (N.C.); United States		bisselledwardhletters-002448937	seca-9be997d0-8bfe-4192-a55b-eb83f6785fa4	http://library.duke.edu/rubenstein/findingaids/bisselledwardhletters-002448937/	39100445	RL.30242	secst0227	D02483754X	8	Alta Zhang	08/10/17	Zeutschel	secT0177	Alex Marsh	8/15/2017	DPC-M03	Alex Marsh	8/28/2017		
3	folder 1	"Bissell, Leonard"	Leonard Bissell papers	1842	1842/1842	eng	2 items		"Letters from cotton factors of Augusta, Georgia, describing the cotton market, prices, and futures."		"Cotton -- Georgia -- 19th century; Bissell, Leonard"			bissellleonardpapers-002569399	seca-44b4622b-e11c-49c0-82d4-61a606b28762	http://library.duke.edu/rubenstein/findingaids/bissellleonardpapers-002569399/	41239201	RL.30230	secst0228	D02483755Y	8	Alta Zhang	08/10/17	Zeutschel	secT0178	Alex Marsh	8/15/2017	DPC-M03	Alex Marsh	8/28/2017		
4	folder 1	"Bissell, Titus"	Titus Bissell letters	1854-1865	1854/1865	eng	15 items		"Letters, largely from Titus Bissell to his mother, discussing family affairs; two items describe the siege of Charleston during the Civil War and the part played by Titus's sons Tite and Neddy."		"Bissell, Titus; Charleston (S.C.) -- History -- Siege, 1863"	Charleston (S.C.)		bisselltitusletters-002569400	seca-13aa42d2-43dc-4fe0-93fe-126ee5fc195e	http://library.duke.edu/rubenstein/findingaids/bisselltitusletters-002569400/	41239195	RL.30237	secst0229	D02483756Z	32	Alta Zhang	08/10/17	Zeutschel	secT0179	Alex Marsh	8/15/2017	DPC-M03	Alex Marsh	8/28/2017		
5	folder 1	"Bisland, James"	James Bisland papers	1822-1835	1822/1835	eng	15 items		"Deeds for slaves purchased by James Bisland, including one deed from Peter Bisland and another from William Bisland."		"Slaveholders; Slaves -- Mississippi; Deeds; Bisland, James; Bisland, Peter; Bisland, William; Bisland family"		Deeds	bislandjamespapers-002683865	seca-66a4914f-cf7b-4424-9a52-b01a4b347493	http://library.duke.edu/rubenstein/findingaids/bislandjamespapers-002683865/	43737887	RL.30226	secst0230	D02483753W	32	Alta Zhang	08/10/17	Zeutschel	secT0180	Alex Marsh	8/15/2017	DPC-M03	Alex Marsh	8/28/2017		
6	folder 1	"Bitting, B. Lewis"	B. Lewis papers	1858-1886	1858/1886	eng	19 items		"Chiefly family correspondence, but mentioning the progress of the Civil War and an organization known as the ""Heroes of America,"" July 17, 1864, and material from 1877-1878 on the sale of manufactured tobacco in South Carolina."		"United States -- History -- Civil War, 1861-1865; Bitting, B. Lewis; Heroes of America (Society)"			bittingblewispapers-002569401	seca-0be69e2d-3a30-4a47-b675-39fbf61849ce	http://library.duke.edu/rubenstein/findingaids/bittingblewispapers-002569401/	41239205	RL.30238	secst0231	D02483765Z	82	Alta Zhang	08/10/17	Zeutschel	secT0181	Alex Marsh	8/15/2017	DPC-M03	Alex Marsh	8/28/2017		
7	folder 1	"Black, Harriet Matilda"	Harriet Matilda Black papers	1860-1889	1860/1889	eng	78 items		"Letters to Harriet from her brothers and cousins in the Confederate Army. There are references to the ""Beef Club,"" evidently a co-operative food venture among the soldiers, and to the canal built for the siege of Vicksburg."		"Soldiers -- Correspondence; United States -- History -- Civil War, 1861-1865; Vicksburg (Miss.) -- History -- Siege, 1863"	United States; Vicksburg (Miss.)		blackharrietmatildapapers-000844125	seca-7036cef0-4c0e-46ca-8afd-53234165769a	http://library.duke.edu/rubenstein/findingaids/blackharrietmatildapapers-000844125/	19211991	RL.30239	secst0232	D02483758.	184	Alta Zhang	08/11/17	Zeutschel	secT0182	Alex Marsh	8/15/2017	DPC-M03	Alex Marsh	8/28/2017		
8	folder 1	"Blackford, Charles Minor, Sr."	Charles Minor Blackford papers	1848-1870	1848/1870	eng	8 items		Miscellaneous material concerning a law firm.		"Law firms -- 19th century; Blackford, Charles Minor, Sr; Kirkpatrick, Thomas Jellis; Kirkpatrick, Thomas Jellis"			blackfordcharlesminorsrpapers-002569403	seca-1954b1b1-45c0-4d27-b7eb-6ef0ee9bcaae	http://library.duke.edu/rubenstein/findingaids/blackfordcharlesminorsrpapers-002569403/	41239202	RL.30233	secst0233	D02483759	22	Alta Zhang	08/11/17	Zeutschel	secT0183	Alex Marsh	8/17/2017	DPC-M03	Alex Marsh	8/28/2017		
9	folder 1	"Blackmon, Homer"	Homer Blackmon papers	1862-1864	1862/1864	eng	4 items		"Letters from J. A. Dunn, overseer of Blackmon's plantation near Point Jefferson, Louisiana, about the building of a cotton gin, illness among the slaves, Civil War refugee life at Walnut Hill, Arkansas, and the behavior of slaves under French occupation."		"Slavery -- United States -- History; Blackmon, Homer; Arkansas -- History -- Civil War, 1861-1865; Louisiana -- History -- Civil War, 1861-1865"	Arkansas; Louisiana		blackmonhomerpapers-002569405	seca-46920f41-0685-4755-915a-3f4957660254	http://library.duke.edu/rubenstein/findingaids/blackmonhomerpapers-002569405/	41239207	RL.30240	secst0234	D02483760U	16	Alta Zhang	08/11/17	Zeutschel	secT0184	Alex Marsh	8/17/2017	DPC-M03	Alex Marsh	8/28/2017		
10	folder 1	"Blackshear, J. William"	William J. Blackshear papers	1846-1865	1846/1865	eng	50 items		"Chiefly war letters from Blackshear, who was engaged to and eventually married Marian Baber, daughter of Ambrose Baber; and of George D. Smith, Confederate soldier and cousin of the Babers. The letters include descriptions of the fall of Port Royal, S.C., in 1861, and graphic descriptions of army life and activities on St. Simon's Island, Ga. Other correspondents wrote of the efforts of ""Yankees"" in 1865 to get teachers for African-American schools in Savannah, and impressions of Texas."		"Port Royal (S.C.) Expedition, 1861; Soldiers -- Correspondence; Freedmen -- Education -- Georgia; Baber, Marian; Smith, George D.; Confederate States of America -- History; Confederate States of America -- Social conditions; Georgia -- History -- Civil War, 1861-1865; Saint Simons Island (Ga.) -- History; Texas -- Description and travel; United States -- History -- Civil War, 1861-1865"	Confederate States of America; Georgia; Saint Simons Island (Ga.); Texas; United States		blackshearjwilliampapers-000844131	seca-9af1b544-bf64-4751-8ed3-173f46683fbc	http://library.duke.edu/rubenstein/findingaids/blackshearjwilliampapers-000844131/	19212065	RL.30232	secst0235	D02483761V	204	Alta Zhang	08/14/17	Zeutschel	secT0185	Alex Marsh	8/23/2017	DPC-M03	Alex Marsh	8/28/2017		
11	folder 1	"Blackwell, Elizabeth"	Elizabeth Blackwell papers	"1838, 1847"	1838/1847	eng	2 items		"A personal letter from Elizabeth Blackwell's daughter, Betsy, and her son-in-law, J. H. (Edmunds?); and a letter concerning interest on a loan."		"Blackwell, Elizabeth"			blackwellelizabethpapers-002569407	seca-1d955707-fdc7-40aa-8490-0d2c4e4bad2a	http://library.duke.edu/rubenstein/findingaids/blackwellelizabethpapers-002569407/	41239200	RL.30229	secst0236	D02483762W	8	Alta Zhang	08/14/17	Zeutschel	secT0186	Alex Marsh	8/23/2017	DPC-M03	Alex Marsh	8/28/2017		
12	folder 1	"Blackwell, M. J."	M. J. Blackwell letters	1845-1852	1845/1852	eng	8 items		"Letters from Blackwell, a Methodist minister, to his brother Edmund B. Blackwell. Letters contain advice about moving from South Carolina to Mississippi or Alabama. Among topics are produce prices; crop conditions; commercial advantages; and land speculation. Blackwell wrote about sickness in his community, mentioning hemorrage of the lungs, bronchitis, bloody flux, congestive chills, typhoid, and cholera. Blackwell owned slaves, and commented on their health as well. Occasional religious exhortations are included, as well as comments on revivals, conferences, and conversions. In letter dated 1852 Dec. 29, the author described a hurricane in the Mississippi delta and referred to Judge Longstreet and the University of Mississippi."	Purchase 1979	"Methodist Church -- Mississippi -- Clergy; Slavery and the church -- Mississippi -- Methodist Church; Real estate investment -- Alabama; Real estate investment -- Mississippi; Slaves -- Health and hygiene -- Southern States -- History; Agriculture -- Alabama; Agriculture -- Mississippi; Emigration and immigration; Diseases -- Southern States -- History; Hurricanes -- Mississippi; Blackwell, Edmund R.; Longstreet, Augustus Baldwin, 1790-1870; University of Mississippi -- History; Alabama -- Emigration and immigration; Mississippi -- Emigration and immigration; South Carolina -- Emigration and immigration"	Alabama; Mississippi; South Carolina		blackwellmjletters-001616545	seca-9a5e6e38-ef10-40d5-b631-f07e8dddbde6	http://library.duke.edu/rubenstein/findingaids/blackwellmjletters-001616545/	31421740	RL.30231	secst0237	D02483763X	28	Alta Zhang	08/14/17	Zeutschel	secT0187	Alex Marsh	8/23/2017	DPC-M03	Alex Marsh	8/28/2017		
13	folder 1	"Blackwood, David K."	David K. Blackwood papers	1851-1881	1851/1881	eng	16 items		"Personal correspondence of David K. Blackwood with his brothers, J., James J., and M. J. Blackwood."		"Brothers -- Correspondence; Blackwood, David K."			blackwooddavidkpapers-002569408	seca-2bb4a190-c822-43f6-8e2a-3648ab3905a8	http://library.duke.edu/rubenstein/findingaids/blackwooddavidkpapers-002569408/	41239225	RL.30235	secst0238	D02483766-	52	Alta Zhang	08/14/17	Zeutschel	secT0188	Alex Marsh	8/23/2017	DPC-M03	Alex Marsh	8/28/2017		
