Project	Box	Physical Order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note	barcode	Identifier	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes							
Section A	26	1	George Rootes Clayton papers	"Clayton, George Rootes, 1779-1840"	1801-1884	1801/1884	eng	35 items	"Personal papers concerning family matters; the health of Major General James Jackson; the University of Georgia; a duel between William H. Crawford and Peter L. Van Allen; an accounting, 1806, of the gold, silver, United States stocks, and the funds known as the Yazoo deposit in the Georgia treasury; internal improvements; the estate of George Clayton; and the sale of cotton, land, and slaves."		"Slavery -- Georgia -- 19th century| Distribution of decedents' estates -- Georgia| Dueling -- Georgia| Yazoo Fraud, 1795| Crawford, William Harris, 1772-1834| Jackson, James, 1757-1806| Van Allen, Peter L.| University of Georgia -- History| Georgia -- Politics and government -- 1775-1865"	Georgia		Text	claytongeorgerootespapers-000848186	848186	seca-216f9442-7181-48be-884b-bae1310e6ced	https://library.duke.edu/rubenstein/findingaids/claytongeorgerootespapers-000848186/	19347464	RL.30519	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208962U	secst0519	103	Christine Adjangba	11/2/2018	Zeutschel	secT0519	Rodrigo Araujo	11/27/2018	LIB-DPC01	Giao Baker	1/28/2019	LIB-QCDPC01	Alex Marsh	2/26/2019								
Section A	26	2		"Clay, Henry"																					D03571489.																						
Section A	26	3	John Cleek papers	"Cleek, John"	1829-1863	1829/1863	eng	15 items	"Collection contains correspondence of the Cleek and related Bradley and Brown families dealing with family matters, Hot and Warm Springs, a visit of P.T. Barnum's show to Staunton, Va., and the battle of Gettysburg."		"Gettysburg, Battle of, Gettysburg, Pa., 1863| Bradley family| Brown family| Cleek family| Ringling Brothers Barnum and Bailey Combined Shows| Hot Springs (Va.) -- History -- 19th century| Staunton (Va.) -- History -- 19th century| Virginia -- History| Warm Springs (Va.) -- History -- 19th century"	Hot Springs (Va.)| Staunton (Va.)| Virginia| Warm Springs (Va.)		Text	cleekjohnpapers-002367330	2367330	seca-4be3a0cf-30f4-4553-ba77-6e41dd41062c	https://library.duke.edu/rubenstein/findingaids/cleekjohnpapers-002367330/	38000736	RL.30520	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208964W	secst0520	44	Christine Adjangba	11/2/2018	Zeutschel	secT0520	Christine Adjangba	11/29/2018	LIB-DPC01	Giao Baker	1/28/2019	LIB-QCDPC01	Alex Marsh	2/26/2019								
Section A	26	4	John Marshall Clement papers	"Clement, John Marshall, 1825-1886"	1830-1872	1830/1872	eng	24 items	"Family, school, and legal correspondence. School letters are from De Witt C. Clement while at Clegg's College, near Mocksville, N.C., to John Clement at Gettysburg College, Gettysburg, Pa., and to a sister attending Edgeworth Female Academy, Greensboro, N.C. Included also are a letter discussing the presidential election of 1840, letters and a speech on the political activities of the Whigs and Democrats in North Carolina; a letter from Merryhill, N.C., concerning the Civil War; and an essay on card playing."		"College students -- Correspondence| Presidents -- United States -- Elections -- 1840| Women -- Education -- North Carolina| Clement, De Witt C.| Clegg's College (Mocksville, N.C.)| Democratic Party (N.C.)| Edgeworth Female Academy (Greensboro, N.C.)| Gettysburg College -- History -- 19th century| Whig Party (N.C.)| Mocksville (N.C.) -- History -- 19th century| North Carolina -- Politics and government| North Carolina -- History -- Civil War, 1861-1865"	Mocksville (N.C.)| North Carolina		Text	clementjohnmarshallpapers-000848189	848189	seca-182851a8-7ebe-46df-95e2-cebd43f42980	https://library.duke.edu/rubenstein/findingaids/clementjohnmarshallpapers-000848189/	19347504	RL.30521	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208968-	secst0521	82	Christine Adjangba	11/2/2018	Zeutschel	secT0521	Christine Adjangba	11/29/2018	LIB-DPC01	Alex Marsh	2/4/2019	LIB-QCDPC01	Alex Marsh	2/27/2019								
Section A	26	5	Elizabeth C. Clemm papers	"Clemm, Elizabeth C."	1833	1833/1833	eng	3 items	"Two of the three letters comprising this collection were written to Elizabeth C. Clemm by her mother from London. The letters are travelogues that include descriptions of what she and her party are seeing and experiencing. Her comments include her view of the British, impression of Nicolo Paganini, one of whose concerts she attended, and a detailed description of a flea circus. It appears that the young lady Sophia in her party was perhaps her daughter and that she may have been seeking a husband for her among British aristocracy. The young boy in the group seems to have been her son. Among the others in Mrs. Clemm's coterie was one Hamilton, the author of the third letter of which there is only a fragment."	"Purchase, 1976"	"Flea circuses| Paganini, Nicolo?Ç, 1782-1840| Great Britain -- Description and travel| Great Britain -- Social life and customs -- 19th century"	Great Britain		Text	clemmelizabethcpapers-001751764	1751764	seca-23729234-2c9d-4821-a989-4e31442e65f5	https://library.duke.edu/rubenstein/findingaids/clemmelizabethcpapers-001751764/	32452380	RL.30523	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208969.	secst0522	22	Christine Adjangba	11/2/2018	Zeutschel	secT0522	Christine Adjangba	11/29/2018	LIB-DPC01	Giao Baker	1/30/2019	LIB-QCDPC01	Alex Marsh	2/27/2019								
Section A	26	6	James Freeman Clarke papers	"Clarke, James Freeman, 1810-1888"	1833-1905	1833/1905	eng	44 items	"Items include a Harvard Divinity School certificate for completion of a theological course; letters from Mrs. Zina Fay Peirce discussing a Congress of Orientalists in London; a Statesmen's Conference; Republican and Democratic parties and the upcoming election; and letters discussing Clarke's nephew General H.S. Huidekoper and his command during the Railroad Strike 1877. Some letters are addressed to Anna (Huidekoper) Clarke by Lady Edith Jane (Smith) Durning-Lawrence (1844- ) about Lord Balfour; W. E. Gladstone; C.S. Parnell; Queen Victoria; British-Irish relations; the Liberal and Conservative parties; and Robert Browning. In 1905, daughter Miss Lilian Freeman Clarke, writes several letters about a Unitarian Conference on the Isles of Shoals off the coast from Portsmouth, N.H. There is an undated pamphlet by Clarke on Church-Going. He also reviews NELLEY BROOKE by Mrs. Florence (Marryat) Church Lean (also known as Mrs. Francis Lean and Mrs. Ross Church); WRECKED IN PORT by Edmund Hodgson Yates; and BALLET DANCER'S HUSBAND."		"Railroad Strike, U.S., 1877| Unitarian Universalist churches -- Clergy| Clarke, Anna Huidekoper| Clarke, Lilian Freeman| Durning-Lawrence, Edith Jane Smith, Lady, 1844| Marryat, Florence, 1833-1899| Yates, Edmund, 1831-1894| Church of the Disciples (Boston, Mass.)| Harvard Divinity School| Boston (Mass.) -- Religious life and customs"	Boston (Mass.)		Text	clarkejamesfreemanpapers-000848181	848181	seca-7382a412-c5b2-4289-a0b8-2de74c75b159	https://library.duke.edu/rubenstein/findingaids/clarkejamesfreemanpapers-000848181/	19347367	RL.30522	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	D03208954V	secst0523	214	Rodrigo Araujo	11/6/2018	Zeutschel	secT0523	Giao Baker	1/30/2019	LIB-DPC01	Alex Marsh	2/4/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	7	Nathan Clifford papers	"Clifford, Nathan, 1803-1881"	1843	1843/1843	eng	1 item	"Letter from Nathan Clifford to J.H. Hedges concerning the residence of Joshua A. Lowell, late congressman from Maine."		"Clifford, Nathan, 1803-1881| Lowell, Joshua A., 1801-1874"			Text	cliffordnathanpapers-002564984	2564984	seca-7cf31d82-215b-44e0-8404-5300eb37e0d8	https://library.duke.edu/rubenstein/findingaids/cliffordnathanpapers-002564984/	41109639	RL.30524	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208973W	secst0524	4	Christine Adjangba	11/8/2018	Zeutschel	secT0524	Rodrigo Araujo	12/4/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	8	Mary H. Clarke papers	"Clarke, Mary H."	1844-1848	1844/1848	eng	4 items	"Collection contains personal correspondence with parents in Lumpkin, Ga., and friends at Mercer University."		Women college students -- 19th century| Mercer University| Columbus (Ga.) -- History	Columbus (Ga.)		Text	clarkemaryhpapers-002367327	2367327	seca-65754fcf-3209-4763-b166-ed4f1504e02b	https://library.duke.edu/rubenstein/findingaids/clarkemaryhpapers-002367327/	38000738	RL.30525	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208957Y	secst0525	16	Christine Adjangba	11/8/2018	Zeutschel	secT0525	Rodrigo Araujo	12/4/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	9	Martha Harper Clayton papers	"Clayton, Martha Harper"	1846-1884	1846/1884	eng	39 items	"Letters from friends discussing social matters and from Confederate soldiers describing the battle of Chickamauga and trials of deserters. Also included are letters between Robert T. Clayton in Bluefields, Nicaragua, and W.R. Grace and Co., of New York, discussing the price of rubber; a letter from Robert T. Clayton concerning the Republican Party in Georgia; and information on the Clayton family."		"Women -- Social life and customs -- 19th century| Chickamauga, Battle of, Ga., 1863| Military deserters -- Confederate States of America| Rubber industry and trade -- Nicaragua| Soldiers -- Correspondence| Clayton, Robert T.| Clayton family| Republican Party (Ga.)| W.R. Grace & Co| Greensboro (Ga.) -- History -- 19th century| Nicaragua -- Commerce| United States -- History -- Civil War, 1861-1865"	Greensboro (Ga.)| Nicaragua| United States		Text	claytonmarthaharperpapers-000848188	848188	seca-0d489479-0b6e-4a07-9e86-c49f82aa9b31	https://library.duke.edu/rubenstein/findingaids/claytonmarthaharperpapers-000848188/	19347486	RL.30526	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208960S	secst0526	142	Christine Adjangba	11/8/2018	Zeutschel/Phase One	secT0526	Rodrigo Araujo/Alex Marsh	12/4/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	10	William W. Clark papers	"Clark, William W."	1848-1864	1848/1864	eng	22 items	Collection contains miscellaneous business receipts and itemized bills regarding use of a mechanical cotton picker; formation of a steamer company; slaves hired to a manufacturer; and food purchased by a hospital; and telegrams and letters relating to Clark's service in the Confederate Congress.		Women -- Confederate States of America -- History| Slavery -- Economic aspects -- United States| Confederate States of America. Congress| Athens (Ga.) -- 19th century| Confederate States of America -- Economic conditions| Confederate States of America -- Politics and government	Athens (Ga.)| Confederate States of America		Text	clarkwilliamwpapers-002357400	2357400	seca-fae252d9-ca0f-41b7-8ea4-5614c6257a1e	https://library.duke.edu/rubenstein/findingaids/clarkwilliamwpapers-002357400/	37883833	RL.30527	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208950R	secst0527	54	Christine Adjangba	11/8/2018	Zeutschel	secT0527	Rodrigo Araujo	12/4/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
