Project	Box	Physical Order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note	barcode	Identifier	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes												
Section A	33	1	John Davidson papers	"Davidson, John"	1781-1794	1781/1794	eng	5 items	Papers in the collection concern Davidson's mercantile business and other financial affairs.		"Merchants -- 18th century| Davidson, John| Maryland -- History -- 18th century"	Maryland		Text	davidsonjohnpapers-002560926	2560926	seca-b4a09ea2-e9c4-4f2d-bf6d-0144f0ab65e1	https://library.duke.edu/rubenstein/findingaids/davidsonjohnpapers-002560926/	41024944	RL.30669	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209112I	secst0669	18	Rodrigo Araujo	3/5/2019	Zeutschel	secT0669	Spencer Bevis	6/21/2019	LIB-QCDPC01	Spencer Bevis	7/15/2019	LIB-QCDPC01															
Section A	33	2	William Richardson Davie papers	"Davie, William Richardson, 1756-1820"	1782-1799	1782/1799	eng	4 items	"Papers of William Richardson Davie (1756-1820), lawyer, Revolutionary soldier, and governor of North Carolina, include a letter from DeBretigney concerning Davie's marriage; a land grant; a letter from William Polk concerning the Blount Conspiracy to invade Florida and Louisiana; and a letter from James Holderness of Rockingham County, North Carolina, concerning a legal matter invovling W. Ricks."		"Blount Conspiracy, 1795-1797| Davie, William Richardson, 1756-1820"			Text	daviewilliamrichardsonpapers-002560928	2560928	seca-dff3eb1e-8b61-4d1c-8861-58e02b51f14a	https://library.duke.edu/rubenstein/findingaids/daviewilliamrichardsonpapers-002560928/	41024946	RL.30670	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209114K	secst0670	14	Rodrigo Araujo	3/5/2019	Zeutschel	secT0670	Spencer Bevis	6/21/2019	LIB-QCDPC01	Spencer Bevis	7/15/2019	LIB-QCDPC01															
Section A	33	3	William Lee Davidson papers	"Davidson, William Lee, 1746-1781"	1792-1794	1792/1794	eng	3 items	"Papers dealing with claims of the heirs of William Lee Davidson, brigadier general of the militia of the Salisbury District of North Carolina, against the U.S. Treasury and the State of North Carolina for compensation after his death during the Revolutionary War."		"North Carolina -- Militia| North Carolina -- History -- Revolution, 1775-1783| United States -- History -- Revolution, 1775-1783 -- Claims"	North Carolina| United States		Text	davidsonwilliamleepapers-000893771	893771	seca-05484bd1-ea4b-4be0-a5f1-75aa600fb2a6	https://library.duke.edu/rubenstein/findingaids/davidsonwilliamleepapers-000893771/	20736902	RL.30671	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209110G	secst0671	10	Rodrigo Araujo	3/5/2019	Zeutschel	secT0671	Spencer Bevis	6/21/2019	LIB-QCDPC01	Spencer Bevis	7/15/2019	LIB-QCDPC01															
Section A	33	4	Jane Elizabeth Dasher papers	"Dasher, Jane Elizabeth"	1803-1863	1803/1863	eng	32 items	"Collection contains miscellaneous papers concerned wiht the administration of the estate of C. Dasher and other papers related to Christian Dasher, a tax collector and sheriff of Effingham County, Ga., from 1811-1816. Also included are bills and receipts concerning the medical treatment of enslaved persons in the 1840s and the 1850s."		"Slavery -- Georgia -- 19th century| Dasher, Christian| Dasher, Jane Elizabeth| Effingham County (Ga.) -- History -- 19th century"	Effingham County (Ga.)		Text	dasherjaneelizabethpapers-003867616	3867616	seca-3da699b2-20e0-47dd-b0b0-e2e34ff38829	https://library.duke.edu/rubenstein/findingaids/dasherjaneelizabethpapers-003867616/	1049804272	RL.30672	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209106L	secst0672	68	Alex Marsh	4/30/2019	Phase One	secT0672	Spencer Bevis	6/21/2019	LIB-QCDPC01	Spencer Bevis	7/15/2019	LIB-QCDPC01															
Section A	33	5	Amanda Davis papers	"Davis, Amanda"	1812-1861	1812/1861	eng	30 items	"Personal and family letters of Amanda Davis, including a Civil War letter from Camp Cook, Virginia, and an account book."		"Davis, Amanda| Southampton County (Va.) -- History -- 19th century| United States -- History -- Civil War, 1861-1865"	Southampton County (Va.)| United States		Text	davisamandapapers-002560929	2560929	seca-db4038bd-b1d8-4305-bf7b-88cfc11e2735	https://library.duke.edu/rubenstein/findingaids/davisamandapapers-002560929/	41024948	RL.30673	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209115L	secst0673	90	Joe Wang	3/5/2019	Zeutschel	secT0673	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	6	William W. Davis papers	"Davis, William W."	1835-1856	1835/1856	eng	48 items	"Business correspondence dealing with the iron trade. Some of the concerns are iron sales, finances and accounting, employment, slave sales, and some technical matters concerning the iron industry. Possible relationship with the William Weaver Papers."	Purchase 1982	Slavery -- Virginia -- 19th century| Iron -- Virginia -- 19th century			Text	daviswilliamwpapers-002199803	2199803	seca-150b645f-d712-49ca-9b70-547a0198aa3e	https://library.duke.edu/rubenstein/findingaids/daviswilliamwpapers-002199803/	36009678	RL.30679	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03559516Y	secst0674	150	Joe Wang	3/5/2019	Zeutschel	secT0674	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	7	William Davidson letter	"Davidson, William, 1778-1857"	1820	1820/1820	eng	1 item	"Collection consists of a letter to Peter Ulrick of Baltimore, replying to a letter sent by Ulrick regarding $200 that Ulrick was to have received from James Sprath."		Legislators -- North Carolina| Legislators -- United States			Text	davidsonwilliam-002421001	2421001	seca-ef94a3dc-2121-4fef-b506-575a49c95bad	https://library.duke.edu/rubenstein/findingaids/davidsonwilliam-002421001/	38744851	RL.30674	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209113J	secst0675	2	Rodrigo Araujo	3/6/2019	Zeutschel	secT0675	Spencer Bevis	6/21/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	8	D. A. Davis papers	"Davis, D. A. (Dolphin Alston), 1802-1881"	1820-1829	1820/1829	eng	31 items	"Business correspondence of Dolphin A. Davis and John A. Matthews, cotton brokers at Fayetteville, N.C., and Cheraw, S.C., with merchants of South Carolina and New York. Included is information on prices and business methods."		"Commission merchants -- North Carolina -- Fayetteville| Commission merchants -- South Carolina -- Cheraw| Cotton -- Prices -- United States| Cotton trade -- New York (State) -- New York| Cotton trade -- North Carolina| Cotton trade -- South Carolina| Matthews, John A.| Cheraw (S.C.) -- Commerce| Fayetteville (N.C.) -- Commerce| North Carolina -- Economic conditions| South Carolina -- Economic conditions"	Cheraw (S.C.)| Fayetteville (N.C.)| North Carolina| South Carolina		Text	davisdapapers-000893789	893789	seca-6edfe74b-a369-4209-b514-7003bdfa8b2c	https://library.duke.edu/rubenstein/findingaids/davisdapapers-000893789/	20736952	RL.30675	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209117N	secst0676	120	Rodrigo Araujo	3/6/2019	Zeutschel	secT0676	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	9	Nancy T. Davis papers	"Davis, Nancy T."	1827-1845	1827/1845	eng	3 items	"Collection contains family letters to Davis from her brothers, reflecting the family's religious interests."		Families -- Religious life| Religion| Morgan County (Ga.) -- History	Morgan County (Ga.)		Text	davisnancytpapers-002408834	2408834	seca-bf9e11b5-5f7a-4494-8e96-cd518668ea9b	https://library.duke.edu/rubenstein/findingaids/davisnancytpapers-002408834/	38518952	RL.30677	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209129Q	secst0677	10	Rodrigo Araujo	3/6/2019	Zeutschel	secT0677	Spencer Bevis	6/21/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	10	Ira Davenport papers	"Davenport, Ira"	1828-1842	1828/1842	eng	7 items	Letters of Ira Davenport pertaining to real estate in New York.		"Real property -- New York (State) -- 19th century| Davenport, Ira"			Text	davenportirapapers-002560924	2560924	seca-e4513647-5fcd-43f2-a937-cc5f25fb4bd8	https://library.duke.edu/rubenstein/findingaids/davenportirapapers-002560924/	41024942	RL.30678	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209109O	secst0678	24	Rodrigo Araujo	3/6/2019	Zeutschel	secT0678	Spencer Bevis	6/21/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
