Project	Box	Physical Order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note	barcode	Identifier	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes
Section A	35	1	Anthony Digges papers	"Digges, Anthony"	1783-1799	1783/1799	eng	5 items	"Pages from the account book of Digges, a sea captain plying the coast of North Carolina; an agreement for the sale of a schooner; and letters to Digges concerning maritime affairs."		"Seafaring life -- 18th century| Commerce| Digges, Anthony| Washington (N.C.)"	Washington (N.C.)		Text	diggesanthonypapers-002570736	2570736	seca-22872378-d0d8-43df-a3b5-e73c6321d4ed	https://library.duke.edu/rubenstein/findingaids/diggesanthonypapers-002570736/	41247444	RL.30719	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D02483648Z	secst0719	10	Rodrigo Araujo	4/3/2019	Zeutschel	secT0719	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	2	Matthew Dickinson papers	"Dickinson, Matthew"	1791-1813	1791/1813	eng		"Letters and papers of Matthew Dickinson concerning personal affairs. They are mostly accounts and records of money borrowed and loaned. There is a price list from a Raleigh book- dealer, 1806."		"Accounting| Dickinson, Matthew| Louisburg College| Louisburg (N.C.)"	Louisburg (N.C.)		Text	dickinsonmatthewpapers-002570732	2570732	seca-f47f744e-d468-4210-b3a1-99ff607bd1b1	https://library.duke.edu/rubenstein/findingaids/dickinsonmatthewpapers-002570732/	41247445	RL.30720	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D02483644V	secst0720	168	Rodrigo Araujo	4/3/2019	Zeutschel	secT0720	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	3	"Digby County, Nova Scotia papers"	"Digby County, Nova Scotia"	1799-1895	1799/1895	eng	1 item	One section of this volume records the sale of goods salvaged from the wrecked ship CULLODEN. The other section contains the records of the Sissiboo Baptist Church and a note on African-American Baptists in Nova Scotia.		Shipwrecks| African Americans -- Nova Scotia -- History| African Americans -- Colonization -- Nova Scotia| Baptists -- Nova Scotia| Culloden (Frigate)| Culloden (Ship)| Sissiboo Baptist Church| Digby (N.S. : County)	Digby (N.S. : County)	Notebooks	Text	digbycountynovascotiapapers-002613663	2613663	seca-c1334f55-fc2f-4bb2-9ef1-c2837e187602	https://library.duke.edu/rubenstein/findingaids/digbycountynovascotiapapers-002613663/	42584191	RL.30721	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D02483647Y	secst0721	104	Alex Marsh	5/2/2019	Phase One	secT0721	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	4	Samuel Dickinson papers	"Dickinson, Samuel"	1801	1801/1801	eng	18 items	"Letters concerning marketing of shingles; cost of boat construction at Norfolk, Virginia; lumber for the West Indian market; and payments to the legatees of Robert Smith of Edenton, North Carolina."		"Commerce| Black, David| Black, David| Dickinson, Samuel| Edenton (N.C.)| Norfolk (Va.)"	Edenton (N.C.)| Norfolk (Va.)		Text	dickinsonsamuelpapers-002570733	2570733	seca-e29bc9b5-abec-4e03-8cd6-a810b170ea63	https://library.duke.edu/rubenstein/findingaids/dickinsonsamuelpapers-002570733/	41247446	RL.30722	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D02483645W	secst0722	54	Joe Wang	4/5/2019	Zeutschel	secT0722	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	5	Charles Knapp Dillaway papers	"Dillaway, Charles K. (Charles Knapp), 1804-1889"	1809-1858	1809/1858	eng	3 items	Letters concerning the American Antiquarian Society.		"Antiquarian booksellers| Dillaway, Charles K. (Charles Knapp), 1804-1889| American Antiquarian Society| Roxbury (Boston, Mass.)"	"Roxbury (Boston, Mass.)"		Text	dillawaycharleskpapers-002570738	2570738	seca-025507cc-c54d-4297-94ff-63c9c1128794	https://library.duke.edu/rubenstein/findingaids/dillawaycharleskpapers-002570738/	41247447	RL.30723	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D02483652U	secst0723	10	Joe Wang	4/5/2019	Zeutschel	secT0723	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	6	Joseph Dickinson papers	"Dickinson, Joseph"	1822-1868	1822/1868	eng	23 items	"Letters from Nolen and Griffith Dickinson on travels from Virginia to Missouri. Other letters of the Dickinson family are of John P. and Joseph Wright referring to the hard times and quoting the price of cotton and tobacco. In a letter of 1838, Wm. A. Dickinson suggested to Joseph Wright that they try growing Chinese mulberry trees for sale, saying that a great many people in eastern Virginia and to the north were making silk. A letter written by Hester and Lancaster of Marion, Alabama in 1854 stated that they were selling slaves very slowly since the trade in that state was very dull."		"Cotton trade -- United States| Tobacco industry -- United States| Silk industry| Slave trade| Slaves -- Alabama| Dickinson, Joseph| Dickinson, Washington| Dickinson, Washington| Dickinson, Hill & Co| Franklin County (Va.)"	Franklin County (Va.)		Text	dickinsonjosephpapers-002570731	2570731	seca-e84b63fc-cff4-4563-bf33-aad8e74db896	https://library.duke.edu/rubenstein/findingaids/dickinsonjosephpapers-002570731/	41247448	RL.30724	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D02483643U	secst0724	70	Joe Wang	4/5/2019	Zeutschel	secT0724	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	7	John James Dillard papers	"Dillard, John James"	1822-1870	1822/1870	eng	41 items	"Letters and papers of the Dillard family consisting of a few items of political correspondence including a letter on the presidential election of 1840; letters from the Civil War describing campaigns in Virginia; family correspondence discussing the law, anesthetics, the Democratic Party, black servants, and a description of Philadelphia, Pa.; and financial papers relating to the purchase and shipping of gunpowder from Connecticut by Alfred Woodroof."		"Gunpowder| Presidents -- United States -- Election -- 1840| Woodroof, Alfred| Dillard family| Democratic Party (U.S.)| Philadelphia (Pa.) -- Description and travel| Virginia -- History -- Civil War, 1861-1865"	Philadelphia (Pa.)| Virginia		Text	dillardjohnjamespapers-000893797	893797	seca-6d473bd6-abb4-4f09-a945-c82c937a7497	https://library.duke.edu/rubenstein/findingaids/dillardjohnjamespapers-000893797/	20736975	RL.30725	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D02483651T	secst0725	114	Joe Wang	4/5/2019	Zeutschel	secT0725	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	8	Asbury Dickins papers	"Dickins, Asbury, 1780-1861"	1832-1855	1832/1855	eng	3 items	Letters of Asbury Dickens (1780-1861) to Matthew Carey regarding census figures and a circular concerned with the distribution of the works of John Adams. Included also is a personal letter from Archibald Dixon.		"Carey, Matthew| Dickins, Asbury, 1780-1861| Dixon, A. (Archibald), 1802-1876| United States. Congress. Senate| Halifax County (N.C.)| United States -- Census data| Washington (D.C.)"	Halifax County (N.C.)| United States| Washington (D.C.)		Text	dickinsasburypapers-002570729	2570729	seca-eea02a69-6475-4dc6-a379-82430a711a0b	https://library.duke.edu/rubenstein/findingaids/dickinsasburypapers-002570729/	41247462	RL.30726	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D02483640R	secst0726	6	Joe Wang	4/5/2019	Zeutschel	secT0726	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	9	Joseph Dickinson papers	"Dickinson, Joseph"	1848-1858	1848/1858	eng	4 items	Correspondence of the slave-trading firm concerning the slave market and prices of slaves.		"Slave trade -- Virginia -- Richmond| Slaves -- Prices -- Virginia| Dickinson, Joseph| Dickinson, Hill & Co. (Richmond, Va.)| Richmond (Va.) -- Economic conditions| Richmond (Va.) -- Commerce"	Richmond (Va.)		Text	dickinsonjosephpapers-000893779	893779	seca-dcbf68db-f80b-4eb4-a9fe-857ccc9d9058	https://library.duke.edu/rubenstein/findingaids/dickinsonjosephpapers-000893779/	20736926	RL.30727	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D02483642T	secst0727	14	Joe Wang	4/5/2019	Zeutschel	secT0727	Spencer Bevis	7/23/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
Section A	35	10	Hider D. Dickens papers	"Dickens, Hider D."	1856-1877	1856/1877	eng	15 items	"Letters of a Confederate soldier imprisoned at Elmira, N.Y., and a few family letters, including two from Dickens' niece who was a student at Greensboro Female College (Greensboro, N.C.), 1876-1877."		"Soldiers -- Confederate States of America -- Correspondence| Universities and colleges -- North Carolina| Women -- Education -- North Carolina| Greensboro Female College (Greensboro, N.C.) -- Students| Elmira (N.Y.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons"	Elmira (N.Y.)| United States		Text	dickenshiderdpapers-000893766	893766	seca-8c3f70d0-946c-4977-9d14-6329caf26a57	https://library.duke.edu/rubenstein/findingaids/dickenshiderdpapers-000893766/	20736894	RL.30728	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D02483639Z	secst0728	48	Joe Wang	4/5/2019	Zeutschel	secT0728	Spencer Bevis	7/24/2019	LIB-QCDPC01	Spencer Bevis	8/16/2019	LIB-QCDPC01			
