Project	Box	Physical Order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note	barcode	Identifier		Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes
Section A	38	1	Dugas family papers	Dugas family	1763-1848	1763/1848	fre	34 items	"Papers in this collection include letters, as well as financial and legal documents. The oldest item is a French marriage contract drawn in 1763, in the name of Louis Renee Adrien Dugas. Most of the material in the collection, however, pertains to Leon Frederick E. Dugas, who traveled extensively as a cotton merchant and general factor. Letters to Dugas discuss business and prices, as well as numerous lawsuits and disputes with importers. Several letters to Dugas from his brother-in-law and partner Paul Ronignol, are in French. A letterpress volume from 1845 records much of Dugas's correspondence from that year. Many of these letters are in French, and virtually all deal with matters of finance, cotton sales, or estate settlements. Of interest are documents representing Dugas's attempts to gain control of the Habersham Iron Works; papers relating to the sale of slaves to the family; and an inventory showing that in 1827, the Dugas family purchased most of the land, goods, and slaves of ""Good-Rest,"" the Edgefield, S.C. home of Dr. Beauregard."	Gift 1979	"Cotton -- Prices| Cotton trade -- Georgia| French Americans -- Southern States| Slavery -- Georgia| Dugas, Leon Frederick E.| Roningol, Paul| Dugas family| Habersham Iron Works| Edgefield District (S.C.) -- History| Richmond County (Ga.) -- History"	Edgefield District (S.C.)| Richmond County (Ga.)		Text	dugasfamilypapers-002683930	2683930	seca-2ea56281-eb95-46af-8b79-bf1459f5c079	https://library.duke.edu/rubenstein/findingaids/dugasfamilypapers-002683930/	43738552	RL.30766	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03572362S	secst0767		112	Joe Wang	4/19/2019	Zeutschel	secT0767	Dongfan Zhang	11/25/2019	LIB-DPC02	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	2	Frederick A. Dugas papers	"Dugas, Frederick A."	1825-1848	1825/1848	eng	16 items	"Deeds, mercantile accounts, and personal letters of a French-American family. Several of the letters are in French. Included also is a record of visits, charges, and payments kept in diary form in 1854 by Louis Alexander Dugas (1806-1884), a prominent physician of Augusta, Ga. Information about the Habersham Iron Works in Habersham County, Georgia is also included."		"Iron foundries -- 19th century| French Americans -- Southern States| Medicine -- Practice -- Georgia| Physicians -- Georgia -- Savannah| Dugas, L. A. (Louis Alexander), 1806-1884| Augusta (Ga.) -- History| Habersham County (Ga.)"	Augusta (Ga.)| Habersham County (Ga.)		Text	dugasfrederickapapers-000893795	893795	seca-d475f14c-7426-4cbc-ad40-3b736abc9ce6	https://library.duke.edu/rubenstein/findingaids/dugasfrederickapapers-000893795/	20736966	RL.30767	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209157R	secst0768		74	Joe Wang	4/19/2019	Zeutschel	secT0768	Dongfan Zhang	11/15/2019	LIB-DPC01	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	3	John Dundore papers	"Dundore, John"	1839-1854	1839/1854	eng	6 items	"Business letters to Captain John Dundore, discussing land and the settlement of estates in Virginia; and a daybook, 1849-1858, for the tannery of the firm of Dundore and Eddins, 1849-1852, and its successor, John Dundore, 1852-1858."		"Business records -- Virginia -- Port Republic| Inheritance and succession -- Virginia| Tanning -- Virginia| Palmer, John W.| Dundore and Eddins (Port Republic, Va.)| John Dundore (Port Republic, Va. : Firm)| Port Republic (Va.) -- Commerce| Virginia -- Economic conditions"	Port Republic (Va.)| Virginia		Text	dundorejohnpapers-000893810	893810	seca-d87a96d5-4bd7-4b68-81d1-b43f139d142b	https://library.duke.edu/rubenstein/findingaids/dundorejohnpapers-000893810/	20737012	RL.30769	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209164P	secst0769		20	Joe Wang	4/19/2019	Zeutschel	secT0769	Dongfan Zhang	11/15/2019	LIB-DPC01	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	4	Edward Bishop Dudley papers	"Dudley, Edward Bishop, 1789-1855"	1838-1846	1838/1846	eng	3 items	"Papers include a land grant from Dudley to Neill Munn of Montgomery County, North Carolina, and a letter to the sheriff of Pasquotank County, North Carolina, granting a stay of execution, 1838."		"Capital punishment -- United States| Land grants -- North Carolina| Dudley, Edward Bishop, 1789-1855| Pasquotank County (N.C.)| Wilmington (N.C.)"	Pasquotank County (N.C.)| Wilmington (N.C.)		Text	dudleyedwardbishoppapers-002561236	2561236	seca-70adc20c-870b-476c-b19c-0f03b411f5cd	https://library.duke.edu/rubenstein/findingaids/dudleyedwardbishoppapers-002561236/	41038352	RL.30768	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209154O	secst0770		8	Joe Wang	4/19/2019	Zeutschel	secT0770	Dongfan Zhang	11/15/2019	LIB-DPC01	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	5	Charles Duffy papers	"Duffy, Charles"	1840-1888	1840/1888	eng	17 items	"Political correspondence of Charles Duffy, one letter of which describes the campaign of the Whig Party in the election of 1840; other letters pertain to the education of Duffy's sons, Charles and Lawrence, who were in a West Point preparatory school in New York City, ca. 1858."		"Boarding schools| Military education -- United States -- History -- 19th century| Presidents -- United States -- Election -- 1840| Schools -- New York (State) -- New York| Sedgwick, S.J.| Whig Party (U.S.)| New Bern (N.C.)| United States -- Politics and government -- 1837-1841"	New Bern (N.C.)| United States		Text	duffycharlespapers-000893790	893790	seca-fb468f30-8d9c-4f03-8179-41ebbdba51a2	https://library.duke.edu/rubenstein/findingaids/duffycharlespapers-000893790/	20736953	RL.30770	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209156Q	secst0771		54	Rodrigo Araujo	4/23/2019	Zeutschel	secT0771	Dongfan Zhang	11/15/2019	LIB-DPC01	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	6	C. Durand papers	"Durand, C."	1842-1851	1842/1851	eng	4 items	"Two routine business letters and a personal letter regarding foreign issues and the U.S. presidential election campaign of 1848 from G.B. Cummins to Durand; and a personal letter from Sarah in Savannah, Ga., concerning social matters and mutual acquaintances. Also mentioned are cotton prices in Liverpool, England."	Purchase 1979	"Cotton -- Prices| International relations -- 19th century| Presidents -- United States -- Election -- 1848| Cummins, G. B.| Liverpool (England)| New York (N.Y.)| Savannah (Ga.) -- Social life and customs"	Liverpool (England)| New York (N.Y.)| Savannah (Ga.)		Text	durandcpapers-002582811	2582811	seca-50bd253b-3186-4657-bcff-6a60944b25a2	https://library.duke.edu/rubenstein/findingaids/durandcpapers-002582811/	41546355	RL.30771	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209169U	secst0772		22	Rodrigo Araujo	4/23/2019	Zeutschel	secT0772	Dongfan Zhang	11/15/2019	LIB-DPC01	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	7	Mrs. Edward Dunning papers	"Dunning, Edward, Mrs.,"	1844-1863	1844/1863	eng	5 items	"Correspondence of the Dunning family, commenting on slavery, social life before and during the Civil War, and the town of Williamsburg, Va., in 1851."		Slavery -- United States| Confederate States of America -- Social life and customs| Southern States -- Social life and customs| Williamsburg (Va.) -- Description and travel	Confederate States of America| Southern States| Williamsburg (Va.)		Text	dunningedwardpapers-000893816	893816	seca-27f3ee58-06e0-4af3-b4d8-98a33becbf9e	https://library.duke.edu/rubenstein/findingaids/dunningedwardpapers-000893816/	20737033	RL.30772	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209166R	secst0773		20	Rodrigo Araujo	4/23/2019	Zeutschel	secT0773	Dongfan Zhang	11/15/2019	LIB-DPC01	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	8	Nancy Dunnagan papers	"Dunnagan, Nancy"	1846-1880	1846/1880	eng	26 items	"Letters to Nancy Dunnagan from her children and grandchildren in Union and Webster counties, Kentucky, discussing family matters and farming. Included are estate papers of Timothy Dunnagan, her husband."		"Families| Farm life -- Kentucky| Migration, Internal -- United States| Dunnagan, Timothy -- Estate.| Orange County (N.C.)| Union County (Ky.) -- History| Webster County (Ky.) -- History"	Orange County (N.C.)| Union County (Ky.)| Webster County (Ky.)		Text	dunnagannancypapers-000893813	893813	seca-a7dc84c8-6d7e-4c70-9b08-c6869d3b71f6	https://library.duke.edu/rubenstein/findingaids/dunnagannancypapers-000893813/	20737022	RL.30773	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209165Q	secst0774		66	Rodrigo Araujo	4/23/2019	Zeutschel	secT0774	Dongfan Zhang	11/15/2019	LIB-DPC01	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	9	William James Duke papers	"Duke, William James, 1803-1883"	1856-1896	1858/1896	eng	5 items	"Relates to the business and property of Duke and his family in Orange and Durham Counties, N.C."	Gift 1983	Deeds -- North Carolina -- Durham County -- 19th century| Deeds -- North Carolina -- Orange County -- 19th century| Families -- North Carolina| Durham County (N.C.)| Orange County (N.C.)	Durham County (N.C.)| Orange County (N.C.)	Deeds| Deeds	Text	dukewilliamjamespapers-001098954	1098954	seca-579270ea-3ca2-4771-aa61-98416e205e33	https://library.duke.edu/rubenstein/findingaids/dukewilliamjamespapers-001098954/	28086899	RL.30775	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03572492W	secst0776		12	Rodrigo Araujo	4/23/2019	Zeutschel	secT0776	Dongfan Zhang	11/25/2019	LIB-DPC02	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	10		"Drummond, Joseph A."																					D02483689/	secst0777		100	Rodrigo Araujo	4/23/2019	Zeutschel	secT0777	Dongfan Zhang	11/15/2019	LIB-DPC01	Kristin Phelps	1/10/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	11	Blanton Duncan papers	"Duncan, Blanton"	1866-1876	1866/1876	eng	6 items	"Letters of Blanton Duncan, a Confederate enthusiast, dealing chiefly with seeking autographs, and the proposed visit of James G. Blaine to New Orleans in 1866."		"Autographs -- Collections -- 19th century| Blaine, James Gillespie, 1830-1893| Duncan, Blanton| Chattanooga (Tenn.)"	Chattanooga (Tenn.)		Text	duncanblantonpapers-002561241	2561241	seca-c0f8ab7d-3efc-4a08-a3b5-e05c3dc59d3c	https://library.duke.edu/rubenstein/findingaids/duncanblantonpapers-002561241/	41038346	RL.30777	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209162N	secst0778		12	Rodrigo Araujo	4/24/2019	Zeutschel	secT0778	Dongfan Zhang	11/25/2019	LIB-DPC02	Kristin Phelps	1/10/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	12	Eliza A. Dupuy papers	"Dupuy, Eliza A. (Eliza Ann), 1814-1881"	1867-1880	1867/1880	eng	52 items	"Correspondence with Robert Bonner, editor of the New York Ledger, concerning the publication of Dupuy's stories. The letters include comments on Bonner's race horses, the trial of Henry Ward Beecher, and biographical information on Dupuy and Bonner. Included also is one letter from T.B. Peterson."		"Women journalists -- United States -- 19th century| Authors and publishers| Race horses| Women authors| Beecher, Henry Ward, 1813-1887| Bonner, Robert, 1824-1899| Peterson, T. B.| Flemingsburg (Ky.)| New York (N.Y.) -- Newspapers| United States -- Trials, litigation, etc"	Flemingsburg (Ky.)| New York (N.Y.)| United States		Text	dupuyelizaapapers-000849861	849861	seca-e632cc4b-6984-434d-816a-3ee116475083	https://library.duke.edu/rubenstein/findingaids/dupuyelizaapapers-000849861/	19406016	RL.30778	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209168T	secst0779		192	Rodrigo Araujo	4/24/2019	Zeutschel	secT0779	Dongfan Zhang	11/15/2019	LIB-DPC01	Alanna Styer	1/13/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	13	Alexander Dunbar papers	"Dunbar, Alexander"	1868	1868/1868	eng	1 item	"Letter from Dunbar to Robert Bonnor (Robert Bonner, editor of the New York Ledger?), describing Texas and its people."		"Dunbar, Alexander| Texas -- Social life and customs| Waco (Tex.)"	Texas| Waco (Tex.)		Text	dunbaralexanderpapers-002561240	2561240	seca-4eae7f7b-4774-4d6c-b168-9e296f91333f	https://library.duke.edu/rubenstein/findingaids/dunbaralexanderpapers-002561240/	41038364	RL.30779	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209161M	secst0780		4	Rodrigo Araujo	4/24/2019	Zeutschel	secT0780	Dongfan Zhang	11/25/2019	LIB-DPC02	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	14	Francis Dumaresq papers	"Dumaresq, Francis, 1854-"	1876-1882	1876/1882	eng	1 item	"European travel diary, 1876, which includes a few lists of travel expenses, and a page of financial information, 1882. Entries often contain reports on activities, mail received, people visited, and information received from others. The diary reflects the typical social life of a wealthy American travelling abroad during the nineteenth century. Dumaresq's travels took him to London and then to Scotland, particularly Melrose and Dryburgh Abbey. In Edinburgh he described the two occasions on which he saw Queen Victoria. In Switzerland Dumaresq visited Velvey, Geneva, Lucerne, Berne, Lausanne, and his stops in France included Rouen, Strasbourg, and Metz. He met a young Englishman who told him about encounters with Empress Eugénie. At the end of his trip, he returned to England, where he visited London, Canterbury, Brighton, Windsor Castle, Oxford, Stratford-on-Avon, Manchester, and Liverpool, where he saw the Duke and Duchess of Westminster."	Purchase 1989	Americans -- Travel -- Europe| Travelers -- Europe -- Diaries| Upper class -- United States| Voyages and travels| England -- Description and travel| France -- Description and travel| Scotland -- Description and travel| Switzerland -- Description and travel	England| France| Scotland| Switzerland		Text	dumaresqfrancispapers-000897759	897759	seca-ac63bde5-a69c-44e8-aaea-c4beb3917532	https://library.duke.edu/rubenstein/findingaids/dumaresqfrancispapers-000897759/	20836326	RL.30780	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209160L	secst0781		142	 Alex Marsh	3/17/2020	Phase One	secT0781	Alex Marsh	4/23/2019	LIB-DPCL718-03	Alex Marsh	4/23/2020	LIB-DPCL718-03	Alex Marsh	4/23/2020	
Section A	38	15	William B. Dupree papers	"Dupree, William B."	1895	1895/1895	eng	3 items	"Letters from former Civil War generals, John M. Schofield, Alexander P. Stewart, and Oliver O. Howard, to William B. Dupree in answer to the question, ""What do you consider your greatest achievement as a general in the Civil War?"""		"Howard, O. O. (Oliver Otis), 1830-1909| Schofield, John McAllister, 1831-1906| Stewart, Alexander P.| Confederate States of America. Army -- Officers -- Biography| United States. Army -- Officers -- Biography| United States -- History -- Civil War, 1861-1865"	United States		Text	dupreewilliambpapers-000893819	893819	seca-75f83f59-646f-44bd-8854-a9ccb8f45ac7	https://library.duke.edu/rubenstein/findingaids/dupreewilliambpapers-000893819/	20737046	RL.30782	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209167S	secst0782		8	Rodrigo Araujo	4/24/2019	Zeutschel	secT0782	Dongfan Zhang	11/25/2019	LIB-DPC02	Kristin Phelps	1/10/2020	LIB-DPC01	Alex Marsh	4/16/2020	
Section A	38	16	Joel H. DuBose papers	"DuBose, Joel H."	1895-1928	1895/1928	eng	2 items	Letters to DuBose from Allen Daniel Candler and Hoke Smith.		"Land grants -- Georgia| Candler, Allen D. (Allen Daniel), 1834-1910| DuBose, Joel H.| Smith, Hoke, 1855-1931| Atlanta (Ga.)"	Atlanta (Ga.)		Text	dubosejoelhpapers-002561234	2561234	seca-0a584b2d-2e01-4226-8612-48a10eaaa30d	https://library.duke.edu/rubenstein/findingaids/dubosejoelhpapers-002561234/	41038368	RL.30781	[local_id]	image		[rights_note]	D03209153N	secst0783		4	Rodrigo Araujo	4/24/2019	Zeutschel	secT0783	Dongfan Zhang	11/25/2019	LIB-DPC02	Kristin Phelps	1/9/2020	LIB-DPC01	Alex Marsh	4/16/2020	
