Project	Box	Physical Order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note	barcode	Identifier	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes						
Section A	39	1	"Pelig Eddy letter : Providence (R.I.), to Thomas Eddy, Washington (N.C.),"	"Eddy, Pelig"	1807 April 19	1807/1807	eng	1 item	"Written by Thomas Eddy's father, Pelig Eddy, with a note added by his sister, Mary Eddy. Contains news about their family and mutual acquaintances in Providence, Rhode Island and expresses concern for Eddy's health. Apparently, Eddy was on business in North Carolina."	Purchase 1981	"Fathers and sons| Brothers and sisters| New Englanders -- North Carolina| Eddy, Thomas, fl. 1807| Eddy family| Providence (R.I.) -- Social life and customs"	Providence (R.I.)		Text	eddypelig-001098937	1098937	seca-7e284950-9ac7-4931-b81c-e3093dcb0067	https://library.duke.edu/rubenstein/findingaids/eddypelig-001098937/	28086735	RL.30785	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03572493X	secst0786	4	Rodrigo Araujo	4/25/2019	Zeutschel	secT0786	Dongfan Zhang	11/25/2019	LIB-DPC02	Alanna Styer	1/13/2020	LIB-DPC01									
Section A	39	2	Pryant Easley papers	"Easley, Pyrant"	1816-1824	1816/1824	eng	7 items	Items dealing with the disposition of enslaved persons belonging to the estate of Pryant Easley.		"Slavery -- Virginia -- 19th century| Slave records| Easley, Pyrant"			Text	easleypyrantpapers-002545965	2545965	seca-97ec6302-7806-43de-9cab-d9f1a8459878	https://library.duke.edu/rubenstein/findingaids/easleypyrantpapers-002545965/	40761591	RL.30786	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209180N	secst0787	87	Spencer Bevis	6/28/2019	Phase One	secT0787	Saumya Srivastava	12/4/2019	LIB-DPC07	Kristin Phelps	1/14/2020	LIB-DPC01			secst0787082 and secst0787083 need to be reprocessed--borders clipped						
Section A	39	3	John Henry Eaton letters	"Eaton, John Henry, 1790-1856"	1829-1830	1829/1830	eng	2 items	"Routine letters to Eaton as United States secretary of war, making recommendations for appointments."		"Eaton, John Henry, 1790-1856"			Text	eatonjohnhenryletters-002563221	2563221	seca-9d477e07-433a-4777-86e1-ebdd2476167d	https://library.duke.edu/rubenstein/findingaids/eatonjohnhenryletters-002563221/	41091039	RL.30787	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209184R	secst0788	6	Rodrigo Araujo	4/25/2019	Zeutschel	secT0788	Dongfan Zhang	11/25/2019	LIB-DPC02	Alanna Styer	1/13/2020	LIB-DPC01									
Section A	39	4	William Eaton papers	"Eaton, William"	1831	1831/1831	eng	1 item	"A letter of March 21, 1831 from William Eaton to James Thorne about ""the late war,"" presumably the War of 1812."		"Eaton, William| United States -- History -- War of 1812"	United States		Text	eatonwilliampapers-002563223	2563223	seca-971d9fbd-3faf-4261-bc0d-1b4713a25364	https://library.duke.edu/rubenstein/findingaids/eatonwilliampapers-002563223/	41091040	RL.30788	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209186T	secst0789	2	Rodrigo Araujo	4/25/2019	Zeutschel	secT0789	Dongfan Zhang	11/25/2019	LIB-DPC02	Alanna Styer	1/13/2020	LIB-DPC01									
Section A	39	5	Ralph E. W. Earl papers	"Earl, Ralph Eleaser Whiteside, approximately 1785-1838"	1833	1833/1833	eng	7 items	"Collection includes miscellaneous notes to Earl, a portraitist, concerning Washington society during the Jackson administration and a printed pen-and-ink sketch (self-portrait?) of Earl."		"Portrait painters -- 19th century| Earl, Ralph Eleaser Whiteside, approximately 1785-1838| Jackson, Andrew, 1767-1845"			Text	earlralpheleaserwhitesidepapers-002563217	2563217	seca-8d8b29e1-5429-4ca9-8777-0b8377ad16a5	https://library.duke.edu/rubenstein/findingaids/earlralpheleaserwhitesidepapers-002563217/	41091041	RL.30789	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209177T	secst0790	26	Rodrigo Araujo	4/25/2019	Zeutschel	secT0790	Saumya Srivastava	11/27/2019	LIB-DPC02	Kristin Phelps	1/14/2020	LIB-DPC01									
Section A	39	6	Kate Edmond papers	"Edmond, Kate"	1835-1886 ;	1835/1886	eng	25 items	Mostly letters from former student Carrie McCord who moved with her family to Brazil in 1881. The letters discuss Brazilian social life and customs; Catholicism; the cities of Bahia and Rio de Janeiro; floods and landslides in Campos; smallpox in that city in 1882 and 1883; and the visit of the Emperor and Empress to celebrate bringing electricity there.		"Electrification -- Brazil -- 19th century| Smallpox -- Brazil -- 19th century| Women -- Correspondence| McCord, Carrie| Catholic Church -- Brazil| Brazil -- Description and travel| Brazil -- Social life and customs -- 19th century"	Brazil		Text	edmondkatepapers-000853476	853476	seca-32411d15-2016-43db-937a-f72a434385d1	https://library.duke.edu/rubenstein/findingaids/edmondkatepapers-000853476/	19536420	RL.30790	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209188V	secst0791	194	Rodrigo Araujo	4/25/2019	Zeutschel	secT0791	Saumya Srivastava	11/27/2019	LIB-DPC02	Kristin Phelps	1/14/2020	LIB-DPC01									
Section A	39	7	William T. Dyer letter	"Dyer, William T."	1840	1840/1840	eng	1 item	"Letter of recommendation for Colonel Birch of Missouri for a governmental post in Washington by William T. Dyer, chairman of the Tippecanoe Club of Howard County."		"Dyer, William T."			Text	dyerwilliamt-002563215	2563215	seca-f51f754c-a5f7-4f2b-8b8d-47ff28196d3f	https://library.duke.edu/rubenstein/findingaids/dyerwilliamt-002563215/	41091043	RL.30791	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209175R	secst0792	4	Rodrigo Araujo	4/25/2019	Zeutschel	secT0792	Saumya Srivastava	11/27/2019	LIB-DPC02	Alanna Styer	1/13/2020	LIB-DPC01									
Section A	39	8	Edward Earle letter	"Earle, Edward"	1840	1840/1840	eng	1 item	"Letter of Earle trying to identify Michel Ney, Marshal of France, as one Michael Rudolph, Revolutionary War veteran of Elkton, Maryland."		"Earle, Edward"			Text	earleedward-002563216	2563216	seca-8920ab00-0888-4845-bc2d-3262c31c5c13	https://library.duke.edu/rubenstein/findingaids/earleedward-002563216/	41091042	RL.30792	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209176S	secst0793	4	Rodrigo Araujo	4/25/2019	Zeutschel	secT0793	Saumya Srivastava	11/27/2019	LIB-DPC02	Alanna Styer	1/13/2020	LIB-DPC01									
Section A	39	9	Branner Easterly papers	"Easterly, Branner"	1854-1888	1854/1888	eng	61 items	Letters of Easterly and various members of his family concerning the problems of managing the farm while Easterly was in the United States Army during the Civil War; Northern and Southern views of Reconstruction; and family matters.		"Farm management -- Illinois| Soldiers -- United States -- Correspondence| United States -- Politics and government -- 1865-1877| United States -- History -- Civil War, 1861-1865 -- Economic aspects"	United States		Text	easterlybrannerpapers-000893835	893835	seca-0081cfa0-0e53-40ea-80b9-65e4e71e6af9	https://library.duke.edu/rubenstein/findingaids/easterlybrannerpapers-000893835/	20737117	RL.30794	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209183Q	secst0795	192	Rodrigo Araujo	4/25/2019	Zeutschel	secT0795	Saumya Srivastava	11/27/2019	LIB-DPC02	Alannna Styer	1/14/2020 - 1/15/2020	LIB-DPC01			secst0795029 re-scan (narow margins)						
Section A	39	10	W. J. Hugh Durham letter	"Durham, W. J. Hugh"	1859	1859/1859	eng	1 item	"Personal letter from W. J. H. Durham, a student at Jefferson Medical College in Philadelphia, to his brother concerning family matters."		Jefferson Medical College -- Students -- 19th century			Text	durhamwjhugh-002561245	2561245	seca-120aa392-e0da-41b7-a3b5-4e49681031f2	https://library.duke.edu/rubenstein/findingaids/durhamwjhugh-002561245/	41038359	RL.30795	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209172O	secst0796	4	Rodrigo Araujo	4/26/2019	Zeutschel	secT0796	Saumya Srivastava	11/27/2019	LIB-DPC02	Alanna Styer	1/14/2020	LIB-DPC01									
