Project	Box	physical_order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note	barcode	Identifier	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes
Section A	46	1	Rebecca J. Fleetwood papers	"Fleetwood, Rebecca J."	1864-1871	1864/1871	eng	13 items	"Personal letters, two of which were written from Chowan Female College, Murfreesboro, North Carolina."		"Women college students -- North Carolina -- 19th century| Fleetwood, Rebecca J.| Hertford (N.C.)"	Hertford (N.C.)		Text	fleetwoodrebeccajpapers-002566302	2566302	41161300	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209348T	secst0904	44	Kristin Phelps	12/10/2019	Zeutschel	secT0904	Kristin Phelps	12/13/2019	LIB-DPC01	Svea Elisha	12/6/2022	LIB-DPC07	Svea Elisha	12/14/2022	
Section A	46	2	Anna Fleming papers	"Fleming, Anna"	1859	1859/1859	eng	3 items	"Report cards of a student at Charlotte Female Institute, Charlotte, North Carolina."		"Women -- Education -- Southern States| Fleming, Anna| Queens University (Charlotte, N.C.) -- History -- 19th century| Charlotte (N.C.)"	Charlotte (N.C.)		Text	flemingannapapers-002566303	2566303	41161299	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209349U	secst0905	6	Kristin Phelps	12/10/2019	Zeutschel	secT0905	Kristin Phelps	12/13/2019	LIB-DPC01	Svea Elisha	12/6/2022	LIB-DPC07	Svea Elisha	12/14/2022	
Section A	46	3	George Fleming papers	"Fleming, George"	1866-1870	1866/1870	eng	5 items	Deeds and indentures relating to the transfer of land and the payment of debts.		"Land titles -- Registration and transfer -- United States| Fleming, George| Hanover County (Va.)"	Hanover County (Va.)		Text	fleminggeorgepapers-002566304	2566304	41161302	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209350M	secst0906	18	Svea Elisha	8/30/2021	PhaseOne	secT0906	Svea Elisha	8/30/2021	LIB-DPCM02	Svea Elisha	12/6/2022	LIB-DPC07	Svea Elisha	12/14/2022	
Section A	46	4	James L. Fleming papers	"Fleming, James L."	1891	1891/1891	eng	8 items	"Letters to James Fleming, corresponding secretary for the Confederate Survivors' Association, accepting or declining invitations to a reunion of this group. Included are letters from John Bratton, Joseph Brent, Winfield S. Featherston, Johnson Hagwood, James Henry Law, A. L. Long, N. Miller, Thomas Taylor Munford, and F. A. Sharp."		"Munford, Thomas Taylor,| Bratton, John, 1831-1898| Featherston, Winfield Scott, 1819-1891| Fleming, James L.| Confederate Survivors Association"			Text	flemingjameslpapers-002566305	2566305	41161303	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209351N	secst0907	22	Alanna Styer	12/11/2019	Zeutschel	secT0907	Kristin Phelps	12/13/2019	LIB-DPC01	Svea Elisha	12/6/2022	LIB-DPC07	Svea Elisha	12/14/2022	
Section A	46	5	M.B. Fleming papers	"Fleming, M. B."	1848-1862	1848/1862	eng	27 items	"Correspondence of the Fleming family of Dutchville (Granville Co.), N.C., including comments on a smallpox epidemic, 1848; Whig politics in North Carolina, 1850; and the military situation after the first battle of Manassas (Bull Run), 1861."		"Bull Run, 1st Battle of, Va., 1861| Epidemics -- North Carolina| Smallpox -- North Carolina| Fleming family| Whig Party (N.C.)| Granville County (N.C.) -- History| North Carolina -- Politics and government -- 1775-1865"	Granville County (N.C.)| North Carolina		Text	flemingmbpapers-000895223	895223	20770011	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209352O	secst0908	71	Alanna Styer	12/11/2019	Zeutschel	secT0908	Kristin Phelps	12/13/2019	LIB-DPC01	Svea Elisha	12/6/2022	LIB-DPC07	Svea Elisha	12/14/2022	
Section A	46	6	W.H. Flinn papers	"Flinn, W. H."	1862-1863	1862/1863	eng	7 items	"Letters to Flinn concerning the wholesale purchase of goods, including one letter bearing on the scarcity of textile goods for private consumption produced by the ""Augusta Factory"" after the factory was restricted to the manufacture of ""shirting and sheeting"" for the Confederate government."		"Textile industry -- Confederate States of America| Confederate States of America. Army -- Supplies and stores| Confederate States of America -- Economic conditions| Georgia -- Economic conditions| United States -- History -- Civil War, 1861-1865 -- Economic aspects"	Confederate States of America| Georgia| United States		Text	flinnwhpapers-000895224	895224	20770021	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209353P	secst0909	16	Alanna Styer	12/11/2019	Zeutschel	secT0909	Kristin Phelps	12/16/2019	LIB-DPC01	Svea Elisha	12/6/2022	LIB-DPC07	Svea Elisha	12/14/2022	
Section A	46	7	Edward Flood papers	"Flood, Edward"	1864-1889	1864/1889	eng	24 items	"Correspondence and military papers of Captain Flood relating to the rebuilding of bridges around Lexington and Staunton, Va., 1864-1865, and his application for Superintendent of Improvements for New Orleans, 1888."		"Beauregard, G. T. (Gustave Toutant), 1818-1893| Smith, Wm. P. (William Proctor)| Confederate States of America. Army of Northern Virginia| Confederate States of America. Army -- Officers -- Correspondence| Lexington (Va.) -- History -- Civil War, 1861-1865| Staunton (Va.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Engineering and construction| Virginia -- History -- Civil War, 1861-1865"	Lexington (Va.)| Staunton (Va.)| United States| Virginia		Text	floodedwardpapers-000895228	895228	20770040	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209354Q	secst0910	50	Alanna Styer	12/11/2019	Zeutschel	secT0910	Kristin Phelps	12/16/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	8	John Floyd papers	"Floyd, John B. (John Buchanan), 1806-1863"	1807-1863	1807/1863	eng	263 items	"Papers include correspondence regarding of John Floyd's military campaigns and matters regarding troop movements, requests for supplies and army activities."		"Floyd, John B. (John Buchanan), 1806-1863| United States. War Department| Abingdon (Va.)| Confederate States of America -- Military life| Virginia -- History -- Civil War, 1861-1865"	Abingdon (Va.)| Confederate States of America| Virginia		Text	floydjohnbpapers-002566308	2566308	41161294	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209358U	secst0911	20	Alanna Styer	12/11/2019	Zeutschel	secT0911	Kristin Phelps	12/13/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	9	Edward Follett papers	"Follett, Edward"	1864-1865	1864/1865	eng	1 item	"Includes records of Edward Follett's service with the 28th Michigan Volunteer Infantry, Nov., 1864-May, 1865, in Kentucky, Tennessee, Ohio, Virginia, and Washington, D.C.; in a hospital in Virginia or Washington, D.C.; at Fortress Monroe; and in North Carolina. A note at the end of the diary explains that Follett became ill and died on May 18, 1865."		"Soldiers -- United States -- Diaries| United States. Army. Michigan Infantry Regiment, 28th (1864-1866)| Fort Monroe (Va.) -- History -- Civil War, 1861-1865| Kentucky -- History -- Civil War, 1861-1865| North Carolina -- History -- Civil War, 1861-1865| Ohio -- History -- Civil War, 1861-1865| Tennessee -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Hospitals| United States -- History -- Civil War, 1861-1865 -- Personal narratives| Virginia -- History -- Civil War, 1861-1865| Washington (D.C.) -- History -- Civil War, 1861-1865"	Fort Monroe (Va.)| Kentucky| North Carolina| Ohio| Tennessee| United States| Virginia| Washington (D.C.)		Text	follettedwardpapers-000895232	895232	20770066	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209359V	secst0912	146	Svea Elisha	10/25/2021	PhaseOne	secT0912	Svea Elisha	11/12/2021	LIB-DPC07	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	10	Henry Stuart Foote papers	"Foote, Henry Stuart"	1876	1876/1876	eng	1 item	Collection is a letter from Henry Stuart Foote to Rev. C.K. Marshall.		"Marshall, C. K."			Text	footehenrystuartpapers-003869999	3869999	1088305478	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209363Q	secst0913	6	Alanna Styer	12/11/2019	Zeutschel	secT0913	Kristin Phelps	12/16/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	11	John B. Foote papers	"Foote, John B."	1862-1865	1862/1865	eng	86 items	"Collection includes letters to family members dating from Foote's entry into the army until his discharge. Topics including training around Washington, D.C., service at Suffolk, Petersburg, and Richmond, Va., and Folly and Charleston, S.C.; the capture of Fort Fisher; convalescence in military hospitals near Wilmington and New Bern, N.C.; camp life; confiscation of southern property; conscription of blacks; desertion; disease; health conditions; furloughs; morale; morals; prisoners; and transportation. There are a few letters from a cousin, Daniel P. Sanford, also a Union soldier, while camped at New Bern and Carolina City, N.C., relating to camp life and low pay."		"Soldiers -- United States -- Correspondence| Draft| Sanford, Daniel P.| United States. Army -- Military life| United States. Army. New York Infantry Regiment, 117th (1862-1865)| North Carolina -- History -- Civil War, 1861-1865| South Carolina -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- African Americans| United States -- History -- Civil War, 1861-1865 -- Confiscations and contributions| United States -- History -- Civil War, 1861-1865 -- Hospitals| United States -- History -- Civil War, 1861-1865 -- Medical care| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons| United States -- History -- Civil War, 1861-1865 -- Transportation| Virginia -- History -- Civil War, 1861-1865"	North Carolina| South Carolina| United States| Virginia		Text	footejohnbpapers-000857085	857085	19647089	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209364R	secst0914	400	Alanna Styer/Kristin Phelps	12/12/2019	Zeutschel	secT0914	Kristin Phelps	12/16/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	12	Peter Force papers	"Force, Peter, 1790-1868"	1825-1856	1825/1856	eng	6 items	"Collection includes miscellaneous letters, including one from Thomas Loraine McKenney, 1825 August 15, concerning John C. Calhoun's role in passage of a treaty between the Creek Indians and the state of Georgia; a letter of introduction from George Perkins Marsh, 1849 September 5, on behalf of James Meacham, his successor as representative from Vermont; letters from David Lowry Swain, 1854 March 29 and 1856 August 14, sending Force writings on North Carolina history; and a letter from James Cochran Dobbin, U.S. Secretary of the Navy, 1856 May 31, concerning a suggestion made by Swain."		"Creek Indians -- Treaties| Historians -- Correspondence| Indians of North America -- Treaties| Legislators -- Vermont| Calhoun, John C. (John Caldwell), 1782-1850| Dobbin, James C. (James Cochran), 1814-1857| Marsh, George P. (George Perkins), 1801-1882| McKenney, Thomas L. (Thomas Loraine), 1785-1859| Meacham, James, 1810-1856| Swain, David L. (David Lowry), 1801-1868| Swain, David L. (David Lowry), 1801-1868| North Carolina -- History -- Sources| United States -- History -- Sources| Washington (D.C.)"	North Carolina| United States| Washington (D.C.)		Text	forcepeterpapers-000857087	857087	19647098	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209365S	secst0915	24	Kristin Phelps	12/17/2019	Zeutschel	secT0915	Kristin Phelps	12/17/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	13	A.C. Ford papers	"Ford, A.C."	1833-1859	1833/1859	eng	4 items	"A.C. Ford was a resident of Eaton, Ohio."		"Songs -- Texts| Ford, A.C.| Foster, Stephen Collins, 1826-1864| Eaton (Preble County, Ohio)"	"Eaton (Preble County, Ohio)"		Text	fordacpapers-003869993	3869993	1088306508	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209366T	secst0916	10	Kristin Phelps	12/17/2019	Zeutschel	secT0916	Kristin Phelps	12/17/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	14	David M. Ford papers	"Ford, David M., -1862"	1862	1862/1862	eng	1 item	"Letter to unidentified ""Dear Friend"" while serving with the 11th Connecticut Infantry at Hatteras Island, N.C. Includes comments on local inhabitants."	Purchase 1985	"United States. Army. Connecticut Infantry Regiment, 11th (1861-1865)| Hatteras Island (N.C.)| North Carolina -- History -- Civil War, 1861-1865"	Hatteras Island (N.C.)| North Carolina		Text	forddavidmpapers-000748031	748031	15668973	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209367U	secst0917	2	Kristin Phelps	12/17/2019	Zeutschel	secT0917	Kristin Phelps	12/17/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	15	Henry Ford papers	"Ford, Henry"	1862-1864	1862/1864	eng	6 items	"Collection includes Civil War letters from John M. Ford, an enlisted man in the 37th Regiment of Massachusetts Volunteers, to his brother, Henry Ford, relating to the war in Virginia and Washington, D.C."		"Ford, Henry| Ford, John M.| Ford, John M.| United States. Army. Massachusetts Infantry Regiment, 37th (1861-1865)| America -- Military life -- 1860-1870| Marshfield (Mass.)| United States -- History -- Civil War, 1861-1865| Virginia -- History -- Civil War, 1861-1865| Washington (D.C.) -- History -- Civil War, 1861-1865"	America| Marshfield (Mass.)| United States| Virginia| Washington (D.C.)		Text	fordhenrypapers-002613661	2613661	42584188	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209369W	secst0918	22	Kristin Phelps	12/17/2019	Zeutschel	secT0918	Kristin Phelps	12/18/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
Section A	46	16	James Ford papers	"Ford, James, 1723-1810"	1804	1804/1804	eng	1 vol	"Collection includes a journal kept by James Ford during a trip to Frankfurt, Kentucky, to clear land titles confused by claims of squatters, French and Indian War veterans, and grantees of the Transylvania. Partly published in Bayrd Still, ed., ""To the West on Business in 1804,"" Pennsylvannia Magazine of History and Biography, 64 (January, 1904), 1-21."		"Deeds -- Kentucky| Ford, James, 1723-1810| Frankfurt (Ky.)| Milton (Mass.)"	Frankfurt (Ky.)| Milton (Mass.)		Text	fordjamespapers-002566312	2566312	41161293	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209362P	secst0919	88	Kristin Phelps	12/17/2019	Zeutschel	secT0919	Kristin Phelps	12/18/2019	LIB-DPC01	Svea Elisha	12/8/2022	LIB-37J9PK3	Svea Elisha	12/14/2022	
																																					
