Physical_order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	Barcode	DPC_ID	Count	Capture_Person	Capture_Date	Capture_Device	Capture_Target	QC1_Person	QC1_Date	QC1_Station	QC2_Person	QC2_Date	QC2_Station	Finalize_Person	Finalize_Date	Notes
1	folder 1	"Adger, John B. (John Bailey), 1810-1899"	John B. Adger papers	"1839, 1852"	1839/1852	eng	2		"Letters concerning renewals of subscriptions to THE PRESBYTERIAN of Philadelphia, Pa."		"Clergy -- South Carolina -- Correspondence -- History -- 19th century; Theological Seminary (Columbia, S.C.)"			adgerjohnbpapers-001585360	seca-42f78354-8229-4d12-8dba-237540ad9871	http://library.duke.edu/rubenstein/findingaids/adgerjohnbpapers-001585360/	31187646	RL.30021	D03027541M	secst0018	6	Alta Zhang	2/6/2017	Zeutschel	secT003	Alta Zhang	2/17/2017	LIB-DPC02				Mike Adamo	3/20/2017	
2	folder 1	"Adkins, Apphia C."	Apphia C. Adkins letters	1847-1849	1847/1849	eng	3		Family correspondence.		Women -- Virginia -- Correspondence; Women -- Virginia -- History -- 19th century			adkinsapphiacletters-001585355	seca-5e033c81-183b-4a35-950d-5a16b5b5d2b1	http://library.duke.edu/rubenstein/findingaids/adkinsapphiacletters-001585355/	31187639	RL.30023	D03027542N	secst0019	12	Alta Zhang	2/6/2017	Zeutschel	secT003	Alta Zhang	2/17/2017	LIB-DPC02				Mike Adamo	3/20/2017	
3	folder 1	"Agnew, Cornelius Rea"	Cornelius Rea Agnew letters	1875-1888	1875/1888	eng	15		"Letters from former patients and friends in Fla. to Agnew. Some letters concern the welfare and education of Seminole Indians, especially Howling Wolf, who was a prisoner at Fort Marion (Castillo de San Marcos) in St. Augustine, Fla. Howling Wolf's eye treatment in N.Y. is also discussed. Includes a letter of Dr. H. Caruthers of Tarrytown, N.Y. Letter of E.P. Pitcher of St. Augustine, Fla. concerns education of Seminoles at Hampton Institute, Va. and potential racial problems between Seminoles and Negroes. Letter also mentions religious conversations and prayer Pitcher had with Seminoles and their favorable response. Includes note from General William T. Sherman sent from Army headquarters in Washington, D.C."		"Seminole Indians -- Education -- Florida; Seminole Indians -- Education -- Virginia; Seminole Indians -- Medical care; Seminole Indians -- Religious life; Eye -- Diseases; Blacks -- Relations with Indians; Caruthers, H.; Pitcher, E. P.; Sherman, William T. (William Tecumseh), 1820-1891; Castillo de San Marcos (Saint Augustine, Fla.); College of Physicians and Surgeons in the City of New York; Hampton Institute; United States. Army -- Officers -- Correspondence"			agnewcorneliusrealetters-001616489	seca-d29a044e-7275-41f4-bb93-fec9c45611fb	http://library.duke.edu/rubenstein/findingaids/agnewcorneliusrealetters-001616489/	31421768	RL.30037	D03027525O	secst0020	56	Alta Zhang	42772	Zeutschel	secT003	Alta Zhang	2/17/2017	LIB-DPC02				Mike Adamo	3/20/2017	
4	folder 1	"Agnew, William G."	William G. and J. S. Agnew papers	1861-1864	1861/1864	eng	62		"Letters of William and J.S. Agnew, probably brothers, serving in the Confederate forces. William's letters deal with the military affairs and camp conditions while he was involved with the Peninsular Campaign. J.S.'s letters, written from Chickamauga, Tenn., and Camp Foster, Ga., are concerned with personal and military matters."		"Peninsular Campaign, 1862; Chickamauga, Battle of, Ga., 1863; Agnew, J. S.; Confederate States of America. Army.; Camp Foster (Ga.); Georgia -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865"	Camp Foster (Ga.); Georgia; United States		agnewwilliamgpapers-000842353	seca-d3fcfa25-b403-4183-9679-48be712f070f	http://library.duke.edu/rubenstein/findingaids/agnewwilliamgpapers-000842353/	19105264	RL.30029	D03027526P	secst0021	162	Alta Zhang	2/6/2017	Zeutschel	secT003	Alta Zhang	2/17/2017	LIB-DPC02				Mike Adamo	3/20/2017	
5	folder 1	"Agours, Eglantine"	Eglantine Agrous letters	1856-1889	1856/1889	eng	22		"Letters to Eglantine Agours (or Agurs) from relatives in Tennessee, Texas, and South Carolina, containing chiefly family news, but with some references to secession, civilian and military life in the South, the battle of Shiloh, the 12th Regiment of Tennessee Volunteers, and Reconstruction in South Carolina."		"Reconstruction (U.S. history, 1865-1877) -- South Carolina; Secession; Shiloh, Battle of, Tenn., 1862; Women -- Correspondence; Women -- Southern States; Confederate States of America. Army. Tennessee Infantry Regiment, 12th.; Confederate States of America -- Social conditions; South Carolina -- History -- 1865-1950; Tennessee -- History -- Civil War, 1861-1865"	Confederate States of America; South Carolina; Tennessee		agourseglantineletters-000887787	seca-d9c6dd44-5c67-4c42-a688-6d64a2ba394b	http://library.duke.edu/rubenstein/findingaids/agourseglantineletters-000887787/	20573962	RL.30027	D03027527Q	secst0022	90	Alta Zhang	2/6/2017	Zeutschel	secT003	Alta Zhang	2/17/2017	LIB-DPC02				Mike Adamo	3/20/2017	
6	folder 1	"Aichel, Oskar"	Oskar Aichel correspondence	1861-1863	1861/1863	ger	10		"Chiefly letters from Oskar Aichel in Cokesbury and Charleston, S.C., to his fiance and wife Martha, relating to personal and family affairs and to life and events in war-time Charleston. Also includes an exchange of letters (1861) between Aichel and a friend ""Margarethe H."""	"Purchase, 1960, 1986"	"Charleston (S.C.) -- Social life and customs; South Carolina -- History -- Civil War, 1861-1865"	Charleston (S.C.); South Carolina		aicheloskar-000743015	seca-6a49cb05-539b-4325-9bd3-ea18c7b8807a	http://library.duke.edu/rubenstein/findingaids/aicheloskar-000743015/	15507707	RL.30030	D03027528R	secst0023	48	Mike Adamo	2/17/2017	Zeutschel	secT006	Alta Zhang	2/17/2017	LIB-DPC02				Mike Adamo	3/20/2017	
7	folder 1	"Akerman, Joseph L."	Joseph L. Akerman diary	1863	1863/1863	eng	1		"Diary of a Union soldier in the 2nd Regiment of the Massachusetts Volunteers. Enlisted August 1862 in Boston. Entries begin at Fairfax Station, Virginia on January 10, 1863. Subjects include lack of religious services in the regiment; his hospitalization in 1863; detailed descriptions of the hardships of army life; food; development and maintenance of camps; guard and picket duty; camp drinking. Entry for April 10 describes review of brigades by President and Mrs. Lincoln and their two sons, accompanied by General Joseph Hooker. Late April and early May entries describe the unit's march to Chancellorsville and the ensuing battle. Akerman was sick during the battle and his diary describes the bad hospital conditions. Diary ends June 26 when Akerman arrived in Washington by ambulance. Akerman apparently had a wife named Mary and a child named Josey."		"Soldiers -- Massachusetts -- Diaries; Soldiers -- Religious life -- United States; Chancellorsville, Battle of, Chancellorsville, Va., 1863; Military hospitals; Hooker, Joseph, 1814-1879; Lincoln, Abraham, 1809-1865; United States. Army. Massachusetts Infantry Regiment, 2nd.; United States. Army -- Military life; Massachusetts -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865 -- Hospitals"	Massachusetts; United States	Diaries	akermanjosephl-001616490	seca-b4abc18a-b6d8-4194-a19e-c68404eb1c6d	http://library.duke.edu/rubenstein/findingaids/akermanjosephl-001616490/	31427844	RL.30031	D03027480O	secst0024	164	Mike Adamo	2/17/2017	Phase One	secT005	Mike Adamo	2/20/2017	LIB-DPC06				Mike Adamo	3/20/2017	
8	folder 1	"Alcorn, James Lusk"	James Lusk Alcorn letter	1871	1871/1871	eng	1		Letter ordering volumes from a bookseller.		Booksellers and bookselling -- United States; Reading -- Mississippi -- 19th century; Mississippi -- History -- 19th century	Mississippi		alcornjameslusk-001585350	seca-4b8ec45f-7e15-4690-af13-ee47be05d1b4	http://library.duke.edu/rubenstein/findingaids/alcornjameslusk-001585350/	31187631	RL.30036	D03027529S	secst0025	2	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/17/2017	LIB-DPC02				Mike Adamo	3/20/2017	
9	folder 1	"Alderman, William"	William Alderman papers	1853-1864	1853/1864	eng	5		"Three legal documents relating to the purchase of slaves; receipt for taxes paid the Confederate States Tax Office; letter from William Vink of Ellicott City, Md., describing his plans for the manufacture of paper from palmetto wood."		Slave trade -- North Carolina; Paper industry -- History -- 19th century; Taxation -- Confederate States of America			aldermanwilliampapers-001585363	seca-ee3c1e30-8344-4ef1-99d6-a8ef60e6447d	http://library.duke.edu/rubenstein/findingaids/aldermanwilliampapers-001585363/	31187652	RL.30025	D03027530K	secst0026	10	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/17/2017	LIB-DPC02				Mike Adamo	3/20/2017	
10	folder 1	"Alexander, Bettie"	Bettie Alexander papers	1860-1863	1860/1863	eng	9		"Letters written to her sister in Fincastle, Virginia. Mentions Confederate soldiers, runaway slaves, and Federal troops."		"Monroe County (W. Va.) -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865; West Virginia -- History -- Civil War, 1861-1865"	Monroe County (W. Va.); United States; West Virginia		alexanderbettiepapers-000842354	seca-30b263be-0a57-4852-84f6-4a1cdff0c573	http://library.duke.edu/rubenstein/findingaids/alexanderbettiepapers-000842354/	19105277	RL.30028	D03027532M	secst0027	28	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/20/2017	LIB-DPC02				Mike Adamo	3/20/2017	
