physical_order 	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	count	capture_person	capture_date	capture_device	capture_target	qc1_person	qc1_date	qc1_station	qc2_person	qc2_date	qc2_station	finalize_person	finalize_date	dark_storage	ingested	notes
1	folder 1	"Allen, Weld Noble, 1837-1875"	Weld Noble Allen papers	1852-1873	1852/1873	eng	25 items		"Documents relating to Allen's naval career, including his appointment to Annapolis; orders as commander of the sloop, ""Oneida"", and the gunboat, ""New London"" as part of the Western Gulf Blockading Squadron, 1863-1864; report of the capture of the schooner ""Raton del Nilo""; orders to serve on naval general courts-martial on the ""Portsmouth,"" 1863, in Boston, 1869, and in New York, 1872; and an account of Allen's command of a shore detachment in the attack on Fort Fisher at the mouth of the Cape Fear River, North Carolina, December, 1864-January, 1865."		"Courts-martial and courts of inquiry -- United States; New London (Ship); Oneida (Ship : 1832-1864); Portsmouth (Ship); Raton del Nilo (Ship); United States Naval Academy; United States. Navy -- Officers; Fort Fisher (N.C.); North Carolina -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Blockades; United States -- History -- Civil War, 1861-1865 -- Naval operations"	Fort Fisher (N.C.); North Carolina; United States		allenweldnoblepapers-000842323	seca-47472ed7-26bd-495c-bb56-5bfa5fed1d0b	http://library.duke.edu/rubenstein/findingaids/allenweldnoblepapers-000842323/	19104928	RL.30048	secst0040	D03027476T	86	Alta Zhang	5/8/2017	Zeutschel	secT0009	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
2	folder 1	"Allen, William H."	William H. Allen papers	1857-1866	1857/1866	eng	7 items		"Includes a copy of Allen's will dividing his eight slaves between his wife and nephew. Most of the other items refer to John Allen of Edgefield District, S.C., revealing his exemption from conscription because of physical disability in 1863; wartime scarcity; and high prices. A letter, 1866, of H. Allen, a sharecropper tenant in Holly Springs, Miss., deals with his family's losses during a typhoid epidemic in the preceding year."		"Distribution of decedents' estates -- Tennessee; Epidemics -- Mississippi; Slavery -- Tennessee; Allen, H.; Allen, John; Confederate States of America. Army -- Recruiting, enlistment, etc; Confederate States of America -- Economic conditions"	Confederate States of America	Edgefield District (S.C.)	allenwilliamhpapers-000887802	seca-afadba09-8840-45b5-9d91-b5f2b485f3bd	http://library.duke.edu/rubenstein/findingaids/allenwilliamhpapers-000887802/	20574042	RL.30052	secst0041	D03027477U	18	Alta Zhang	5/4/2017	Zeutschel	secT0007	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
3	folder 1	"Allibone, S. Austin (Samuel Austin), 1816-1889"	Samuel Austin Allibone letter	1856	1856/1856	eng	1 item		"Letter from Allibone to an unidentified person, apparently a manuscript dealer, from Feb. 8, 1856; Allibone asks about the possibility of purchasing a manuscript Bible, Biblia Latina, which he had seen advertised in the dealer's catalogue."	"Acquired, 1960"	"Rare books; Antiquarian booksellers; Allibone, S. Austin (Samuel Austin) 1816-1899"			allibonesaustin-003852045	seca-2f42f4f5-af2b-4f86-af97-a42a0459f59c	http://library.duke.edu/rubenstein/findingaids/allibonesaustin-003852045/	967674019	RL.30049	secst0042	D03027463P	4	Alta Zhang	5/4/2017	Zeutschel	secT0008	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
4	folder 1	"Allison, Martin O."	"Martin Allison papers, 1777-1846."		1777/1846	eng	8 items		"Letters to Martin and to John Allison of Chenango County, N.Y., from Francis Armstrong, Florida, N.Y. ; John Barbour, Wilkes, Ohio; David and Ann Armstrong, Milton, N.Y. ; and others concerning such topics as securing a minister for Florida, crops, hard times, Locofocos, migration to Texas, the price of wheat in New York state, and other matters."		"Wheat -- Prices -- New York (State); Allison, John,correspondent.; Armstrong, Ann; Armstrong, David; Armstrong, Francis; Barbour, John; Democratic Party (N.Y.); Florida (Montgomery County, N.Y.) -- History; New York (State) -- History -- 1775-1865; Texas -- Emigration and immigration"	"Florida (Montgomery County, N.Y.); New York (State); Texas"		allisonmartinopapers-000842324	seca-952da3e7-6537-41bc-98c2-518ddf764dee	http://library.duke.edu/rubenstein/findingaids/allisonmartinopapers-000842324/	19104950	RL.30040	secst0043	D03027465R	22	Alta Zhang	5/4/2017	Zeutschel	secT0008	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
5	folder 1	"Allison, William H."	William H. Allison letters	1851-1860	1851/1860	eng	8 items		"Chiefly letters to William H. Allison from his mother, written while he was a student at Richmond."		Students -- Social life and customs; Students -- Virginia -- History -- 19th century; Education -- Virginia -- History -- 19th century; Richmond (Va.) -- History -- 19th century	Richmond (Va.)		allisonwilliamhletters-001586477	seca-93297359-da15-470d-b5de-bde3066e8d1c	http://library.duke.edu/rubenstein/findingaids/allisonwilliamhletters-001586477/	31215124	RL.30046	secst0044	D03027466S	28	Alta Zhang	5/4/2017	Zeutschel	secT0008	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
6	folder 1	"Allston, Benjamin, 1833-1900"	Benjamin Allston papers	1856-1878	1856/1878	eng	13 items		"Military and personal correspondence, including several letters from another minister, W.B.W. Howe, discussing the desirability of reserving a portion of church auditoriums for Negro worshipers, and several letters from female correspondents. Also, some executive correspondence of Robert Withers Allston (1801-1864), including three letters relative to an engineering project in progress on the Savannah River in 1858."		"African American Episcopalians -- History -- 19th century; Allston, Robert Withers, 1801-1864; Howe, W. B. W.; Episcopal Church -- Clergy -- Correspondence; Episcopal Church -- Southern States -- History; Savannah River (Ga. and S.C.); United States -- History -- Civil War, 1861-1865"	Savannah River (Ga. and S.C.); United States		allstonbenjaminpapers-000842326	seca-2e81804d-8dc3-4078-8f57-449164973818	http://library.duke.edu/rubenstein/findingaids/allstonbenjaminpapers-000842326/	19104969	RL.30050	secst0045	D03027468U	58	Alta Zhang	5/4/2017	Zeutschel	secT0008	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
7	folder 1	"Alman, Leonard, -1864"	Leonard Alman papers	1862-1864	1862/1864	eng	18 items		"Letters to Alman's wife, Caroline, written by Alman's comrades, chiefly Dan. P. Boger, describing experiences with the 7th North Carolina Volunteers, and imprisonment, probably at Point Lookout, Md. There are accounts of several battles in Virginia, including a skirmish at Orange Court House, 1862."		"Soldiers -- Correspondence; Alman, Caroline; Boger, Dan. P.,correspondent.; Confederate States of America. Army. North Carolina Infantry Regiment, 7th.; Maryland -- History -- Civil War, 1861-1865; Point Lookout (Md.); United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons; Virginia -- History -- Civil War, 1861-1865"	Maryland; Point Lookout (Md.); United States; Virginia		almanleonardpapers-000842327	seca-56bc0f30-febd-4c74-9418-b6303af65072	http://library.duke.edu/rubenstein/findingaids/almanleonardpapers-000842327/	19104985	RL.30054	secst0046	D03027469V	48	Alta Zhang	5/4/2017	Zeutschel	secT0008	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			"some paper is marked as ""do not image"""
8	folder 1	"Almond, A. D."	A. D. Almond papers	1865-1866	1865/1866	eng	5 items		Merchants' bills to A.D. Almond and A.T. Almond.		"Business records -- Virginia; Almond, A. T."			almondadpapers-001586483	seca-66206ee0-900c-43af-9729-1fe73a6d4116	http://library.duke.edu/rubenstein/findingaids/almondadpapers-001586483/	31215128	RL.30055	secst0047	D03027470N	10	Alta Zhang	5/4/2017	Zeutschel	secT0008	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
9	folder 1	"Alston, Charles B."	Charles B. Alston papers	1899-1902	1899/1902	eng	46 items		"Bills pertaining to businesses in Durham, North Carolina. Also includes a few receipts from businesses; a letter of December 14, 1901, from C.W. Tomas from W. Duke, Sons and Co. Branch of the American Tobacco Company; an undated daily report of manufacture from the Wooden Case Department of that branch; and an unidentified photograph of a couple and an infant."	"Gift, 1984"	"Business records; Tomas, C. W.; American Tobacco Company; Durham (N.C.) -- Commerce; Durham (N.C.) -- Manufacturers"	Durham (N.C.)		alstoncharlesbpapers-001634330	seca-b7c796a8-dcd9-4793-9493-3652edca9625	http://library.duke.edu/rubenstein/findingaids/alstoncharlesbpapers-001634330/	31526819	RL.30058	secst0048	D03559510S	90	Alta Zhang	5/8/2017	Zeutschel	secT0009	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
10	folder 1	"Alston, J. W."	J. W. Alston military orders	1918 July 30	1918/1918	eng	1 item		"Orders signed by H.L. Harries concerning operations in Martigues, France."		"World War, 1914-1918 -- United States; Harries, H. L.,creator.; United States. Army -- Correspondence"			alstonjw-002199745	seca-efa58d9c-83e2-4e90-b034-62b6f5a975fe	http://library.duke.edu/rubenstein/findingaids/alstonjw-002199745/	36002026	RL.30059	secst0049	D03019292Q	4	Alta Zhang	5/8/2017	Zeutschel	secT0009	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
11	folder 1	"Alston, William"	William Alston papers	1861-1865	1861/1865	eng	3 items		"One letter from Alston describing a Civil War camp near Richmond, Va., and two accounts from William Alston's store in North Carolina."		"Business records -- North Carolina; Confederate States of America. Army -- Military life; North Carolina -- History -- Civil War, 1861-1865; Virginia -- History -- Civil War, 1861-1865"	North Carolina; Virginia		alstonwilliampapers-001586489	seca-854710ba-f2e9-4f3c-b3e6-d03d10ac3fd9	http://library.duke.edu/rubenstein/findingaids/alstonwilliampapers-001586489/	31215126	RL.30053	secst0050	D03019293R	8	Alta Zhang	5/8/2017	Zeutschel	secT0009	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
