physical order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	Finalize Person	Finalize Date	Notes
1	folder 1	"Areheart, J. W."	J.W. Areheart papers	"1862, 1865"	1862/1865	eng	2 items		Letter and schedule regarding the value of Confederate and state currency in 1862 and 1865.		Money -- United States -- History; Paper money -- Confederate States of America; Confederate States of America -- History; Confederate States of America -- Economic conditions	Confederate States of America		areheartjwpapers-002069375	seca-ad4a7008-c96f-4809-a5b8-28a0c2c5bc00	http://library.duke.edu/rubenstein/findingaids/areheartjwpapers-002069375/	34308968	RL.30095	secst0082	D03211487Q	6	Alta Zhang	05/23/17	Zeutschel	secT0032	Alex Marsh	6/13/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
2	folder 1	"Armfield, Joseph S."	Joseph S. Armfield papers	1883-1886	1883/1886	eng	3 items		Letters to a gunsmith relating to family affairs and an order for making a gun.		Gunsmiths -- North Carolina; Gunsmiths -- Correspondence			armfieldjosephspapers-001616507	seca-943117ad-8bb8-4a63-8848-ef0ac0e7d039	http://library.duke.edu/rubenstein/findingaids/armfieldjosephspapers-001616507/	31421774	RL.30102	secst0083	D03211488R	8	Alta Zhang	05/23/17	Zeutschel	secT0033	Alex Marsh	6/13/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
3	folder 1	"Armstrong, John"	John Armstrong papers	1827-1880	1827/1880	eng	26 items		"Legal papers concerned with the settlement of estates and debts. Includes a letter, 1848, from General C.P. Markle stating that his father would not consider becoming a candidate for governor and a letter, 1842, concerning the settlement of George Remaly's estate."		"Executors and administrators -- Pennsylvania; Markle, C. P.,correspondent.; Remaly, George; Pennsylvania -- Politics and government -- 1775-1865; Westmoreland County (Pa.) -- History"	Pennsylvania; Westmoreland County (Pa.)		armstrongjohnpapers-001616508	seca-39ac9800-f981-4d26-b1ca-59739a0740a5	http://library.duke.edu/rubenstein/findingaids/armstrongjohnpapers-001616508/	31421805	RL.30088	secst0084	D03211489S	76	Alta Zhang	05/23/17	Zeutschel	secT0034	Alex Marsh	6/14/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
4	folder 1	"Armstrong, Thomas T."	Thomas T. Armstrong papers	1813-1833	1813/1833	eng	6 items		"Letters concerning land claims, speculations, and litigation in Tennessee; and a benefit lottery for Oxford (N.C.) Academy."		"Lotteries -- North Carolina; Speculation -- Tennessee; Oxford Academy (N.C.); Oxford (N.C.) -- History; Tennessee -- Trials, litigation, etc"	Oxford (N.C.); Tennessee		armstrongthomastpapers-001616509	seca-d0427822-fc8d-4fb0-8077-8502a7e94b6a	http://library.duke.edu/rubenstein/findingaids/armstrongthomastpapers-001616509/	31427860	RL.30086	secst0085	D03211490K	20	Alta Zhang	05/23/17	Zeutschel	secT0035	Alex Marsh	6/14/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
5	folder 1	"Arnett, Virginia H."	Virginia H. Arnett papers	1863	1863/1863	eng	3 items		"Letters to Virginia Arnett from two Confederate soldiers, Robert T. Cullars and George W. Normans, describing campaigning in Virginia, particularly under General George B. Hood."		"Soldiers -- Confederate States of America -- Correspondence; Cullars, Robert T.,correspondent.; Hood, George B.; Normans, George W.,correspondent.; Confederate States of America. Army -- Military life; Confederate States of America. Army -- Officers; Virginia -- History -- Civil War, 1861-1865"	Virginia		arnettvirginiahpapers-000887828	seca-ddddfcc9-1f62-49e4-9282-19f7d9f51793	http://library.duke.edu/rubenstein/findingaids/arnettvirginiahpapers-000887828/	20574253	RL.30096	secst0086	D03211491L	16	Alta Zhang	05/23/17	Zeutschel	secT0036	Alex Marsh	6/14/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
6	folder 1	"Arnold, Richard, approximately 1667-1745"	Richard Arnold will and book of religious writings	1725-1735	1725/1735	eng	3 items		"Collection comprises manuscript will of Richard Arnold, dated September 6, 1735 and notebook of writings on religious topics, dated 1725-1727. Many of the pages contain the heading ""for the high schoolers."" Some of the writings express anti-Quaker sentiments."	Gift 2000	"Faith -- History of doctrines -- 18th century; Society of Friends -- United States -- Controversial literature -- Early works to 1800; Quakers -- United States -- Controversial literature -- Early works to 1800; Arnold, Richard, approximately 1667-1745; Rhode Island -- History -- 18th century"	Rhode Island		arnoldrichard-003797621	seca-adf274bc-c8c5-4f88-afbc-c62c88ec8efd	http://library.duke.edu/rubenstein/findingaids/arnoldrichard-003797621/	73282792	RL.30082	secst0087	D02483520O	179	Alex Marsh	06/07/17	Phase One	secT0037	Alta Zhang	6/19/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
7	folder 1	"Arnold, Richard"	Richard Arnold papers	1859-1867 ;	1859/1867	eng	104 items		"Business papers of a blacksmith in Charleston, S.C. The itemized accounts reveal the trend of prices during the Civil War period. Also includes statements of fees showing that Arnold's children attended Miss Edmond's School in Charleston and Spartanburg Female College."		"Women -- Education -- South Carolina -- History; Education -- South Carolina -- History; Blacksmithing -- South Carolina -- Charleston; Miss Edmond's School (Charleston, S.C.); Spartanburg Female College; Charleston (S.C.) -- Economic conditions; Confederate States of America -- Economic conditions; South Carolina -- Economic conditions; United States -- History -- Civil War, 1861-1865 -- Economic aspects"	Charleston (S.C.); Confederate States of America; South Carolina; United States		arnoldrichardpapers-000842512	seca-5ae8583d-a9b8-41c6-8dd5-5f5c49897b4d	http://library.duke.edu/rubenstein/findingaids/arnoldrichardpapers-000842512/	19108872	RL.30094	secst0088	D03211492M	290	Alta Zhang	05/24/17	Zeutschel	secT0038	Alex Marsh	6/14/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
8	folder 1	"Arnold, Sallie E. Umstott"	Sallie Arnold papers	1864-1871	1864/1871	eng	21 items		"Collection consists, for the most part, of letters written to Sallie (Umstott) Arnold between 1864 and 1866 by Union soldiers and friends. The correspondence is mostly personal. There is also a description of a train trip from McConnellsburg, Pennsylvania, to Peoria City, Illinois, in 1866, and a description of a Dunkard camp meeting, also in 1866."		"Soldiers -- Correspondence; Women -- Virginia -- Correspondence; Railroad travel -- Pennsylvania; Railroad travel -- Illinois; Camp meetings; Umstott, Sallie E.; Dunkard Brethren; United States -- History -- Civil War, 1861-1865"	United States		arnoldsallieeumstottpapers-001616510	seca-404ae435-087a-425d-8fc1-07db26b37beb	http://library.duke.edu/rubenstein/findingaids/arnoldsallieeumstottpapers-001616510/	31421762	RL.30097	secst0089	D03211493N	76	Alta Zhang	05/25/17	Zeutschel	secT0039	Alex Marsh	6/14/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
9	folder 1	"Arp, Bill, 1826-1903"	Bill Arp papers	"1888, 1894"	1888/1894	eng	2 items		"Two letters from Arp. One answers an inquiry about biographical material on a Judge Underwood, 1888, and the other contains a biographical sketch of A. B. Longstreet, 1894."		"Arp, Bill, 1826-1903; Longstreet, A. B."			arpbillpapers-002561285	seca-caaced06-a99c-4398-ae43-6572222fe975	http://library.duke.edu/rubenstein/findingaids/arpbillpapers-002561285/	41040373	RL.30103	secst0090	D03559009V	6	Alta Zhang	05/25/17	Zeutschel	secT0040	Alex Marsh	6/14/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
10	folder 1	Ascention (Ship)	Ascention insurance account	1793	1793/1793	eng	1 item		"Account detailing the value of the ship Ascention and its cargo including 52 slaves. Apparently, the ship was lost in the slaves' insurrection in 1793. Information was gathered for the purpose of collecting insurance. The ship was on a voyage to Madagascar on the South coast of Africa and ultimately to Newport, R.I."	Purchase 1986	Marine insurance; Slave insurrections; Slave trade -- History -- 18th century			ascentionship-000740477	seca-2b5a85b1-59dc-43a9-957d-b22b94bacb58	http://library.duke.edu/rubenstein/findingaids/ascentionship-000740477/	15363821	RL.30084	secst0091	D03211494O	4	Alta Zhang	05/25/17	Zeutschel	secT0041	Alex Marsh	6/14/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
