physical_order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	Finalize Person	Finalize Date	Dark Storage	Ingest	Notes
1	folder 1	"Bain, William T."	William T. Bain papers	1850-1865	1850/1865	eng	89 items		"Family letters of Bain, his wife, and children to his daughter, Mollie Bain Bitting of Germantown, North Carolina. Topics include Bain's Masonic interests, difficulties with slaves, the ""Black Republicanism"" of the North, a speech by Stephen A. Douglas (1860), hopes for a strong Confederacy, and meetings of the legislature. Also includes a letter to Mrs. Bitting from a friend in Petersburg, Va., describing the new public buildings there, and a letter to Lewis Bitting from a friend in Georgia describing his drugstore business."		"Slavery -- North Carolina; Freemasonry -- North Carolina; Drugstores -- Georgia; Bitting, Lewis; Bitting, Mollie Bain; Douglas, Stephen A. (Stephen Arnold), 1813-1861; North Carolina -- History -- Civil War, 1861-1865; Petersburg (Va.) -- Description and travel"	North Carolina; Petersburg (Va.)		bainwilliamtpapers-000844027	seca-20f554f3-be63-4009-98b1-c18c618d64b0	http://library.duke.edu/rubenstein/findingaids/bainwilliamtpapers-000844027/	19210492	RL.30135	secst0124	D02483705T	292	Alta Zhang	"6/2/2017, 6/5/2017"	Zeutschel	secT0074	Alex Marsh	6/21/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
2	folder 1	"Baker, Daniel"	Daniel Baker letters	1839-1858	1839/1858	eng	18 items		"Business letters of Baker, a journeyman carpenter, commenting on labor conditions in the 1850s and family letters from relatives in Kentucky, Missouri, and Ohio."		Carpenters -- Virginia; Virginia -- Economic conditions -- History -- 19th century	Virginia		bakerdanielletters-001616519	seca-97656f4f-7740-4c27-ae0d-bddfe4c59379	http://library.duke.edu/rubenstein/findingaids/bakerdanielletters-001616519/	31421736	RL.30132	secst0125	D02483706U	60	Alta Zhang	06/05/17	Zeutschel	secT0075	Alex Marsh	6/21/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
3	folder 1	"Baker, Henry"	Henry Baker letters	1862	1862/1862	eng	5 items		"Letters from Baker, a private in Longstreet's Corps of the Confederate Army, to his wife. The letters are concerned chiefly with inquiries about home conditions."		"Soldiers -- Confederate States of America -- Correspondence; Georgia -- History -- Civil War, 1861-1865"	Georgia		bakerhenryletters-001616520	seca-9fb4e19e-f70d-4f07-b69d-432e5749367f	http://library.duke.edu/rubenstein/findingaids/bakerhenryletters-001616520/	31421761	RL.30138	secst0126	D02483707V	18	Alta Zhang	06/05/17	Zeutschel	secT0076	Alex Marsh	6/21/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
4	folder 1	"Baker, James H., -1865"	James H. Baker papers	1863-1865	1863/1865	eng	30 items		"Letters describing his experiences in active service in the Confederate Army at Weldon, N.C., in 1864, and his stay in the General Hospital in Richmond, Va., where he died in 1865."		"Soldiers -- Correspondence; Hospitals -- Confederate States of America; Confederate States of America. Army.; North Carolina -- History -- Civil War, 1861-1865; Richmond (Va.) -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Medical care; Weldon (N.C.) -- History"	North Carolina; Richmond (Va.); United States; Weldon (N.C.)		bakerjameshpapers-000844035	seca-3d94af98-5613-4516-b5c8-5162072664cc	http://library.duke.edu/rubenstein/findingaids/bakerjameshpapers-000844035/	19210560	RL.30140	secst0127	D02483708W	66	Alta Zhang	06/05/17	Zeutschel	secT0077	Alex Marsh	6/21/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
5	folder 1	"Baker, John"	John Baker papers	1761-1785	1761/1785	eng	5 items		"Legal documents consisting of a land survey, land grants, a legal case, a power of attorney, and a certificate of citizenship for Thomas Graves of Georgia."		"Legal instruments -- Georgia; Graves, Thomas; Georgia -- History -- 18th century; Savannah (Ga.) -- History -- 18th century"	Georgia; Savannah (Ga.)		bakerjohnpapers-001616521	seca-c21cdaf9-22ea-4005-ac14-6f4f83527825	http://library.duke.edu/rubenstein/findingaids/bakerjohnpapers-001616521/	31421793	RL.30124	secst0128	D02483709X	10	Alta Zhang	06/05/17	Zeutschel	secT0078	Alex Marsh	6/21/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
6	folder 1	"Baker, N. C."	N.C. and H. C. Baker memorandum book and letter	"1822, 1900"	1822/1900	eng	2 items		"Memorandum book, 1822, of N.C. Baker describing his travels to Philadelphia, New York and New Haven. Discussed are religious concerns, shipping, hunting, an election, a circus, tomatoes, books and a fire. A letter by H.C. Baker, 1900, mentions works on the assassination of Abraham Lincoln."		"Baker, H. C.; Baker, H. C.; Baker, N. C.; Lincoln, Abraham, 1809-1865 -- Assassination.; New Haven (Conn.) -- Description and travel; New York (N.Y.) -- Description and travel; Philadelphia (Pa.) -- Description and travel"	New Haven (Conn.); New York (N.Y.); Philadelphia (Pa.)		bakernc-001616523	seca-63016cae-a50e-4bbc-a7b4-f3644571a476	http://library.duke.edu/rubenstein/findingaids/bakernc-001616523/	31421786	RL.30129	secst0129	D02483710P	26	Alex Marsh	06/07/17	Phase One	secT0079	Alex Marsh	6/21/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
7	folder 1	"Ball, Thomas C."	Thomas C. Ball correspondence	1882-1920	1882/1920	eng	47 items		"Correspondence of Thomas C. Ball chiefly from relatives in Missouri and Texas, describing social life and customs."		Missouri -- Social life and customs; Texas -- Social life and customs	Missouri; Texas		ballthomasc-000887835	seca-c0508cf7-6749-4a20-96dd-5995556be708	http://library.duke.edu/rubenstein/findingaids/ballthomasc-000887835/	20574327	RL.30143	secst0130	D02483711Q	128	Alta Zhang	06/09/17	Zeutschel	secT0080	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
8	folder 1	"Balthrope, James M."	James M. Balthrope letters	1854-1865	1854/1865	eng	11 items		"Personal letters of James Balthrope, a teacher, to William Engle describing life in northern Missouri."		"Teachers -- Missouri -- Correspondence; Engle, William; Missouri -- Description and travel"	Missouri		balthropejamesmletters-001616527	seca-63a5742d-43b3-4c7e-b746-7aa7907505ce	http://library.duke.edu/rubenstein/findingaids/balthropejamesmletters-001616527/	31421751	RL.30137	secst0131	D02483713S	36	Alta Zhang	06/09/17	Zeutschel	secT0081	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
9	folder 1	"Baltimore (Md.). Court of Common Pleas,"	Foot peddler's license	1868 September 11	1868/1868	eng	1 item		Foot peddler's license issued by the Baltimore City Clerk of the Court of Common Pleas to Josiah H. Benton. The license was valid for a period of 8 months.	"Purchase 2008, 2008-0314"	"Clerks of court -- Maryland -- Baltimore; Peddlers -- United States; Benton, Josiah H.; Baltimore (Md.). Court of Common Pleas"		Licenses	baltimoremdcourtofcommonpleas-004068060	seca-4a8c36aa-1fe7-44c3-b11a-16fd9c70b169	http://library.duke.edu/rubenstein/findingaids/baltimoremdcourtofcommonpleas-004068060/	289034418	RL.30142	secst0132	D03806402N	2	Alta Zhang	06/09/17	Zeutschel	secT0082	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
10		"Bamako, Mali photographs"																															
