physical_order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Dark Storage	Ingest	Notes
1	folder 1	"Berrien, John MacPherson, 1781-1856"	John MacPherson Berrien letters	1820-1852	1820/1852	eng	9 items		"Letters by Berrien, U.S. senator and politician. Topics include the appointment of R.M. Cuyler to Annapolis; Berrien's plan to attend an Episcopal convention in 1844; subscription to the National Intelligencer; and comments on national politics in 1851. One 1852 letter invites Berrien to speak at a meeting of the N.Y.C. Friends of Millard Fillmore."		"Legislators -- Georgia -- Correspondence; Fillmore, Millard, 1800-1874; Georgia -- Politics and government -- 1775-1865; United States -- Politics and government -- 1815-1861"	Georgia; United States		berrienjohnmacphersonletters-002050970	seca-509d808b-ed8c-4445-8ea8-b6a1c6926665	http://library.duke.edu/rubenstein/findingaids/berrienjohnmacphersonletters-002050970/	34122364	RL.30214	secst0212	D03208699.	36	Alta Zhang	06/27/17	Zeutschel	secT0162	Alex Marsh	8/1/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
2	folder 1	"Berry, Charles"	Charles Berry papers	1842-1867	1842/1867	eng	13 items		"Primarily letters from Berry to his family while serving in the Confederate Army. There are also family letters, 1842, from Eliza M. Griggs of Charles Town, Va. (now W. Va.), possibly Berry's mother."		"Soldiers -- Correspondence; Griggs, Eliza M.; Confederate States of America. Army.; United States -- History -- Civil War, 1861-1865; Virginia -- History -- Civil War, 1861-1865"	United States; Virginia		berrycharlespapers-000844169	seca-311bd1dc-cc76-4c73-a971-0e79a98f92a3	http://library.duke.edu/rubenstein/findingaids/berrycharlespapers-000844169/	19212605	RL.30218	secst0213	D03208700K	42	Alta Zhang	06/27/17	Zeutschel	secT0163	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
3		"Berry, John and Thomas"																		D03208701L																
4		"Berry, Mary J"																		D03208702M																
5	folder 1	"Besore, George"	George Besore papers	1822-1866	1822/1866	eng	105 items		"Bills, receipts, orders, invoices, license, promissory notes, and business letters of a general merchant of Waynesboro, Franklin County, Pennsylvania."		Business records -- Pennsylvania; Merchants -- Pennsylvania; Franklin County (Pa.)	Franklin County (Pa.)		besoregeorgepapers-002050944	seca-48a5ecf3-006b-4b50-b740-2c08a2cac5f4	http://library.duke.edu/rubenstein/findingaids/besoregeorgepapers-002050944/	34122438	RL.30215	secst0214	D03208703N	224	Alta Zhang	06/28/17	Zeutschel	secT0164	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
6	folder 1	"Bevandag, R. H."	R. H. Bevandag letter	1917	1917/1917	eng	1 item		"Letter from H.E. Counsell, Oxford, England, concerning the effect of World War I on Oxford, the losses at the Somme, and prospects of peace."		"Somme, 1st Battle of the, France, 1916; World War, 1914-1918 -- Great Britain; Counsell, H. E.; University of Oxford -- History -- 20th century"			bevandagrh-002050947	seca-6ff548ba-f1dc-4df8-8a52-dc7cb447e72b	http://library.duke.edu/rubenstein/findingaids/bevandagrh-002050947/	34122344	RL.30225	secst0215	D03208704O	6	Alta Zhang	06/28/17	Zeutschel	secT0165	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
7	folder 1	"Bevely, James T."	James T. Bevely Letters	1861-1862	1861/1862	eng	4 items		Letters of a Confederate soldier describing enlistments and army life.		"Soldiers -- Confederate States of America -- Correspondence; Confederate States of America. Army -- Military life; Confederate States of America. Army -- Recruiting, enlistment, etc; United States -- History -- Civil War, 1861-1865"	United States		bevelyjamest-002050948	seca-4f211524-86be-41a8-ba3e-94365fcafdf3	http://library.duke.edu/rubenstein/findingaids/bevelyjamest-002050948/	34122390	RL.30220	secst0216	D03208705P	10	Alta Zhang	06/28/17	Zeutschel	secT0166	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
8	folder 1	"Beverley, Lucy Randolph"	Lucy Randolph Beverley letter	1815	1815/1815	eng	1 item		Letter from Lucy (Beverley) Randolph to her brother Robert mentioning financial misfortunes.		"Women -- Virginia -- Correspondence; Women -- Virginia -- Economic conditions; Randolph, Lucy (Beverley)"			randolphlucybeverley-002050949	seca-a695943f-15f4-4614-8f24-5399cfb41308	http://library.duke.edu/rubenstein/findingaids/randolphlucybeverley-002050949/	34122322	RL.30213	secst0217	D03208706Q	4	Alta Zhang	06/28/17	Zeutschel	secT0167	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
9	folder 1	"Bibb County Academy (Macon, Ga.)"	"Bibb County Academy (Macon, Ga.) records"	1838-1859	1838/1859	eng	9 items		"Financial reports of the trustees of a school, including a proposal to abandon the accompanying female school as economically unwise and concentrate on support of a college."		Education -- Georgia; Schools -- Georgia -- Bibb County; Women -- Education -- Georgia			bibbcountyacademymaconga-000887856	seca-b078d74d-97f3-4f30-ab47-df3aecbe4a10	http://library.duke.edu/rubenstein/findingaids/bibbcountyacademymaconga-000887856/	20574456	RL.30217	secst0218	D03208708S	40	Alta Zhang	06/28/17	Zeutschel	secT0168	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
10	folder 1	"Bibb, Richard"	Richard Bibb letter	1803	1803/1803	eng	1 item		"A letter, apparently from a James Madison, Union Courthouse, South Carolina, commenting on the conditions of his employment by the clerk of the district court, the unhealthful conditions in Charleston each summer, and commodity and land prices."		"Courts -- South Carolina -- Officials and employees; Land use -- Prices -- South Carolina; Madison, James; Charleston (S.C.) -- Climate; South Carolina -- Economic conditions"	Charleston (S.C.); South Carolina		bibbrichard-002050950	seca-08992146-ff18-454b-b11a-ec2a39fc6337	http://library.duke.edu/rubenstein/findingaids/bibbrichard-002050950/	34122319	RL.30212	secst0219	D03208707R	4	Alta Zhang	06/29/17	Zeutschel	secT0169	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
11		"Bill Communications, Inc."																		D04251562P																
12		"Bill, Annie Cecelia"																		D03208709T																
13	folder 1	"Bird, F. W. (Francis William), 1809-1894"	F. W. Bird letters	1848-1868 and undated.	1848/1868	eng	11 items		"Ten letters, 1848-1849 and 1868, from Bird to Whiting Griswold, a politician and legislator residing in Greenfield, Mass., concerning Massachusetts politics and elections, the Republican and Democratic Parties in Massachusetts, and other matters. An additional undated and unsigned letter may be by Griswold since it was written from Greenfield and Boston."	Purchase 1985	"Elections -- Massachusetts; Griswold, Whiting; Democratic Party (Mass.); Republican Party (U.S. : 1854- ); Massachusetts -- Politics and government"	Massachusetts		birdfwletters-000753412	seca-86e083a9-1aea-44ac-a069-b2e5568a4422	http://library.duke.edu/rubenstein/findingaids/birdfwletters-000753412/	16067551	RL.30219	secst0220	D03208710L	44	Alta Zhang	06/29/17	Zeutschel	secT0170	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
14	folder 1	"Bird, Morgan"	Morgan Bird papers	circa 1834	1834/1834	eng	2 items		"Collection contains two manuscript documents, one dated Jan. 4, 1834 with a recipe for making oil cloth, and another, undated, with recipes for producing paints of various colors, guilding, staining furniture, and marbling."		"Painting, Modern -- 19th century -- History; Paint mixing -- History -- 19th century; Paint industry and trade -- History -- 19th century; Bird, Morgan"			birdmorganpapers-003954155	seca-986858b3-3251-4181-9391-ec2477e86bc3	http://library.duke.edu/rubenstein/findingaids/birdmorganpapers-003954155/	794233843	RL.30216	secst0221	D03571462S	4	Alta Zhang	06/29/17	Zeutschel	secT0171	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
15	folder 1	"Bird, William H., active 1860s"	William H. Bird diary and account book	1861-1867	1861/1867	eng	1 item		"Chiefly Bird's diary (1866 Sept. 12-1867 June 22) while he was a resident near Brandywine Village, a suburb of Wilmington, Del. Records social, political, and family activities. Includes financial accounts for 1861, including agricultural labor, while Bird was at Summit Bridge."	Purchase 1986	Agricultural laborers -- Delaware; Delaware -- Social life and customs; Delaware -- Politics and government -- 1865-1950	Delaware	Diaries	birdwilliamh-000741928	seca-8f852f7b-1f9d-4536-aaf3-34ebbe041236	http://library.duke.edu/rubenstein/findingaids/birdwilliamh-000741928/	15479560	RL.30221	secst0222	D03208711M	102	Alex Marsh	08/14/17	Phase One	secT0172	Alex Marsh	9/5/2017	LIB-DPCM03				Alex Marsh	9/5/2017			
16	folder 1	"Bishop, Edward"	Edward Bishop papers	1864	1864/1864	eng	1 item		"Letter of a Confederate recruit stationed at Griffin, Georgia, describing camp life."		"Soldiers -- Confederate States of America; Bishop, Edward; United States -- History -- Civil War, 1861-1865"	United States		bishopedwardpapers-002569396	seca-054bf344-73e1-49a1-b775-a98981010f64	http://library.duke.edu/rubenstein/findingaids/bishopedwardpapers-002569396/	41239208	RL.30223	secst0223	D03208712N	4	Alta Zhang	06/29/17	Zeutschel	secT0173	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
17	folder 1	"Bishop, G. Edward"	G. Edward Bishop papers	1861	1861/1861	eng	2 items		"Letter, accompanied by a map of northern Virginia, by a musician in the 4th Rhode Island Volunteer Regiment describing the movement to Washington, D.C., and conditions in camp there; and a letter describing the capture of Fort Macon, North Carolina, and conditions around Beaufort."		"Bishop, G. Edward; United States. Army. Rhode Island Infantry Regiment, 4th (1861-1865); Beaufort (N.C.); Fort Macon (N.C.) -- History; United States -- History -- Civil War, 1861-1865"	Beaufort (N.C.); Fort Macon (N.C.); United States	Maps	bishopgedwardpapers-002569397	seca-0fd54bb0-e91f-432e-824a-b44141a12ebe	http://library.duke.edu/rubenstein/findingaids/bishopgedwardpapers-002569397/	41239206	RL.30222	secst0224	D03208714P	8	Alta Zhang	06/29/17	Zeutschel	secT0174	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
18	folder 1	"Bishop, Sarah E."	Sarah E. Bishop papers	1871-1878	1871/1878	eng	2 items		Letters from Sarah E. Bishop to her mother.		"Bishop, Sarah E."			bishopsarahepapers-002569398	seca-3bdf40b5-048f-4f11-a20b-38f2d3abf0b8	http://library.duke.edu/rubenstein/findingaids/bishopsarahepapers-002569398/	41239211	RL.30224	secst0225	D03208713O	4	Alta Zhang	06/29/17	Zeutschel	secT0175	Alex Marsh	8/8/2017	LIB-DPCM03				Alex Marsh	8/28/2017			
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
