Physical Order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes
1	folder 1	"Brooke, Stephens"	Stephens Brooke papers	1784-1794	1784/1794	eng	5 items		Collection contains business letters concerning notes of indebtedness.		Pitt County (N.C.) -- History	Pitt County (N.C.)		brookestephenspapers-002388075	seca-ec6a6370-398c-4d6c-b05f-b7d69bcc8601	http://library.duke.edu/rubenstein/findingaids/brookestephenspapers-002388075/	38247249	RL.30321	secst0319	D03208749X	10	Alta Zhang	10/18/2017	Zeutschel	secT0269	Alta Zhang	12/8/2017	LIB-DPC02	Alex Marsh	1/23/2018	LIB-DPC01	Alex Marsh	3/7/2018	
2	folder 1	"Brooks, Edward J."	Edward J. Brooks papers	1866-1886	1866/1886	eng	8 items		"Collection contains Brooks' legal documents including his commission in the militia, his oath of office, and legal complaints. Included also is a long letter from John C. Scarborough, superintendent of N.C. schools."		"Education -- North Carolina -- Lenoir County; Justices of the peace -- North Carolina -- Lenoir County; Court records -- North Carolina -- Lenoir County; Scarborough, John C.,correspondent.; Lenoir County (N.C.) -- History; North Carolina -- Militia"	Lenoir County (N.C.); North Carolina		brooksedwardjpapers-002388076	seca-00c92a8c-34b3-42b8-b1bb-280460cff68b	http://library.duke.edu/rubenstein/findingaids/brooksedwardjpapers-002388076/	38247389	RL.30344	secst0320	D03208750P	18	Alta Zhang	10/18/2017	Zeutschel	secT0270	Alta Zhang	12/8/2017	LIB-DPC02	Alex Marsh	1/23/2018	LIB-DPC01	Alex Marsh	3/7/2018	
3	folder 1	"Brooks, Francis"	Francis Brooks papers	1773-1839	1773/1839	eng	22 items		"Collection contains letters to Brooks from friends and relatives in Tenn., Ind., and Ga. concerning family matters."		Georgia -- History; Greenville (N.C.) -- History; Indiana -- History; Tennessee -- History	Georgia; Greenville (N.C.); Indiana; Tennessee		brooksfrancispapers-002388077	seca-6297a6ae-d55c-42d7-9d54-aa7a7ebbab5a	http://library.duke.edu/rubenstein/findingaids/brooksfrancispapers-002388077/	38247204	RL.30320	secst0321	D03208751Q	78	Alta Zhang	10/18/2017	Zeutschel	secT0271	Alta Zhang	12/8/2017	LIB-DPC02	Alex Marsh	1/23/2018	LIB-DPC01	Alex Marsh	3/7/2018	
4	folder 1	"Brooks, William"	William Brooks letter	1848 Aug. 29	1848/1848	eng	1 item		"Letter to B.B. French of Washington, D.C. requesting copies of Democratic political brochures and campaign material in favor of the election of Lewis Cass and William O. Butler as President and Vice-President of the United States. The author requested material concerning Fillmore's position on slavery, Taylor's position on the Wilmot Proviso, and the Whig position during the Mexican War."	Source unknown	"Campaign literature, 1848 -- Democratic; Presidents -- United States -- Election -- 1850; Butler, William Orlando, 1791-1880; Cass, Lewis, 1782-1866; Fillmore, Millard, 1800-1874; French, Benjamin B. (Benjamin Brown), 1800-1870; Taylor, Zachary, 1784-1850; Alabama -- Politics and government -- To 1865; Marengo County (Ala.) -- History"	Alabama; Marengo County (Ala.)		brookswilliam-002494279	seca-3d38b748-9d67-4bcb-9fa5-8318b368406b	http://library.duke.edu/rubenstein/findingaids/brookswilliam-002494279/	39670260	RL.30328	secst0322	D03572353S	4	Alta Zhang	10/18/2017	Zeutschel	secT0272	Alta Zhang	12/8/2017	LIB-DPC02	Alex Marsh	1/23/2018	LIB-DPC01	Alex Marsh	3/7/2018	
5	folder 1	"Brower, Alfred"	Alfred Brower papers	1840-1863	1840/1863	eng	4 items		"Collection contains papers concerning the sale and transfer of slaves between Thomas Goldston, Sarah (Goldston) Brower, Alfred Brower, and Frances Myrick."		Slave trade -- North Carolina; Slaveholders -- North Carolina -- History -- 19th century; Brower family; Golsan family; Randolph County (N.C.) -- History	Randolph County (N.C.)		broweralfredpapers-002388081	seca-83f856e7-89ac-4ed6-a6aa-24d2e76beda1	http://library.duke.edu/rubenstein/findingaids/broweralfredpapers-002388081/	38247270	RL.30326	secst0323	D03208754T	8	Alta Zhang	10/18/2017	Zeutschel	secT0273	Alta Zhang	12/8/2017	LIB-DPC02	Alex Marsh	1/23/2018	LIB-DPC01	Alex Marsh	3/7/2018	
6	folder 1	Brown & Ives	Brown & Ives letter	1803	1803/1803	eng	1 item		"Collection consists of a letter from Brown & Ives to Messrs. D. & I. (or J.?) Moses of Boston concerning the value and sale of land scrip in Georgia and Mississippi, some of which the firm was willing to sell, possibly to purchasers in the New England Mississippi Company. The manuscript is slightly confusing, because the letter is Brown & Ives's copy which they made on a blank page (with address on the other side) of a letter that the Moses firm had sent to them."		Georgia -- History; Mississippi -- History; Providence (R.I.) -- History	Georgia; Mississippi; Providence (R.I.)		brownives-002388093	seca-f4e6bc52-24da-464b-83e2-0007c15eac5f	http://library.duke.edu/rubenstein/findingaids/brownives-002388093/	38247198	RL.30322	secst0324	D03208773U	2	Alta Zhang	10/18/2017	Zeutschel	secT0274	Alta Zhang	12/8/2017	LIB-DPC02	Alex Marsh	1/23/2018	LIB-DPC01	Alex Marsh	3/7/2018	
7	folder 1	Brown family	Brown family papers	1862	1862/1862	eng	5 items		"Collection consists of personal letters of Jesse, Austin, and Bardin Brown, Confederate soldiers, to their family. Most letters document their loneliness and pessimism about their prospects of returning home, and expressions of love and affection for their family. They complain about lack of food, clothing, and timely wages. One letter from August 1862 references Stonewall Jackson's military strategies in battle."		"Soldiers -- Confederate States of America -- Correspondence; Jackson, Stonewall, 1824-1863; Confederate States of America. Army -- Military life; United States -- History -- Civil War, 1861-1865"	United States		brownfamilypapers-002388094	seca-a0feac9a-2e65-475a-881b-bf28a27ca9be	http://library.duke.edu/rubenstein/findingaids/brownfamilypapers-002388094/	38247222	RL.30335	secst0325	D03208763T	18	Alta Zhang	10/18/2017	Zeutschel	secT0275	Alta Zhang	12/8/2017	LIB-DPC02	Alex Marsh	1/23/2018	LIB-DPC01	Alex Marsh	3/7/2018	
8	folder 1	"Brown, Adam K."	Adam K. Brown papers	1862-1865	1862/1865	eng	11 items		"Letters to his parents describing camp life in the Union Army, chiefly in western campaigns in Mississippi. In June 1864 he was in a hospital in Huntsville, Alabama, but was soon moved to Nashville, Tenn.'s Cumberland Hospital. He was later sent to Resaca, Georgia and later transferred to the Army of the Potomac occupying Petersburg, Virginia. His regiment was later shipped to Louisville, Kentucky, where he remained until July 1865. Brown wrote about encountering captured Confederate soldiers as well as his travels and experiences as an officer."		"Soldiers -- United States -- Correspondence; United States. Army -- Military life; United States. Army. Ohio Infantry Regiment, 80th (1861-1865); United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons"	United States		brownadamkpapers-000887903	seca-e7cfc4eb-3a3d-47c7-958a-c8aa8873eb51	http://library.duke.edu/rubenstein/findingaids/brownadamkpapers-000887903/	20574787	RL.30334	secst0326	D03208755U	38	Alta Zhang	10/18/2017	Zeutschel	secT0276	Alta Zhang	12/8/2017	LIB-DPC02	Alex Marsh	1/23/2018	LIB-DPC01	Alex Marsh	3/7/2018	
9	folder 1	"Brown, Alexander"	Alexander Brown papers	1814-1878 ;	1814/1878	eng	70 items		"Largely personal and family correspondence, mainly from relatives and friends, usually addressed to Alexander Brown. Correspondents include: Robert Lawrence Brown (1820-1880); stepmother Margaret Baldwin Cabell Brown (1826-1877); grandfather Alexander Brown (1796-1864); grandmother Lucy Shands Rives Brown (1794-1872); uncle Paul Carrington Callaway (1815-1876); and cousins Francis Alexander Meade and Lucy Brown Meade. The collection mentions the Walker, Bruce, Daniel, Boyd, Bouldin, Otey, Morris, Langhorne, Early, Meade, Cabell, Rives, Brown, and Poindexter families. Other individuals mentioned include: John Strode Barbour, Jr.; John and Lawrence Meem, members of the Virginia General Assembly; Willie Duke; Confederate generals Robert Augustus Toombs, Thomas Jonathon Jackson, Robert Emmett Rodes, Braxton Bragg, Edmund Kirby Smith, John Bankhead Magruder, Benjamin Huger, and Samuel Garland, Jr.; Generals' wives Julia Toombs and Virginia Hortense Woodruff Rodes; Virginia governor John Letcher; Jefferson Davis and Alexander Stephens; Abraham Lincoln; and Union general Benjamin F. Butler. Subjects mentioned include business affairs, crops, weather, typhoid fever, yellow fever, smallpox, commodity prices, salt distribution, and social life and customs in Virginia during the Civil War. Other topics include politics, such as the election of 1860, and newspapers, such as the Richmond Examiner and the Lynchburg Republican. Civil War subjects include Confederate and Federal prisoners; sieges of Charleston, Savannah, and Wilmington; battles of Bull Run and Antietam; women's care for wounded Confederate soldiers; and Confederate Army concerns such as sickness, casualties, hardships, shortages, food, shoes, clothing, desertions, troop movements, and recruitment."		"Epidemics -- Virginia; Salt industry and trade -- Confederate States of America; Confederate States of America. Army -- Military life; Nelson County (Va.) -- History; Richmond (Va.) -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Medical care; Virginia -- Climate; Virginia -- Economic conditions; Virginia -- History -- Civil War, 1861-1865; Virginia -- Religious life and customs"	Nelson County (Va.); Richmond (Va.); United States; Virginia		brownalexanderpapers-000887905	seca-196a32a4-caf0-47a6-a152-03f2f492167e	http://library.duke.edu/rubenstein/findingaids/brownalexanderpapers-000887905/	20574806	RL.30324	secst0327	D03208756V	206	Alta Zhang	10/20/2017	Zeutschel	secT0277	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	1/24/2018	LIB-DPC01	Alex Marsh	3/7/2018	
10	folder 1	"Brown, August"	August Brown papers	1849-1850	1849/1850	eng	3 items		Collection contains personal letters to Brown's brother.		Worcester County (Mass.) -- History	Worcester County (Mass.)		brownaugustpapers-002388082	seca-30813f0e-a776-4581-85e9-ecb7a620df49	http://library.duke.edu/rubenstein/findingaids/brownaugustpapers-002388082/	38247213	RL.30329	secst0328	D03208757W	6	Alex Marsh	10/18/2017	Zeutschel	secT0278	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	1/30/2018	LIB-DPC01	Alex Marsh	3/7/2018	
