physical order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note	barcode	Identifier	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes
1	Views of Sir Dr. Hennebel on the Jansenist controversy	Catholic Church	1653	1653/1653	lat	1 leaf.	"Latin manuscript gives the views of Sir. Dr. Hennebel on the idea of grace during the Jansenist controversy. The general subject of the manuscript is grace in the theological sense, and what God's grace does, as against what man's works might do, grace as a ground of salvation, and grace achieved by following God's command. The writer is evidently against the grounds for which the ""five propositions"" of the Janesists were condemned by Pope Innocent X in 1653."	Acquired prior to 1960	Theology -- History -- 17th century| Jansenists			Text	catholicchurch-003866243	3866243	seca-394258c0-fa97-41dc-ad78-27f58fb86131	http://library.duke.edu/rubenstein/findingaids/catholicchurch-003866243/	1008591997	RL.30436	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208890U	secst0436	4	Rodrigo Araujo	10/4/2018	Zeutschel	secT0386	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	11/20/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
2	Alexander Carson papers	"Carson, Alexander"	1760-1858	1760/1858	eng	5 items	"Collection contains a grant for land on the Eno River in 1760 signed by Lord Granville, and land deeds in Orange and Alexander counties."		Land grants -- North Carolina| Land titles| Alexander County (N.C.) -- History| Eno River (N.C.) -- History| Orange County (N.C.) -- History	Alexander County (N.C.)| Eno River (N.C.)| Orange County (N.C.)		Text	carsonalexanderpapers-002399999	2399999	seca-7b60a871-260d-4a3e-8053-6717044a6e4b	http://library.duke.edu/rubenstein/findingaids/carsonalexanderpapers-002399999/	38386007	RL.30437	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208878-	secst0437	8	Rodrigo Araujo	10/4/2018	Zeutschel	secT0387	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	11/20/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
3	Martin Caswell papers	"Caswell, Martin"	1765-1775	1765/1775	eng	6 items	Collection contains court summonses and arrest warrants signed by Caswell as clerk.		Dobbs County (N.C.) -- History -- 19th century	Dobbs County (N.C.)		Text	caswellmartinpapers-002269049	2269049	seca-f80fa09e-8071-4f92-8465-e594deb0dd60	http://library.duke.edu/rubenstein/findingaids/caswellmartinpapers-002269049/	36735170	RL.30438	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208889	secst0438	12	Rodrigo Araujo	10/4/2018	Zeutschel	secT0388	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	11/20/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
4	Richard Caswell papers	"Caswell, Richard"	1777-1790	1777/1790	eng	16 items	"Collection contains letters and papers concerned with military affairs, the militia, Loyalists, legislative business, and Indian affairs."		Indians of North America -- Relations| North Carolina -- History -- 18th century	North Carolina		Text	caswellrichardpapers-002269050	2269050	seca-2e995de8-5702-4a45-8e4f-7170e070e228	http://library.duke.edu/rubenstein/findingaids/caswellrichardpapers-002269050/	36735172	RL.30439	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208874W	secst0439	52	Christine Adjangba	9/28/2018	Zeutschel	secT0389	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	12/17/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
5	Joannes de Carro letter	"Carro, Joannes de, 1770-1857"	"1805, 1841"	1805/1841	eng	1 item	"On July 24, 1805, Frederic North, Governor of Ceylon, responded to de Carro's inquiries and noted Jonville, Barnard, and Thomas Christie, physician who introduced vaccination into Ceylon. The manuscript contains a signed, autograph note by Carro dated 1841 in which he stated that Christie was his correspondent about vaccination in Ceylon."					Text	carrojoannesde-003866228	3866228	seca-29325dd7-d9b2-4a77-be63-db34e883e632	http://library.duke.edu/rubenstein/findingaids/carrojoannesde-003866228/		RL.30440	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208876Y	secst0440	4	Rodrigo Araujo	10/2/2018	Zeutschel	secT0390	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	12/17/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
6	William Fontaine Carrington papers	"Carrington, William Fontaine, 1822-1883"	1809-1867	1809/1867	eng	19 items	"Letters containing opinions on secession in Virginia, and an inventory of medicine on board the Confederate States ram Baltic."		"Secession| Confederate States of America. Navy -- Sanitary affairs| United States -- History -- Civil War, 1861-1865 -- Medical care| Virginia -- Politics and government -- 1861-1865"	United States| Virginia		Text	carringtonwilliamfontainepapers-000890449	890449	seca-45f1db01-eb53-419a-9ebc-36e18f8da340	http://library.duke.edu/rubenstein/findingaids/carringtonwilliamfontainepapers-000890449/	20649462	RL.30441	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208875X	secst0441	52	Rodrigo Araujo	10/2/2018	Zeutschel	secT0391	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	12/17/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
7	Robert Wormeley Carter papers	"Carter, Robert Wormeley"	1813-1850	1813/1850	eng	16 items	Collection contains miscellaneous correspondence of a planter.		Plantation owners -- Virginia| Richmond County (Va.) -- History	Richmond County (Va.)		Text	carterrobertwormeleypapers-002400004	2400004	seca-8eae1429-0f2e-4c01-8321-9ef8d82681be	http://library.duke.edu/rubenstein/findingaids/carterrobertwormeleypapers-002400004/	38386023	RL.30442	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208881U	secst0442	60	Rodrigo Araujo	10/2/2018	Zeutschel	secT0392	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	12/17/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
8	Manuel Cevallos Escalera papers	"Cevallos Escalera, Manuel"	1820-1833	1820/1833	eng	40 items	Collection contains original documents and copies relating to the military career of a lieutenant colonel of militia and subdelegate of the province of Canta.		Peru -- History -- 19th century	Peru		Text	cevallosescaleramanuelpapers-002278541	2278541	seca-ab489720-d264-4db4-8362-4aba3235440e	http://library.duke.edu/rubenstein/findingaids/cevallosescaleramanuelpapers-002278541/	36854576	RL.30443	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03208894Y	secst0443	102	Rodrigo Araujo	10/2/2018	Zeutschel	secT0393	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	12/17/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
9	Lewis Cass papers	"Cass, Lewis, 1782-1866"	1823-1858	1823/1858	eng	7 items	"Miscellaneous letters and papers, including a request for information on the Sioux Indians; payments to be made to the Cherokee Indians, 1832; and a letter from James Buchanan concerning the ratification of a treaty with Peru, 1858, during Cass' tenure as Secretary of State. Addition includes three daily synopses (May 2, 1845-Sept. 27, 1845), of articles in a wide spectrum of newspapers and periodicals, which refer to the controversy concerning Oregon's partial annexation to Britain which Mr. Cass actively opposed. There is also a chronology of the Oregon Debate in Congress, from December 9, 1845, to August 20, 1846."		"Cherokee Indians -- Government relations| Oregon question| Buchanan, James, 1791-1868| Oregon Territory -- Politics and government| Peru -- Foreign relations -- United States| United States -- Foreign relations -- Peru"	Oregon Territory| Peru| United States		Text	casslewispapers-000848157	848157	seca-5d8e0a67-7eb0-408a-a0c4-ae9178dc3fc3	http://library.duke.edu/rubenstein/findingaids/casslewispapers-000848157/	19347151	RL.30444	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208888.	secst0444	42	Rodrigo Araujo	10/2/2018	Zeutschel	secT0394	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	12/17/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
10	Mrs. Caudle letters	"Caudle, Mrs.,"	1833	1833/1833	eng	2 items	"Two letters to ""Old Man,"" from a Mrs. Caudle, detailing her trip to a courthouse auction at Lawrenceburg, Tenn., to bid for a white child who is apparently the illegitimate offspring of the family. There is discussion of what to do with the child as well as various family members' reactions."	Purchase 1986	"Illegitimacy -- Tennessee| Children -- Legal status, laws, etc -- Tennessee"			Text	caudleletters-001098617	1098617	seca-44d5a0da-676d-4ef2-adb9-dec0b5878f7a	http://library.duke.edu/rubenstein/findingaids/caudleletters-001098617/	28081360	RL.30445	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03572480T	secst0445	8	Rodrigo Araujo	10/2/2018	Zeutschel	secT0395	Rodrigo Araujo	10/18/2018	LIB-DPC01	Alex Marsh	12/17/2018	LIB-QCDPC01	Alex Marsh	12/26/2018	
