container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	dpc_id
folder 1	Adger, John B. (John Bailey), 1810-1899	John B. Adger papers	1839, 1852	1839/1852	eng	2 items		Letters concerning renewals of subscriptions to THE PRESBYTERIAN of Philadelphia, Pa.		Clergy -- South Carolina -- Correspondence -- History -- 19th century; Theological Seminary (Columbia, S.C.)			adgerjohnbpapers-001585360	seca-1f958987-95ed-4ff1-9aaa-46dadf2a0e15	http://library.duke.edu/rubenstein/findingaids/adgerjohnbpapers-001585360/	dpc_id
folder 1	Adkins, Apphia C.	Apphia C. Adkins letters	1847-1849	1847/1849	eng	3 items		Family correspondence.		Women -- Virginia -- Correspondence; Women -- Virginia -- History -- 19th century			adkinsapphiacletters-001585355	seca-0f712922-0ebd-404a-8943-24c1574b444b	http://library.duke.edu/rubenstein/findingaids/adkinsapphiacletters-001585355/	dpc_id
folder 1		African American cosmetics labels	1934-1946 and undated.	1934/1946	eng	0.2 linear feet		Collection comprises 50 labels from cosmetics intended for African American consumers by the Chicago-based companies Famous Products, Madam Jones, and Valmor Products. All the companies were owned by industrialists Morton and Rose Neumann, a white, Jewish couple from Chicago. There are labels for skin cream, hair dressing products, scented lotions and oils, talcum and face powder, after shave, and incense. Brand names represented include Lucky Brown, Sweet Georgia Brown, and Madam Jones. The labels featured images of light-skinned men and women with straightened hair, and label text often focused on attracting members of the opposite sex. Acquired as part of the John W. Hartman Center for Sales, Advertising & Marketing History and the John Hope Franklin Research Center for African and African American History and Culture.	Purchased 2010, 2010-0216, 02 lin ft Purchased 2011, 2011-1024	African American consumers; Beauty culture -- United States -- History; Cosmetics industry; Cosmetics -- Marketing; Hairdressing of African Americans; Marketing -- United States; Packaging; Target marketing -- United States; Neumann, Morton G.; John Hope Franklin Research Center for African and African American History and Culture; John W. Hartman Center for Sales, Advertising & Marketing History		Labels	africanamericancosmeticslabels-004652867	seca-42870280-cde1-4d1a-b2fc-32c1d36de69b	http://library.duke.edu/rubenstein/findingaids/africanamericancosmeticslabels-004652867/	dpc_id
folder 1	Agnew, Cornelius Rea	Cornelius Rea Agnew letters	1875-1888	1875/1888	eng	15 items		Letters from former patients and friends in Fla. to Agnew. Some letters concern the welfare and education of Seminole Indians, especially Howling Wolf, who was a prisoner at Fort Marion (Castillo de San Marcos) in St. Augustine, Fla. Howling Wolf's eye treatment in N.Y. is also discussed. Includes a letter of Dr. H. Caruthers of Tarrytown, N.Y. Letter of E.P. Pitcher of St. Augustine, Fla. concerns education of Seminoles at Hampton Institute, Va. and potential racial problems between Seminoles and Negroes. Letter also mentions religious conversations and prayer Pitcher had with Seminoles and their favorable response. Includes note from General William T. Sherman sent from Army headquarters in Washington, D.C.		Seminole Indians -- Education -- Florida; Seminole Indians -- Education -- Virginia; Seminole Indians -- Medical care; Seminole Indians -- Religious life; Eye -- Diseases; Blacks -- Relations with Indians; Caruthers, H.; Pitcher, E. P.; Sherman, William T. (William Tecumseh), 1820-1891; Castillo de San Marcos (Saint Augustine, Fla.); College of Physicians and Surgeons in the City of New York; Hampton Institute; United States Army -- Officers -- Correspondence			agnewcorneliusrealetters-001616489	seca-23da879b-9657-44eb-bac5-58e3678aa5b6	http://library.duke.edu/rubenstein/findingaids/agnewcorneliusrealetters-001616489/	dpc_id
folder 1	Agnew, William G.	William G. and J. S. Agnew papers	1861-1864	1861/1864	eng	62 items		Letters of William and J.S. Agnew, probably brothers, serving in the Confederate forces. William's letters deal with the military affairs and camp conditions while he was involved with the Peninsular Campaign. J.S.'s letters, written from Chickamauga, Tenn., and Camp Foster, Ga., are concerned with personal and military matters.		Peninsular Campaign, 1862; Chickamauga, Battle of, Ga., 1863; Agnew, J. S.; Confederate States of America Army	Camp Foster (Ga.); Georgia -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865		agnewwilliamgpapers-000842353	seca-7eaeb6f7-9608-473b-a872-3e594a060145	http://library.duke.edu/rubenstein/findingaids/agnewwilliamgpapers-000842353/	dpc_id
folder 1	Agours, Eglantine	Eglantine Agrous letters	1856-1889	1856/1889	eng	22 items		Letters to Eglantine Agours (or Agurs) from relatives in Tennessee, Texas, and South Carolina, containing chiefly family news, but with some references to secession, civilian and military life in the South, the battle of Shiloh, the 12th Regiment of Tennessee Volunteers, and Reconstruction in South Carolina.		Reconstruction (U.S. history, 1865-1877) -- South Carolina; Secession; Shiloh, Battle of, Tenn., 1862; Women -- Correspondence; Women -- Southern States; Confederate States of America Army Tennessee Infantry Regiment, 12th	Confederate States of America -- Social conditions; South Carolina -- History -- 1865-1950; Tennessee -- History -- Civil War, 1861-1865		agourseglantineletters-000887787	seca-60440a4f-841c-4a41-9972-eb0b2b4f53ba	http://library.duke.edu/rubenstein/findingaids/agourseglantineletters-000887787/	dpc_id
folder 1	Aichel, Oskar	Oskar Aichel correspondence	1861-1863	1861/1863	ger	10 items		Chiefly letters from Oskar Aichel in Cokesbury and Charleston, S.C., to his fiance and wife Martha, relating to personal and family affairs and to life and events in war-time Charleston. Also includes an exchange of letters (1861) between Aichel and a friend "Margarethe H."	Purchase, 1960, 1986		Charleston (S.C.) -- Social life and customs; South Carolina -- History -- Civil War, 1861-1865		aicheloskar-000743015	seca-eadeab29-6422-4591-be1d-882b652d7531	http://library.duke.edu/rubenstein/findingaids/aicheloskar-000743015/	dpc_id
folder 1	Akerman, Joseph L.	Joseph L. Akerman diary	1863	1863/1863	eng	1 volume		Diary of a Union soldier in the 2nd Regiment of the Massachusetts Volunteers. Enlisted August 1862 in Boston. Entries begin at Fairfax Station, Virginia on January 10, 1863. Subjects include lack of religious services in the regiment; his hospitalization in 1863; detailed descriptions of the hardships of army life; food; development and maintenance of camps; guard and picket duty; camp drinking. Entry for April 10 describes review of brigades by President and Mrs. Lincoln and their two sons, accompanied by General Joseph Hooker. Late April and early May entries describe the unit's march to Chancellorsville and the ensuing battle. Akerman was sick during the battle and his diary describes the bad hospital conditions. Diary ends June 26 when Akerman arrived in Washington by ambulance. Akerman apparently had a wife named Mary and a child named Josey.		Soldiers -- Massachusetts -- Diaries; Soldiers -- Religious life -- United States; Chancellorsville, Battle of, Chancellorsville, Va., 1863; Military hospitals; Hooker, Joseph, 1814-1879; Lincoln, Abraham, 1809-1865; United States Army Massachusetts Infantry Regiment, 2nd; United States Army -- Military life	Massachusetts -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865 -- Hospitals	Diaries	akermanjosephl-001616490	seca-7536a775-eae3-4dd4-8a1d-1cf60633ee60	http://library.duke.edu/rubenstein/findingaids/akermanjosephl-001616490/	dpc_id
folder 1	Alcorn, James Lusk	James Lusk Alcorn letter	1871	1871/1871	eng	1 item		Letter ordering volumes from a bookseller.		Booksellers and bookselling -- United States; Reading -- Mississippi -- 19th century	Mississippi -- History -- 19th century		alcornjameslusk-001585350	seca-acc141b6-7c3c-45f7-9e79-f974f97255ec	http://library.duke.edu/rubenstein/findingaids/alcornjameslusk-001585350/	dpc_id
folder 1	Alden (Family)	Letter from Nathalia Crane to Mrs. Alden	1924	1924/1924	eng	0.1 linear feet							aldenfamily-003953857	seca-8add980a-9dd7-46ae-b699-105dc77a641f	http://library.duke.edu/rubenstein/findingaids/aldenfamily-003953857/	dpc_id
