container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id
folder 1	Baynes, Elbert W.	Elbert W. Baynes papers	1834-1879, bulk 1843-1864	1834/1879	eng	75 items		Business correspondence of a tannery including notes from patrons sending for tanning the skins of cattle, horses, and occasionally of dogs and cats; information on prices for the hiring of slaves, for cotton, and general merchandise; on Baynes' debts and other legal problems; and on conditions during Reconstruction. Postwar letters include a young girl's impressions of Houston, Tex. Correspondents include Isaac A. Hibler, Richard R. Roby, and Baynes' daughter, Tucker.		Cotton -- Prices; Reconstruction -- Georgia; Slavery -- Georgia; Tanning -- Georgia; Baynes, Tucker; Hibler, Isaac A.; Roby, Richard R.; Georgia -- Economic conditions; Houston (Tex.) -- Description and travel	Georgia; Houston (Tex.)		bayneselbertwpapers-000887861	seca-5481b336-e87f-48e7-979f-37f8908e5224	http://library.duke.edu/rubenstein/findingaids/bayneselbertwpapers-000887861/	20574485	RL.30171	dpc_id
folder 1	Beach, Harvey R.	Harvey Beach letters	1861-1869	1861/1869	eng	8 items		Personal and business correspondence of Harvey R. and Henry Beach, Milford, Connecticut carriage manufacturers, concerning the collection of claims at New Orleans, Louisiana; conditions of the carriage business; and settlement of an estate.		Carriage industry -- Connecticut; Beach, Henry; New Haven (Conn.) -- History -- 19th century	New Haven (Conn.)		beachharveyrletters-002050937	seca-6b4e973a-6a83-475a-8d67-5107f65a356f	http://library.duke.edu/rubenstein/findingaids/beachharveyrletters-002050937/	34122396	RL.30180	dpc_id
folder 1	Beale, James	James Beale receipts	1864-1865	1864/1865	eng	5 items		Receipts for goods purchased by a Richmond physician.		Physicians -- Virginia; Medicine -- Accounting			bealejames-002050939	seca-6af1b7d1-4acd-4f86-845c-40be83f089c6	http://library.duke.edu/rubenstein/findingaids/bealejames-002050939/	34122472	RL.30187	dpc_id
folder 1	Beale, R. L. T. (Richard Lee Turberville), 1819-1893	R. L. T. Beale letters	1848-1862	1848/1862	eng	3 items		Letters from Beale, a Virginia lawyer and congressman. Letter of 1848 asks for a congressional report; letter of 1862 to his wife describes his experiences in the Confederate Army.		Lawyers -- Virginia -- Correspondence; Legislators -- United States -- Correspondence; Soldiers -- Confederate States of America -- Correspondence; United States -- History -- Civil War, 1861-1865	United States		bealerltletters-002050940	seca-f4ba1eca-e24f-4d20-b4fd-7446ea40adaf	http://library.duke.edu/rubenstein/findingaids/bealerltletters-002050940/	34122378	RL.30174	dpc_id
folder 1	Beall, Joseph S.	Joseph S. Beall letters	1861-1863	1861/1863	eng	3 items		Letters from Federal soldiers to Beall, a resident of Kingston, Massachusetts, asking him to persuade citizens to supply revolvers to volunteers; commenting on the Kingston Company stationed in Virginia; and describing the Banks Expedition at Baton Rouge, Louisiana.		Firearms -- Massachusetts; Banks, Nathaniel Prentiss, 1816-1894; Baton Rouge (La.) -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Equipment and supplies; United States	Baton Rouge (La.); United States		bealljosephsletters-002050941	seca-9934f18e-a045-45d4-9e5c-9c567d562a51	http://library.duke.edu/rubenstein/findingaids/bealljosephsletters-002050941/	34126655	RL.30181	dpc_id
folder 1	Beall, Upton	Upton Beall letters	1809-1810	1809/1810	eng	4 items		Letters concerning a lawsuit in which Francis Scott Key was counsel for John Norwood; and the importation and purchase of salt by the firm of Stewart and Beall.		Salt industry and trade -- United States; Key, Francis Scott, 1779-1843; Norwood, John; Stewart and Beall (Firm)			bealluptonletters-002050901	seca-abd79ff2-166b-49de-af88-61ebf94952fe	http://library.duke.edu/rubenstein/findingaids/bealluptonletters-002050901/	34122353	RL.30167	dpc_id
folder 1	Beaman, George W.	George W. Beaman papers	1863-1865	1863/1865	eng	5 items		Official papers of Beaman, a native of Vermont, while assistant paymaster on the U.S.S. Union, a store ship stationed off Key West, Florida, during the Civil War.		Union (Ship); United States. Navy -- Officers -- Correspondence; United States. Navy -- Pay, allowances, etc; United States -- History -- Civil War, 1861-1865 -- Naval operations	United States		beamangeorgewpapers-000887864	seca-abec6d42-dceb-4a25-9495-0d64a49b7727	http://library.duke.edu/rubenstein/findingaids/beamangeorgewpapers-000887864/	20574501	RL.30185	dpc_id
folder 1	Beatty, G. H.	G. H. Beatty papers	1861-1862	1861/1862	eng	8 items		Letters from a Confederate soldier to his family, and a list of articles owned by the Lisbon Ladies Aid Society; and accounts of company movements and army life at forts Caswell and Fisher, North Carolina, as well as the area around Gordonsville, Virginia.		Soldiers -- Confederate States of America -- Correspondence; Confederate States of America. Army -- Military life; Lisbon Ladies Aid Society (Lisbon, N.C.); Fort Caswell (N.C.) -- History -- Civil War, 1861-1865; Fort Fisher (N.C.) -- History -- Civil War, 1861-1865; Gordonsville (Va.) -- History -- Civil War, 1861-1865; North Carolina -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Participation, Female	Fort Caswell (N.C.); Fort Fisher (N.C.); Gordonsville (Va.); North Carolina; United States		beattyghpapers-000887868	seca-16895d91-9a72-497f-beb9-6890eb97dc5e	http://library.duke.edu/rubenstein/findingaids/beattyghpapers-000887868/	20574530	RL.30182	dpc_id
folder 1	Beauchamp, Elizabeth H.	Elizabeth Beauchamp letters	1844-1919, bulk 1863-1869	1844/1919	eng	34 items		Business and personal correspondence of Elizabeth H. Beauchamp, widow of John Beauchamp, concerning land owned by her and by her son, Joel. Included also are love letters from Washington Green.		Women -- North Carolina -- Correspondence; Land tenure -- North Carolina; Love-letters; Beauchamp, Joel; Beauchamp, John; Green, Washington			beauchampelizabethhletters-002050902	seca-439cc8bc-fac9-4bc6-9733-e2129f92c926	http://library.duke.edu/rubenstein/findingaids/beauchampelizabethhletters-002050902/	34122375	RL.30173	dpc_id
folder 1	Bechtel, Jacob H.	Jacob H. Bechtel letters and drawings	1843-1860	1843/1860	eng	65 items		Contains letters from Jacob H. Bechtel to his brother George in Philadelphia, who also worked as a merchant. The majority of the letters are written from New Orleans between 1843 and 1850, and the remaining letters are from Richmond, where Jacob had relocated by 1854. Several letters from the late 1840s pertain to financial difficulties. The letters also give insight into Jacob's relationship with his wife and children. A few letters contain pen and ink drawings of New Orleans landmarks.	Purchase 1990	Brothers; Mercantile system -- Louisiana -- New Orleans; Husband and wife -- Louisiana -- New Orleans; Father and child; Louisiana -- Description and travel	Louisiana	Drawings (visual works)	bechteljacobhletters-001530418	seca-6c2967fc-77fb-4106-8506-b2b9e82d4750	http://library.duke.edu/rubenstein/findingaids/bechteljacobhletters-001530418/	30789543	RL.30172	dpc_id
