title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
George Albert Chace papers	"Chace, George Albert"	1862-1890	1862/1890	eng	8 items	"Letters and a diary describing eight months of service in North Carolina during the Civil War, 1862-1863."		"Soldiers -- United States -- Correspondence| United States. Army. Massachusetts Infantry Regiment, 3rd (1862-1863)| United States. Army -- Military life| North Carolina -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Personal narratives"	North Carolina| United States		Text	chacegeorgealbertpapers-000890413	890413	seca-4681488d-eacc-4329-823a-f1904a8e336f	http://library.duke.edu/rubenstein/findingaids/chacegeorgealbertpapers-000890413/	20649270	RL.30493	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Joshua Lawrence Chamberlain letter	"Chamberlain, Joshua Lawrence, 1828-1914"	1905	1905/1905	eng	1 item	Collection consists of a letter from Adelbert Ames concerning proposed legislation in Congress relating to Civil War veterans.		"Ames, Adelbert, 1835-1933"			Text	chamberlainjoshualawrence-002255996	2255996	seca-a38310eb-dbfe-4b5e-883a-6b636b41034b	http://library.duke.edu/rubenstein/findingaids/chamberlainjoshualawrence-002255996/	36668667	RL.30498	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]
A.T. Chambers letter	"Chambers, A.T."	1860	1860/1860	eng	1 item	Collection consists of a letter concerning transfer of land.		Real property -- Texas -- New Braunfels -- 19th century| New Braunfels (Tex.) -- History	New Braunfels (Tex.)		Text	chambersat-002255997	2255997	seca-009c589e-4818-480d-bc8a-703d6ce4b4aa	http://library.duke.edu/rubenstein/findingaids/chambersat-002255997/	36668663	RL.30487	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Chambersburg and Bedford Turnpike Company records	Chambersburg and Bedford Turnpike Company	1835	1835/1835	eng	4 items	Collection consists of the company's miscellaneous legal papers.		Transportation -- Pennsylvania -- 19th century| Toll roads -- 19th century			Text	chambersburgandbedfordturnpikecompany-002256001	2256001	seca-bd78fa28-c644-4e98-89e7-44356649e994	http://library.duke.edu/rubenstein/findingaids/chambersburgandbedfordturnpikecompany-002256001/	36668716	RL.30476	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
George W. Chambers financial papers	"Chambers, George W."	1860-1861	1860/1861	eng	9 items	"Ledger-book scraps addressed to Captain George W. Chambers, concerning the sale of scrap iron to the Shenandoah City Foundry in Page County, Virginia."	Purchase 1978	Iron industry and trade -- Virginia -- Page County| Page County (Va.)	Page County (Va.)		Text	chambersgeorgewpapers-001098604	1098604	seca-c4df04e1-50c3-4300-91c9-bdbd361c8d66	http://library.duke.edu/rubenstein/findingaids/chambersgeorgewpapers-001098604/	28081348	RL.30488	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Henry A. Chambers correspondence	"Chambers, Henry A. (Henry Alexander), 1841-1925"	1864-1865	1863/1865	eng	27 items	"Personal letters to Chambers and to Laura Lenoir of Hamilton County, Tenn., describing life in North Carolina during the Civil War."		"Soldiers -- Confederate States of America -- Correspondence| Lenoir, Laura| North Carolina -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865"	North Carolina| United States		Text	chambershenrya-000890419	890419	seca-27b7a6f0-d631-4ebe-b658-2cccd1292964	http://library.duke.edu/rubenstein/findingaids/chambershenrya-000890419/	20649294	RL.30495	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
Sidney Chambers letters	"Chambers, Sidney C., 1878-"	1924	1924/1924	eng	13 items	Collection contains Chambers' letters pertaining to the elimination of the grade crossing on Chapel Hill St. in Durham.		Durham (N.C.) -- History -- 20th century	Durham (N.C.)		Text	chamberssidneycletters-002256000	2256000	seca-78adc24d-bd76-4e55-920b-455c68dff230	http://library.duke.edu/rubenstein/findingaids/chamberssidneycletters-002256000/	36668674	RL.30499	[local_id]	image	http://rightsstatements.org/page/InC/1.0/?language=en	[rights_note]
George and Christopher Champlin letter	"Champlin, George, 1738-1809"	1775 Feb. 14	1775/1775	eng	1 item	"Collection consists of a letter by Champlins' agents, Threlfall and Anderson, to the Champlins, reporting on the slave market at Grenada, Windward Islands."		"Slaveholders -- Rhode Island -- 18th century| Slave trade -- United States -- 18th century| Slave trade -- Grenada -- 18th century| Champlin, Christopher, creator.| Threlfall & Anderson, author.| Grenada -- 18th century"	Grenada		Text	champlingeorge-002256003	2256003	seca-974ad7e1-93b8-4e35-a976-86414f4dcbb0	http://library.duke.edu/rubenstein/findingaids/champlingeorge-002256003/	36668641	RL.30468	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
Daniel Chandler letters	"Chandler, Daniel"	1827-1854	1827/1854	eng	2 items	"Collection contains two letters. The first is from Chandler to Judge Duncan G. Campbell (May 8, 1827) regarding legal training, including a course he was planning to follow. The second is from Chandler to his son, John L. Chandler (Oct. 4, 1854), a student at University of Virginia at Charlottesville."		"Students -- Correspondence -- 19th century| Lawyers -- Education -- 19th century| Campbell, Duncan G.| Chandler, John L.| University of Virginia -- Students"			Text	chandlerdanielletters-002256004	2256004	seca-e9f533f0-876b-4ffa-b4d2-d29263a62e08	http://library.duke.edu/rubenstein/findingaids/chandlerdanielletters-002256004/	36668670	RL.30475	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]
John Winthrop Chanler letter	"Chanler, John Winthrop"	"1845, March 13"	1845/1845	eng	1 item	"Letter to Chanler in New York, N.Y. from his mother and sister, who with his father were attending the inauguration of James K. Polk in Washington D.C. The mother described a visit to the White House. While she did not see either President or Mrs. Polk, she expressed opinions about what she had heard about them."	Purchase 1979	"Polk, James K. (James Knox), 1795-1849 -- Inauguration, 1845.| Polk, Sarah Childress, 1803-1891"			Text	chanlerjohnwinthrop-001098612	1098612	seca-8572e641-fc5e-4291-af9c-6855692122ff	http://library.duke.edu/rubenstein/findingaids/chanlerjohnwinthrop-001098612/	28081356	RL.30480	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]
