title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note
Mary F. Davison papers	Davison, Mary F.	1860-1865	1860/1865	eng	23 items	Collection contains letters from Confederate soldiers addressed to Mary Davison, mostly from the 28th Regiment of N.C. Infantry, describing army life, camp, and illnesses; a battle at Cape Hatteras, 1861; the shooting of an African-American who was allegedly trying to burn a bridge; descriptions of Fort Fisher and Wilmington.		African Americans -- History -- 19th century| Soldiers -- Confederate States of America -- Correspondence| Confederate States of America. Army -- Military life| Confederate States of America. Army. North Carolina Infantry Regiment, 28th.| Fort Fisher (N.C.) -- History| Hatteras, Cape (N.C.) -- History -- 19th century| North Carolina -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Health aspects| United States -- History -- Civil War, 1861-1865 -- Campaigns| Wilmington (N.C.) -- History	Fort Fisher (N.C.)| Hatteras, Cape (N.C.)| North Carolina| United States| Wilmington (N.C.)		Text	davisonmaryfpapers-002372620	002372620	seca-3797913a-01d0-433e-877e-e0e17c74d26d	https://library.duke.edu/rubenstein/findingaids/davisonmaryfpapers-002372620/	38065788	RL.30705	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Andrew Dawson papers	Dawson, Andrew H. H.	1856-1866	1856/1866	eng	3 items	Collection contains letters from Thomas L. Snead and George N. Lester, former Confederate congressman, in response to Dawson's requests for their autographs; and a letter, 1856, by Dawson, possibly to T.R.R. Cobb, concerning politics, speeches by R.A. Toombs and A.H. Stephens, and Millard Fillmore's chances for the presidency.		Fillmore, Millard, 1800-1874| Lester, George N. (George Nelson), 1824-1892| Snead, Thomas L. (Thomas Lowndes), 1828-1890| Stephens, Alexander H. (Alexander Hamilton), 1812-1883| Toombs, Robert Augustus, 1810-1885| Confederate States of America. Congress| Confederate States of America -- Politics and government	Confederate States of America	Autographs	Text	dawsonandrewhhpapers-002408836	002408836	seca-2f0cf84c-c91b-4ee3-9633-a59b92973a47	https://library.duke.edu/rubenstein/findingaids/dawsonandrewhhpapers-002408836/	38518929	RL.30704	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Nathaniel Henry Rhodes Dawson papers	Dawson, Nathaniel Henry Rhodes, 1829-1895	1861-1862	1861/1862	eng	25 items	Civil War correspondence relative to the early campaigns in Virginia.		Soldiers -- Correspondence| Confederate States of America. Army -- Officers| Virginia -- History -- Civil War, 1861-1865	Virginia		Text	dawsonnathanielhenryrhodespapers-000849872	000849872	seca-963a72e0-2ba8-4ad7-ad27-a66d6ab5e53d	https://library.duke.edu/rubenstein/findingaids/dawsonnathanielhenryrhodespapers-000849872/	19406153	RL.30708	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Samuel Deal papers	Deal, Samuel	1831-1893	1831/1893	eng	55 items	Family correspondence concerning social life and customs, and farming in Iredell County, N.C., and Grant County, Kan.		Agriculture -- Kansas -- Grant County| Agriculture -- North Carolina -- Iredell County| Farm life -- Kansas| Farm life -- North Carolina| Grant County (Kan.) -- Social life and customs| Iredell County (N.C.) -- Social life and customs	Grant County (Kan.)| Iredell County (N.C.)		Text	dealsamuelpapers-000893817	000893817	seca-6949839d-71d2-4761-a666-29b7fc8b5d3c	https://library.duke.edu/rubenstein/findingaids/dealsamuelpapers-000893817/	20737035	RL.30700	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Charles Deane papers	Deane, Charles	1779-1886	1779/1886	eng	6 items	Collection contains a deed between Edward Jackson (Middlesex Co.) and John Slade (Suffolk Co.) for land in Suffolk Co., Mass., 1779; 1850 correspondence with Samuel Foster Haven concerning THE RECORDS OF THE COMPANY OF THE MASSACHUSETTS BAY; and 1880s letters to C.C. Jones concerning Jones's writings.		Deeds -- Massachusetts| Haven, Samuel F. (Samuel Foster), 1806-1881| Jones, Charles C., (Charles Colcock), Jr. 1831-1893| Suffolk County (Mass.) -- History	Suffolk County (Mass.)		Text	deanecharlespapers-002408837	002408837	seca-8a8c5fc7-0f1e-4778-8283-707778145bc1	https://library.duke.edu/rubenstein/findingaids/deanecharlespapers-002408837/	38518938	RL.30694	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Julia Deane correspondence	Deane, Julia	1863-1864	1863/1864	eng	29 items	Letters to Julia Deane from Confederate soldiers commenting on their activities in the field, the defense of Richmond in 1864, and the prospects of peace. Most of the letters are from William A. Peacock.		Soldiers -- Confederate States of America -- Correspondence| Peacock, William A., correspondent.| Confederate States of America. Army -- Military life| Richmond (Va.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Peace	Richmond (Va.)| United States		Text	deanejulia-000893826	000893826	seca-72fd297c-2390-49c2-b051-73abe28048e1	https://library.duke.edu/rubenstein/findingaids/deanejulia-000893826/	20737078	RL.30711	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Henry Alexander Scammell Dearborn papers	Dearborn, H. A. S. (Henry Alexander Scammell), 1783-1851	1802-1848	1802/1848	eng	12 items	Collection consists of assorted correspondence relating to national and state politics, nullification, and internal improvements, especially canals and railroads in the Boston area and in Pennsylvania. Includes discussion of a treaty with the Tuscarora Indians in N.C.; the 1832 presidential election; and the nullification crisis. Correspondents include Henry Dearborn (H.A.S. Dearborn's father), Joseph Gardner Swift, and Gerard Ralston.		Tuscarora Indians -- North Carolina -- 19th century| Canals -- Massachusetts| Canals -- Pennsylvania| Nullification (States' rights)| Railroads -- Massachusetts| Railroads -- Pennsylvania| Dearborn, Henry, 1751-1829| Jackson, Andrew, 1767-1845| Ralston, Gerard| Swift, J. G. (Joseph Gardner), 1783-1865| Massachusetts -- Politics and government -- 1775-1865| United States -- Politics and government -- 1783-1865	Massachusetts| United States		Text	dearbornhaspapers-000849843	000849843	seca-b0c41657-4025-48ca-a76f-57ca19eb05f3	https://library.duke.edu/rubenstein/findingaids/dearbornhaspapers-000849843/	19405827	RL.30696	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Noah Deaton papers	Deaton, Noah	1863-1864	1863/1864	eng	4 items	Letters to relatives describing the battle of Gettysburg; prison life at Point Lookout, Md.; and mentioning the health and fortunes of various other soldiers.		Gettysburg, Battle of, Gettysburg, Pa., 1863| Soldiers -- Confederate States of America -- Correspondence| Confederate States of America. Army. North Carolina Infantry Regiment, 26th.| Point Lookout (Md.) -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Campaigns| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons	Point Lookout (Md.)| United States		Text	deatonnoahpapers-000893829	000893829	seca-376b920d-14dd-47d9-ab63-1c91fd8edb5d	https://library.duke.edu/rubenstein/findingaids/deatonnoahpapers-000893829/	20737088	RL.30712	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Charles F. Deems papers	Deems, Charles F. (Charles Force), 1820-1893	1855-1891	1855/1891	eng	3 items	Collection contains letters about Cornelius Vanderbilt's philanthropy, Deems's publications, and the American Institute of Christian Philosophy; and a printed flier advertising Deems's THE ANNALS OF SOUTHERN METHODISM for 1855 and 1856.		Advertising fliers| Deems, Charles F. (Charles Force), 1820-1893| Vanderbilt, Cornelius, 1794-1877| Vanderbilt family| American Institute of Christian Philosophy			Text	deemscharlesfpapers-002408840	002408840	seca-de3d840a-058d-4b31-b7d7-0dd585e92daf	https://library.duke.edu/rubenstein/findingaids/deemscharlesfpapers-002408840/	38518969	RL.30703	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
William Dehon family papers	Dehon, William, 1817-1862	1817-1877 and undated.	1817/1877	eng	62 items	Letters to and from William Dehon, an Episcopal clergyman of Pineville, S.C., and his family and friends. Topics mentioned in letters from family members in Charleston, S.C. include vaccination for smallpox and vericella; and the religious life and instruction of slaves. Letters from family members provide accounts of travels in France, England, Ireland, and New York. A few letters contain information regarding women's fashions and hairstyles.	Purchase 1974	Slaves -- Religious life -- South Carolina| Vaccination -- South Carolina -- History -- 19th century| Smallpox -- South Carolina -- History -- 19th century| Clergy -- South Carolina -- History -- 19th century| Hairstyles -- History -- 19th century| Dehon family| England -- Description and travel| France -- Description and travel| Ireland -- Description and travel| New York (State) -- Description and travel| South Carolina -- Religion -- 19th century| South Carolina -- Social life and customs	England| France| Ireland| New York (State)| South Carolina		Text	dehonwilliampapers-001099718	001099718	seca-9937c1db-1179-435b-b06c-fb0221c3e04f	https://library.duke.edu/rubenstein/findingaids/dehonwilliampapers-001099718/	28106287	RL.30697	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
