title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	collection_slug	aleph_id	oclc_num	local_id	display_format	rights	rights_note
Isaac T. Farnsworth papers	Farnsworth, Isaac T.	1827-1841	1827/1841	eng	19 items	Collection principally includes family letters concerning family matters, with references to slavery, trade, Natchez, commodity prices, mosquitoes, yellow fever, Andrew Jackson, the Mississippi flood of 1828, Jackson's war on the Bank of the United States, the fire of 1836 in Natchez, and the panic of 1837.		Depressions -- 1837| Floods -- Mississippi -- 1828| Slavery -- Mississippi| Yellow fever -- Mississippi| Slave insurrections -- Mississippi -- Adams County| Jackson, Andrew, 1767-1845| Bank of the United States (1816-1836)| Mississippi -- Economic conditions| Natchez (Miss.) -- Fire, 1836| Natchez (Miss.) -- History| United States -- Politics and government -- 1829-1837	Mississippi| Natchez (Miss.)| United States		Text	farnsworthisaactpapers-000895248	000895248	20770181	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Jacob Farrabough papers	Farrabough, Jacob	1764-1816	1764/1816	eng	32 items	Collection includes business papers of Jacob and Aaron Farrabough. Aaron Farragough was a land owner in Granville County, N.C.		Baltimore (Md.)| Granville County (N.C.)	Baltimore (Md.)| Granville County (N.C.)		Text	farraboughjacobpapers-003869754	003869754	1084984000	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Mary Farrar papers	Farrar, Mary	1916-1919	1916/1919	eng	25 items	Principally letters to Mary Farrar from Jennie (Stone) Abrams, concerning personal affairs, Alan Seeger's "I Have a Rendezvous with Death," the Red Cross, the Russian Revolution, World War I, and the return of the Jews to Palestine.		Women -- United States -- Political and social views| World War, 1914-1918| Zionism| Jews -- Palestine| Abrams, Jennie Stone| Seeger, Alan, 1888-1916| American Red Cross| Dorchester (Boston, Mass.)| Soviet Union -- History -- Revolution, 1917-1921	Dorchester (Boston, Mass.)| Soviet Union		Text	farrarmarypapers-000894313	000894313	20749022	[local_id]	image		[rights_note]	
Thomas J. Farrar papers	Farrar, Thomas J.	1856-1894	1856/1894	eng	28 items	Personal letters of Thomas J. Farrar, and Maria L. Megginson, who married about 1868.		Farrar, Thomas J.| Megginson, Maria L| Covesville (Va.)	Covesville (Va.)		Text	farrarthomasjpapers-002565086	002565086	41127629	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Thomas Faust papers	Faust, Thomas	1845-1859	1845/1859	eng	28 items	Letters and affadavits written by Faust requesting transfers and documenting the personal welfare history of individuals residing in or requesting residence in the poorhouse.	Purchase 1983	Almshouses -- Pennsylvania| Poor -- Pennsylvania| Charities -- Pennsylvania| Lehigh County (Pa.) -- History -- 19th century	Lehigh County (Pa.)		Text	faustthomaspapers-002112660	002112660	34742142	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Thomas P. Favrot papers	Favrot, Thomas P.	1815	1815/1815	eng	3 items	Military orders sent to Thomas P. Favrot stationed at Camp Mandeville (Saint Tammany Parish), La.		United States. Army -- Officers| Louisiana -- History -- War of 1812| Mandeville (La.) -- History -- War of 1812| United States -- History -- War of 1812	Louisiana| Mandeville (La.)| United States		Text	favrotthomasppapers-000894314	000894314	20749045	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	
Enoch Faw diary	Faw, Enoch, 1835-	1851-1857	1851/1857	eng	1 volumes	Typescript of the diary of Enoch Faw while attending the Randolph County, N.C., Normal College (now Duke University), 1851-1856, and while reading law under General A.J. Hansell in Marietta, Ga., 1856-1857. The diary contains comments on courses and books, expenses, social events, religion, the weather, girl friends, contemplation of suicide, enlisting in the war, and Faw family genealogical data.		College students -- Southern States -- Diaries| College students -- Southern States -- Social life and customs| Law -- Study and teaching| Universities and colleges -- North Carolina -- Randolph County| Suicide| Hansell, A. J.| Normal College (Randolph County, N.C.)| Marietta (Ga.) -- Social life and customs| Randolph County (N.C.) -- Social life and customs	Marietta (Ga.)| Randolph County (N.C.)		Text	fawenoch-000894317	000894317	20749069	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
Lucius Horace Featherston papers, 1877-1900.	Featherston, Lucius Horace, 1814-1886		1877/1900	eng	2 items	Collection includes letterpress copybook (17 p. used) consisting chiefly of letters, 1880-1882, to Col. J.W. Nelms, former Governor J.E. Brown, General J.B. Gordon, and Governor A.H. Colquitt, some of which solicit support for Featherston's possible nomination to the Georgia Superior Court and discuss the incumbent, Judge Buchanan. Other letters concern taxes and land owned by Featherston. The clipping, 1877, contains a letter Featherston wrote to the Editor of the NEWNAN HERALD about the homestead laws and other proposed alterations of the Georgia constitution.	Purchase 1987	Judges -- Selection and appointment -- Georgia| Homestead law -- Georgia| Brown, Joseph E. (Joseph Emerson), 1821-1894| Colquitt, Alfred Holt, 1824-1894| Gordon, John Brown, 1832-1904| Georgia -- Politics and government| Georgia -- Constitutional law	Georgia	Letterpress copybooks	Text	featherstonluciushoracepapers-000810337	000810337	18116555	[local_id]	image		[rights_note]	
Abner Feimster papers	Feimster, Abner	1799-1873	1799/1873	eng	9 items	Collection includes miscellaneous personal and business papers, including 2 daybooks (1799-1810, 1820-1836) and a ledger (1820-1840). Includes references to the elections of Howell Cobb as governor of Georgia and Elijah Webb Chastain to the House of Representatives, as well as to the presidential election of 1840. Also includes a will (1834 Jan 16) of James Guy of Iredell County.		General stores -- North Carolina| Presidents -- United States -- Elections -- 1840| Chastain, Elijah Webb, 1813-1874| Cobb, Howell, 1815-1868| Guy, James, of Iredell County, N.C., fl. 1834| Georgia -- Politics and government| Iredell County (N.C.) -- Commerce	Georgia| Iredell County (N.C.)		Text	feimsterabnerpapers-000755793	000755793	16145752	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
E.D. Fennell papers	Fennell, E. D.	1849-1864	1849/1864	eng	9 items	Civil War letters commenting on camp life, food shortages, desertions, elections among the soldiers, and prices of horses, hogs and corn.		Desertion, Military -- Confederate States of America| Soldiers -- Confederate States of America -- Correspondence| Confederate States of America. Army -- Military life| Confederate States of America. Army -- Supplies and stores| Confederate States of America -- Economic conditions| Darien (Ga.)| United States -- History -- Civil War, 1861-1865 -- Desertions| United States -- History -- Civil War, 1861-1865 -- Equipment and supplies	Confederate States of America| Darien (Ga.)| United States		Text	fennelledpapers-000895171	000895171	20769572	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	
